,period_open,period_close,starting_value,ending_value,starting_cash,ending_cash,returns,portfolio_value,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,2020-12,0.0,,0.0,,,,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2,2020-12,0.0,0.0,0.0,0.0,,,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3,2020-12,0.0,0.0,0.0,0.0,,,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4,2020-12,0.0,0.0,0.0,0.0,,,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '2d903758b8154ed2a36486e5300cd037', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 40766, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b48ba2a82bb54d1286ea0a7b3117aed9', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5436, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e1c9659bbe834f44941bea6b6cf72b15', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 23682, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '726d97e012f44e9cb1e4c7892e9293d5', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 14610, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0f193d3fa2c142f29e2effab4f4bdd48', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 137551, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5,2020-12,0.0,0.0,0.0,0.0,,,,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,0.0,9979036.200000001,10000000.0,15974.28190000006,-0.0004989518099999257,9995010.481900001,5,0,9979036.200000001,0.0,9979036.200000001,-4989.518099999055,0.0,-9984025.7181,"[{'id': '2d903758b8154ed2a36486e5300cd037', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 40766, 'filled': 40766, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b48ba2a82bb54d1286ea0a7b3117aed9', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5436, 'filled': 5436, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e1c9659bbe834f44941bea6b6cf72b15', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 23682, 'filled': 23682, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '726d97e012f44e9cb1e4c7892e9293d5', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 14610, 'filled': 14610, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0f193d3fa2c142f29e2effab4f4bdd48', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 137551, 'filled': 137551, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 40766, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.72435, 'order_id': '2d903758b8154ed2a36486e5300cd037', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 5436, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'b48ba2a82bb54d1286ea0a7b3117aed9', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 23682, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'e1c9659bbe834f44941bea6b6cf72b15', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 14610, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '726d97e012f44e9cb1e4c7892e9293d5', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 137551, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '0f193d3fa2c142f29e2effab4f4bdd48', 'sid': Equity(0 [DBC]), 'commission': None}]",0.9984017743724304,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.72435, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.38719, 'last_sale_price': 14.38}]",0.9984017743724304,0.0,9979036.200000001,-6.48074069840786,-0.0004989518099999657,0.9984017743724304,0.0,0.0,6,2020-12,-0.0004989518099999257,0.0032335773016107846,0.0,0.0,,,-6.48074069840786,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,9979036.200000001,10013385.46,15974.28190000006,15974.28190000006,0.003436640718106565,10029359.7419,5,0,10013385.46,0.0,10013385.46,34349.25999999978,0.0,0.0,[],[],0.9984072480885032,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.72435, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.38719, 'last_sale_price': 14.56}]",0.9984072480885032,9979036.200000001,10013385.46,35.32632429701469,-0.0004989518099999657,0.9984072480885032,0.0,0.0,7,2020-12,0.0029359741899999126,0.02132409203941008,0.0,0.0,,,4.959498415988113,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10013385.46,10007667.18,15974.28190000006,15974.28190000006,-0.0005701540424473128,10023641.4619,5,0,10007667.18,0.0,10007667.18,-5718.280000001192,0.0,0.0,[],[],0.998406339456502,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.72435, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.38719, 'last_sale_price': 14.6}]",0.998406339456502,10013385.46,10007667.18,17.53819591666049,-0.0005701540424472604,0.9984072480885032,0.0,0.0,8,2020-12,0.002364146189999694,0.020509010477143593,0.0,0.0,,,3.636321135599498,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10007667.18,10029752.21,15974.28190000006,15974.28190000006,0.002203294090670216,10045726.4919,5,0,10029752.21,0.0,10029752.21,22085.030000001192,0.0,0.0,"[{'id': 'fd3222b0953d4c10a9cc2c5b7458813f', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 220, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'fd9fe7f178c44e1eb0ccf603c677ad53', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -37, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4702ecafb1844637a901b6f538bc4c88', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 128, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f06533700cf44bc7a3fa5923eaed786c', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -36, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'dbb4105963bc45cdaa7b3496a9059f25', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 915, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.9984098430399354,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.72435, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.38719, 'last_sale_price': 14.51}]",0.9984098430399354,10007667.18,10029752.21,31.92326055356435,-0.0005701540424472604,0.9984098430399354,0.0,0.0,9,2020-12,0.004572649189999778,0.021677312171731543,0.0,0.0,,,5.904016594092538,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,10029752.21,10053039.82,15974.28190000006,-266.1240349999425,0.0007015126353162593,10052773.695965,5,0,10053039.82,0.0,10053039.82,7047.204064998776,0.0,-16240.40593500249,"[{'id': 'fd3222b0953d4c10a9cc2c5b7458813f', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 220, 'filled': 220, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'fd9fe7f178c44e1eb0ccf603c677ad53', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -37, 'filled': -37, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4702ecafb1844637a901b6f538bc4c88', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 128, 'filled': 128, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f06533700cf44bc7a3fa5923eaed786c', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -36, 'filled': -36, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'dbb4105963bc45cdaa7b3496a9059f25', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 915, 'filled': 915, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 220, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': 'fd3222b0953d4c10a9cc2c5b7458813f', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -37, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': 'fd9fe7f178c44e1eb0ccf603c677ad53', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 128, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '4702ecafb1844637a901b6f538bc4c88', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -36, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': 'f06533700cf44bc7a3fa5923eaed786c', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 915, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.557275, 'order_id': 'dbb4105963bc45cdaa7b3496a9059f25', 'sid': Equity(0 [DBC]), 'commission': None}]",1.0000264726972923,"[{'sid': Equity(4 [VWO]), 'amount': 40986, 'cost_basis': 48.728914814814814, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5399, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 23810, 'cost_basis': 85.07509755900882, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 14574, 'cost_basis': 137.338635, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 138466, 'cost_basis': 14.388313942159087, 'last_sale_price': 14.55}]",1.0000264726972923,10029752.21,10053039.82,34.93309520435025,-0.0005701540424472604,1.0000264726972923,0.0,0.0,10,2020-12,0.005277369596499604,0.020460670512407013,0.0,0.0,,,6.493580355976521,"[0.2, 0.2, 0.2, 0.2, 0.2]"
