,period_open,period_close,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,returns,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algorithm_period_return,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,1,2020-12,0.0,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2,2020-12,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,3,2020-12,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4,2020-12,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,0.0,0.0,"[{'id': '32efc1a2829d46a99d1025e140020669', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 40766, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f74e55c8470f4141a5b57462d295d534', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5436, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e75eb0e2da6d43cea799cb1c9c9f1b46', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 23682, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '2d8149c797cc4963b22973a25d9d5955', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 14610, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a2985660af57490b8b44479bb3b47656', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 137551, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,5,2020-12,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,9979036.200000001,-6099.743099998683,0.0,-9985135.943100002,"[{'id': '32efc1a2829d46a99d1025e140020669', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 40766, 'filled': 40766, 'commission': 203.83, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f74e55c8470f4141a5b57462d295d534', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5436, 'filled': 5436, 'commission': 27.18, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e75eb0e2da6d43cea799cb1c9c9f1b46', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 23682, 'filled': 23682, 'commission': 118.41, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2d8149c797cc4963b22973a25d9d5955', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 14610, 'filled': 14610, 'commission': 73.05, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a2985660af57490b8b44479bb3b47656', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 137551, 'filled': 137551, 'commission': 687.755, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 40766, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.72435, 'order_id': '32efc1a2829d46a99d1025e140020669', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 5436, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'f74e55c8470f4141a5b57462d295d534', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 23682, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'e75eb0e2da6d43cea799cb1c9c9f1b46', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 14610, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '2d8149c797cc4963b22973a25d9d5955', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 137551, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'a2985660af57490b8b44479bb3b47656', 'sid': Equity(0 [DBC]), 'commission': None}]",0.9985126870873323,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.729350000000004, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42862, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08752, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.343635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.39219, 'last_sale_price': 14.38}]",0.9985126870873323,0.0,9979036.200000001,0.0,9979036.200000001,10000000.0,14864.056900000061,9993900.256900001,5,0,9979036.200000001,0.0,-0.0006099743099998722,0.003953085335799425,0.0,0.0,,,-6.48074069840786,-6.4807406984078595,-0.0006099743099998989,0.9985126870873323,0.0,0.0,6,2020-12,-0.0006099743099998722,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,10013385.46,34349.25999999978,0.0,0.0,[],[],0.9985177815056405,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.729350000000004, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42862, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08752, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.343635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.39219, 'last_sale_price': 14.56}]",0.9985177815056405,9979036.200000001,10013385.46,9979036.200000001,10013385.46,14864.056900000061,14864.056900000061,10028249.516900001,5,0,10013385.46,0.0,0.0034370224954249906,0.02153659368716956,0.0,0.0,,,4.7256189234760955,27.808202467665012,-0.0006099743099998989,0.9985177815056405,0.0,0.0,7,2020-12,0.002824951690000077,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10007667.18,-5718.280000001192,0.0,0.0,[],[],0.9985169358369994,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.729350000000004, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42862, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08752, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.343635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.39219, 'last_sale_price': 14.6}]",0.9985169358369994,10013385.46,10007667.18,10013385.46,10007667.18,14864.056900000061,14864.056900000061,10022531.2369,5,0,10007667.18,0.0,-0.000570217164058695,0.020674923179790774,0.0,0.0,,,3.4384735824571884,15.169475406442235,-0.0006099743099998989,0.9985177815056405,0.0,0.0,8,2020-12,0.0022531236900000806,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10029752.21,22085.030000001192,0.0,0.0,"[{'id': '9454ef9e4d2c4602aa59b7c5e9f6a61d', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 215, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'cf21b7fa3f964a66b7e7ff8f8c772198', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -38, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '87ceb2d2fbe34dbeadd0bf6d68cd1ed8', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 126, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '64c21d3e243f4a8d9681042e08ae3c18', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -37, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f60e4665c0b14132b180a561aa1d03c5', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 899, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.9985201966401661,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.729350000000004, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42862, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08752, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.343635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.39219, 'last_sale_price': 14.51}]",0.9985201966401661,10007667.18,10029752.21,10007667.18,10029752.21,14864.056900000061,14864.056900000061,10044616.266900001,5,0,10029752.21,0.0,0.002203538155979068,0.021849356137721605,0.0,0.0,,,5.715973330219012,28.26611126807647,-0.0006099743099998989,0.9985201966401661,0.0,0.0,9,2020-12,0.004461626690000164,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,10051882.57,7040.698309998959,0.0,-15089.661690000445,"[{'id': '9454ef9e4d2c4602aa59b7c5e9f6a61d', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 215, 'filled': 215, 'commission': 1.075, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'cf21b7fa3f964a66b7e7ff8f8c772198', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -38, 'filled': -38, 'commission': 0.19, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '87ceb2d2fbe34dbeadd0bf6d68cd1ed8', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 126, 'filled': 126, 'commission': 0.63, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '64c21d3e243f4a8d9681042e08ae3c18', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -37, 'filled': -37, 'commission': 0.185, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f60e4665c0b14132b180a561aa1d03c5', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 899, 'filled': 899, 'commission': 4.495, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 215, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '9454ef9e4d2c4602aa59b7c5e9f6a61d', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -38, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': 'cf21b7fa3f964a66b7e7ff8f8c772198', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 126, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '87ceb2d2fbe34dbeadd0bf6d68cd1ed8', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -37, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': '64c21d3e243f4a8d9681042e08ae3c18', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 899, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.557275, 'order_id': 'f60e4665c0b14132b180a561aa1d03c5', 'sid': Equity(0 [DBC]), 'commission': None}]",1.0000224445373316,"[{'sid': Equity(4 [VWO]), 'amount': 40981, 'cost_basis': 48.73381161330861, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5398, 'cost_basis': 367.4286551982216, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 23808, 'cost_basis': 85.08021292086694, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 14573, 'cost_basis': 137.3436476947094, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 138450, 'cost_basis': 14.393294416143013, 'last_sale_price': 14.55}]",1.0000224445373316,10029752.21,10051882.57,10029752.21,10051882.57,14864.056900000061,-225.60478999994228,10051656.96521,5,0,10051882.57,0.0,0.0007009424872903569,0.020625546112283906,0.0,0.0,,,6.306017462071507,31.029630033996067,-0.0006099743099998989,1.0000224445373316,0.0,0.0,10,2020-12,0.005165696521000074,"[0.2, 0.2, 0.2, 0.2, 0.2]"
