,period_open,period_close,orders,longs_count,pnl,short_exposure,returns,ending_cash,starting_cash,long_exposure,portfolio_value,starting_exposure,gross_leverage,ending_exposure,net_leverage,shorts_count,starting_value,transactions,long_value,positions,short_value,capital_used,ending_value,alpha,beta,benchmark_period_return,benchmark_volatility,sortino,algorithm_period_return,period_label,excess_return,max_drawdown,algo_volatility,max_leverage,trading_days,treasury_period_return,sharpe,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,[],0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,[],0.0,0.0,0.0,,,0.0,,,0.0,2020-12,0.0,0.0,,0.0,1,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,[],0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,,0.0,2020-12,0.0,0.0,0.0,0.0,2,0.0,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,[],0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,,0.0,2020-12,0.0,0.0,0.0,0.0,3,0.0,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,[],0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,,0.0,2020-12,0.0,0.0,0.0,0.0,4,0.0,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,"[{'id': '3332a6f9882242a38cf6294e85ca8c83', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27184, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}]",0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,,0.0,2020-12,0.0,0.0,0.0,0.0,5,0.0,,"[0, 1, 0, 0, 0]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,"[{'id': '3332a6f9882242a38cf6294e85ca8c83', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27184, 'filled': 27184, 'commission': 135.92000000000002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}]",1,-135.92160435579717,0.0,-1.3592160435615952e-05,16811.91839564398,10000000.0,9983052.16,9999864.078395644,0.0,0.9983187853090958,9983052.16,0.9983187853090958,0,0.0,"[{'amount': 27184, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.2400000590184, 'order_id': '3332a6f9882242a38cf6294e85ca8c83', 'sid': Equity(2 [SPY]), 'commission': None}]",9983052.16,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.24500005901837, 'last_sale_price': 367.24}]",0.0,-9983188.081604356,9983052.16,,,0.0,0.0,-6.4807406984078595,-1.3592160435615952e-05,2020-12,0.0,-1.3592160435678124e-05,8.808726731438542e-05,0.9983187853090958,6,0.0,-6.480740698407861,"[0, 1, 0, 0, 0]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,[],1,8970.719999998808,0.0,0.0008970841933122475,16811.91839564398,16811.91839564398,9992022.879999999,10008834.798395643,9983052.16,0.9983202921484587,9992022.879999999,0.9983202921484587,0,9983052.16,[],9992022.879999999,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.24500005901837, 'last_sale_price': 367.57}]",0.0,0.0,9992022.879999999,,,0.0,0.0,390.00070830311444,0.0008834798395642718,2020-12,0.0,-1.3592160435678124e-05,0.005396696436629804,0.9983202921484587,7,0.0,5.893552390251019,"[0, 1, 0, 0, 0]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,[],1,38873.12000000104,0.0,0.0038838806697292227,16811.91839564398,16811.91839564398,10030896.0,10047707.918395644,9992022.879999999,0.9983267906937398,10030896.0,0.9983267906937398,0,9992022.879999999,[],10030896.0,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.24500005901837, 'last_sale_price': 369.0}]",0.0,0.0,10030896.0,,,0.0,0.0,1968.547462271176,0.0047707918395645255,2020-12,0.0,-1.3592160435678124e-05,0.021673619161041418,0.9983267906937398,8,0.0,6.928803123108335,"[0, 1, 0, 0, 0]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,"[{'id': '6d04de5d0bdd448d8cf4c5ac83248618', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 45, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}]",1,86173.28000000119,0.0,0.008576411724930066,16811.91839564398,16811.91839564398,10117069.280000001,10133881.198395645,10030896.0,0.9983410187995587,10117069.280000001,0.9983410187995587,0,10030896.0,[],10117069.280000001,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.24500005901837, 'last_sale_price': 372.17}]",0.0,0.0,10117069.280000001,,,0.0,0.0,5194.808479630273,0.013388119839564672,2020-12,0.0,-1.3592160435678124e-05,0.046843332351481755,0.9983410187995587,9,0.0,7.976075680687291,"[0, 1, 0, 0, 0]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,"[{'id': '6d04de5d0bdd448d8cf4c5ac83248618', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 45, 'filled': 45, 'commission': 0.225, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}]",1,-19300.865000002086,0.0,-0.0019045876522667538,95.9933956439767,16811.91839564398,10114484.34,10114580.333395643,10117069.280000001,0.999990509404001,10114484.34,0.999990509404001,0,10117069.280000001,"[{'amount': 45, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.4600000000001, 'order_id': '6d04de5d0bdd448d8cf4c5ac83248618', 'sid': Equity(2 [SPY]), 'commission': None}]",10114484.34,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 371.46}]",0.0,-16715.924999998882,10114484.34,,,0.0,0.0,30.149754324991594,0.01145803333956441,2020-12,0.0,-0.001904587652266741,0.04732456894148538,0.999990509404001,10,0.0,6.091291800105199,"[0, 1, 0, 0, 0]"
