,period_open,period_close,long_exposure,returns,capital_used,short_exposure,pnl,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,benchmark_period_return,benchmark_volatility,algorithm_period_return,alpha,beta,sharpe,algo_volatility,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,weights,cumulative_returns
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,1,2020-12,,0.0
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,2,2020-12,,0.0
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,3,2020-12,,0.0
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,4,2020-12,,0.0
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,"[{'id': 'b62bc47ea4df4321b9a3063a68611574', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -28682, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6cc7ed8cf80b477c9ab273b0709353d6', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 4746, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e84812b79b5e4d6b8af39463b54e9654', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 13821, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '83009af3a44947858643b007bf3e9346', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 39929, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '37bdd3be788342abb40f89a68b4815dd', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 208255, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,5,2020-12,"[-0.1407157927751541, 0.17459706962108612, 0.11672261357307434, 0.5465927720069885, 0.3028033375740051]",0.0
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,10605492.31,-0.0006001152854999692,-9214680.062855002,-1396813.4000000001,-6001.152854999527,"[{'id': 'b62bc47ea4df4321b9a3063a68611574', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -28682, 'filled': -28682, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6cc7ed8cf80b477c9ab273b0709353d6', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 4746, 'filled': 4746, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e84812b79b5e4d6b8af39463b54e9654', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 13821, 'filled': 13821, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '83009af3a44947858643b007bf3e9346', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 39929, 'filled': 39929, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '37bdd3be788342abb40f89a68b4815dd', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 208255, 'filled': 153420, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'amount': -28682, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': 'b62bc47ea4df4321b9a3063a68611574', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 4746, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '6cc7ed8cf80b477c9ab273b0709353d6', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 13821, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'e84812b79b5e4d6b8af39463b54e9654', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 39929, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '83009af3a44947858643b007bf3e9346', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '37bdd3be788342abb40f89a68b4815dd', 'sid': Equity(0 [DBC]), 'commission': None}]",1.200951280220401,"[{'sid': Equity(4 [VWO]), 'amount': -28682, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 4746, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 13821, 'cost_basis': 85.08252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 39929, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.38}]",0.9214208497363051,0.0,9208678.91,0.0,9208678.91,10000000.0,785319.9371449999,9993998.847145,4,1,10605492.31,-1396813.4000000001,0.0,0.0,-0.0006001152854999692,,,-6.4807406984078595,0.0038891915544763036,-6.48074069840786,-0.0006001152854999247,1.200951280220401,0.0,0.0,6,2020-12,"[-0.1407157927751541, 0.17459706962108612, 0.11672261357307434, 0.5465927720069885, 0.3028033375740051]",-0.0006001152854999692
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,11426668.010000002,0.0008042727763868385,-798796.7987999991,-1411154.4000000001,8037.901200000197,"[{'id': '37bdd3be788342abb40f89a68b4815dd', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 208255, 'filled': 208255, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 54835, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': '37bdd3be788342abb40f89a68b4815dd', 'sid': Equity(0 [DBC]), 'commission': None}]",1.283520820109387,"[{'sid': Equity(4 [VWO]), 'amount': -28682, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 4746, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 13821, 'cost_basis': 85.08252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 39929, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 208255, 'cost_basis': 14.434608958248303, 'last_sale_price': 14.56}]",1.0013474117316385,9208678.91,10015513.610000001,9208678.91,10015513.610000001,785319.9371449999,-13476.861655000132,10002036.748345,4,1,11426668.010000002,-1411154.4000000001,0.0,0.0,0.00020367483450001167,,,1.1334901098434074,0.006484105690999508,2.041182710919765,-0.0006001152854999247,1.283520820109387,0.0,0.0,7,2020-12,"[-0.1407157927751541, 0.17459706962108612, 0.11672261357307434, 0.5465927720069885, 0.3028033375740051]",0.00020367483450001167
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,11452120.81,0.0033476941589460907,0.0,-1403123.44,33483.75999999978,[],[],1.2809743390300752,"[{'sid': Equity(4 [VWO]), 'amount': -28682, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 4746, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 13821, 'cost_basis': 85.08252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 39929, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 208255, 'cost_basis': 14.434608958248303, 'last_sale_price': 14.6}]",1.0013429160593907,10015513.610000001,10048997.370000001,10015513.610000001,10048997.370000001,-13476.861655000132,-13476.861655000132,10035520.508345,4,1,11452120.81,-1403123.44,0.0,0.0,0.0035520508344999424,,,5.7174535398745565,0.01956873391089996,33.2181472879432,-0.0006001152854999247,1.283520820109387,0.0,0.0,8,2020-12,"[-0.1407157927751541, 0.17459706962108612, 0.11672261357307434, 0.5465927720069885, 0.3028033375740051]",0.0035520508344999424
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,11458926.79,0.00039238423126364275,0.0,-1405991.6400000001,3937.779999997467,"[{'id': '7f77a579b175401f831e6dae044800b5', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -10691, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '900ad25f53c445538c47e9ecf74cd204', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4077, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ec74366b652d4e7f9141294a0fe08d7d', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4591, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '127f764a50ed47dab3c52a48f412e003', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1574, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '464361acaef74cc887230e28348565f7', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -81140, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],1.2814355177843741,"[{'sid': Equity(4 [VWO]), 'amount': -28682, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 4746, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 13821, 'cost_basis': 85.08252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 39929, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 208255, 'cost_basis': 14.434608958248303, 'last_sale_price': 14.51}]",1.0013423893269866,10048997.370000001,10052935.149999999,10048997.370000001,10052935.149999999,-13476.861655000132,-13476.861655000132,10039458.288344998,4,1,11458926.79,-1405991.6400000001,0.0,0.0,0.003945828834499787,,,6.032618373837653,0.018306910503349032,34.778208473278,-0.0006001152854999247,1.283520820109387,0.0,0.0,9,2020-12,"[-0.19224849343299866, 0.327103853225708, 0.15475055575370789, 0.5266764163970947, 0.18371765315532684]",0.003945828834499787
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,11957184.350000001,-0.0019631805062507723,26973.681195000187,-1950932.1500000001,-19709.268804997206,"[{'id': '7f77a579b175401f831e6dae044800b5', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -10691, 'filled': -10691, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '900ad25f53c445538c47e9ecf74cd204', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4077, 'filled': 4077, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ec74366b652d4e7f9141294a0fe08d7d', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4591, 'filled': 4591, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '127f764a50ed47dab3c52a48f412e003', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1574, 'filled': -1574, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '464361acaef74cc887230e28348565f7', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -81140, 'filled': -81140, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -10691, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': '7f77a579b175401f831e6dae044800b5', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 4077, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '900ad25f53c445538c47e9ecf74cd204', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 4591, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': 'ec74366b652d4e7f9141294a0fe08d7d', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -1574, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': '127f764a50ed47dab3c52a48f412e003', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -81140, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '464361acaef74cc887230e28348565f7', 'sid': Equity(0 [DBC]), 'commission': None}]",1.388070347159106,"[{'sid': Equity(4 [VWO]), 'amount': -39373, 'cost_basis': 48.906336163741656, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 8823, 'cost_basis': 369.3746052057124, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 18412, 'cost_basis': 84.73824736313274, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 38355, 'cost_basis': 137.338635, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 127115, 'cost_basis': 14.434608958248303, 'last_sale_price': 14.55}]",0.9986529782818233,10052935.149999999,10006252.200000001,10052935.149999999,10006252.200000001,-13476.861655000132,13496.819540000055,10019749.01954,4,1,11957184.350000001,-1950932.1500000001,0.0,0.0,0.0019749019540000745,,,2.3712792426220353,0.021053022583250536,4.844383172326015,-0.001963180506250882,1.388070347159106,0.0,0.0,10,2020-12,"[-0.19224849343299866, 0.327103853225708, 0.15475055575370789, 0.5266764163970947, 0.18371765315532684]",0.0019749019540000745
