,period_open,period_close,portfolio_value,net_leverage,gross_leverage,capital_used,starting_cash,longs_count,ending_exposure,ending_value,orders,starting_exposure,transactions,ending_cash,starting_value,positions,short_exposure,short_value,pnl,long_exposure,shorts_count,long_value,returns,max_leverage,sharpe,treasury_period_return,period_label,algo_volatility,sortino,trading_days,benchmark_period_return,benchmark_volatility,alpha,beta,excess_return,max_drawdown,algorithm_period_return,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,10000000.0,0.0,0.0,0.0,10000000.0,0,0.0,0.0,[],0.0,[],10000000.0,0.0,[],0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,2020-12,,,1,0.0,,,,0.0,0.0,0.0,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,10000000.0,0.0,0.0,0.0,10000000.0,0,0.0,0.0,[],0.0,[],10000000.0,0.0,[],0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,2020-12,0.0,,2,0.0,0.0,,,0.0,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,10000000.0,0.0,0.0,0.0,10000000.0,0,0.0,0.0,[],0.0,[],10000000.0,0.0,[],0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,2020-12,0.0,,3,0.0,0.0,,,0.0,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,10000000.0,0.0,0.0,0.0,10000000.0,0,0.0,0.0,[],0.0,[],10000000.0,0.0,[],0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,2020-12,0.0,,4,0.0,0.0,,,0.0,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,10000000.0,0.0,0.0,0.0,10000000.0,0,0.0,0.0,"[{'id': 'c92780cdb8314fd3afe0b8140459e28e', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6750, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '8b8abce7e7904346bc0956b9ad534173', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 13086, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e7482dba92c64696b7e5274ece0f1e35', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -1137, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e2c942cd6234481f913b748c8915bcb8', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 37213, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6ed8acf3daf847e6a354517089aaea8c', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 35699, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,[],10000000.0,0.0,[],0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,2020-12,0.0,,5,0.0,0.0,,,0.0,0.0,0.0,"[-0.033117394894361496, 0.48139649629592896, -0.009608631022274494, 0.5094220638275146, 0.0519074946641922]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,9993487.880956633,1.0008384869370117,1.0859770261672763,-10008379.409043366,10000000.0,3,10001867.29,10001867.29,"[{'id': 'c92780cdb8314fd3afe0b8140459e28e', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6750, 'filled': -6750, 'commission': 32.856063750000004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '8b8abce7e7904346bc0956b9ad534173', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 13086, 'filled': 13086, 'commission': 480.8105491320001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e7482dba92c64696b7e5274ece0f1e35', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -1137, 'filled': -1137, 'commission': 9.664213476000002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e2c942cd6234481f913b748c8915bcb8', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 37213, 'filled': 37213, 'commission': 511.0782624255001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6ed8acf3daf847e6a354517089aaea8c', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 35699, 'filled': 35699, 'commission': 51.360829581000004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",0.0,"[{'amount': -6750, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': 'c92780cdb8314fd3afe0b8140459e28e', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 13086, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '8b8abce7e7904346bc0956b9ad534173', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -1137, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': 'e7482dba92c64696b7e5274ece0f1e35', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 37213, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'e2c942cd6234481f913b748c8915bcb8', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 35699, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '6ed8acf3daf847e6a354517089aaea8c', 'sid': Equity(0 [DBC]), 'commission': None}]",-8379.409043366119,0.0,"[{'sid': Equity(4 [VWO]), 'amount': -6750, 'cost_basis': 48.67078243500001, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 13086, 'cost_basis': 367.46036236199996, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -1137, 'cost_basis': 84.988980252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 37213, 'cost_basis': 137.35236886350003, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 35699, 'cost_basis': 14.388628719000002, 'last_sale_price': 14.38}]",-425415.48,-425415.48,-6512.1190433669835,10427282.77,2,10427282.77,-0.00045894482723873924,1.0859770261672763,-6.4807406984078595,0.0,2020-12,0.0042203354917225485,-6.480740698407859,6,0.0,0.0,,,0.0,-0.0006512119043367193,-0.0006512119043367015,"[-0.033117394894361496, 0.48139649629592896, -0.009608631022274494, 0.5094220638275146, 0.0519074946641922]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,10002598.820956632,1.0008377231950771,1.0864485004868634,0.0,-8379.409043366119,3,10010978.229999999,10010978.229999999,[],10001867.29,[],-8379.409043366119,10001867.29,"[{'sid': Equity(4 [VWO]), 'amount': -6750, 'cost_basis': 48.67078243500001, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 13086, 'cost_basis': 367.46036236199996, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -1137, 'cost_basis': 84.988980252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 37213, 'cost_basis': 137.35236886350003, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 35699, 'cost_basis': 14.388628719000002, 'last_sale_price': 14.56}]",-428165.13,-428165.13,9110.939999999478,10439143.36,2,10439143.36,0.0012791364190459888,1.0864485004868634,1.2964718729114155,0.0,2020-12,0.0072328053601816,2.3999174076497503,7,0.0,0.0,,,0.0,-0.0006512119043367193,0.00025988209566318865,"[-0.033117394894361496, 0.48139649629592896, -0.009608631022274494, 0.5094220638275146, 0.0519074946641922]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10042813.440956635,1.000834368684894,1.0855878219880077,0.0,-8379.409043366119,3,10051192.850000001,10051192.850000001,[],10010978.229999999,[],-8379.409043366119,10010978.229999999,"[{'sid': Equity(4 [VWO]), 'amount': -6750, 'cost_basis': 48.67078243500001, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 13086, 'cost_basis': 367.46036236199996, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -1137, 'cost_basis': 84.988980252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 37213, 'cost_basis': 137.35236886350003, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 35699, 'cost_basis': 14.388628719000002, 'last_sale_price': 14.6}]",-425581.56,-425581.56,40214.620000002906,10476774.410000002,2,10476774.410000002,0.004330290300160245,1.0864485004868634,5.7782898858928355,0.0,2020-12,0.023337030678777317,36.894983040249166,8,0.0,0.0,,,0.0,-0.0006512119043367193,0.004281344095663497,"[-0.033117394894361496, 0.48139649629592896, -0.009608631022274494, 0.5094220638275146, 0.0519074946641922]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10083188.820956634,1.0008310276830232,1.0854917570572264,0.0,-8379.409043366119,3,10091568.23,10091568.23,"[{'id': '68ca7945047d41109384cf94732f61dc', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 10458, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5617d18ea5cb40baa74547279d31987b', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -3179, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7e78b6dc299b4476ab31fd832dbaf7e0', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 8824, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '49faf499e0e24bc18eab0d51bb0f7ee4', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -18999, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '060c3c1e6b4b4ac8b47504c440d246a3', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 174835, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10051192.850000001,[],-8379.409043366119,10051192.850000001,"[{'sid': Equity(4 [VWO]), 'amount': -6750, 'cost_basis': 48.67078243500001, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 13086, 'cost_basis': 367.46036236199996, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -1137, 'cost_basis': 84.988980252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 37213, 'cost_basis': 137.35236886350003, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 35699, 'cost_basis': 14.388628719000002, 'last_sale_price': 14.51}]",-426825.06,-426825.06,40375.37999999896,10518393.290000001,2,10518393.290000001,0.004406770225533405,1.0864485004868634,8.133593157150765,0.0,2020-12,0.02857705264478635,67.45257498430578,9,0.0,0.0,,,0.0,-0.0006512119043367193,0.008318882095663449,"[0.018029101192951202, 0.3656529486179352, 0.06433606147766113, 0.24901635944843292, 0.30296555161476135]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,10070617.10363457,0.9385423229514707,0.9385423229514707,627296.1426779348,-8379.409043366119,5,9451700.370000001,9451700.370000001,"[{'id': '68ca7945047d41109384cf94732f61dc', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 10458, 'filled': 10458, 'commission': 51.84529969500001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5617d18ea5cb40baa74547279d31987b', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -3179, 'filled': -3179, 'commission': 118.02809043300002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7e78b6dc299b4476ab31fd832dbaf7e0', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 8824, 'filled': 8824, 'commission': 73.858494792, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '49faf499e0e24bc18eab0d51bb0f7ee4', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -18999, 'filled': -18999, 'commission': 261.903190896, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '060c3c1e6b4b4ac8b47504c440d246a3', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 174835, 'filled': 131500, 'commission': 191.42816625000003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10091568.23,"[{'amount': 10458, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '68ca7945047d41109384cf94732f61dc', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -3179, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': '5617d18ea5cb40baa74547279d31987b', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 8824, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '7e78b6dc299b4476ab31fd832dbaf7e0', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -18999, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': '49faf499e0e24bc18eab0d51bb0f7ee4', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.557275, 'order_id': '060c3c1e6b4b4ac8b47504c440d246a3', 'sid': Equity(0 [DBC]), 'commission': None}]",618916.7336345679,10091568.23,"[{'sid': Equity(4 [VWO]), 'amount': 3708, 'cost_basis': 49.58875701178399, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 9907, 'cost_basis': 367.4722759675751, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 7687, 'cost_basis': 83.71143823400443, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 18214, 'cost_basis': 137.36674808777235, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 167199, 'cost_basis': 14.522411900225668, 'last_sale_price': 14.55}]",0.0,0.0,-12571.717322064564,9451700.370000001,0,9451700.370000001,-0.0009412237305508784,1.0864485004868634,6.117397922801664,0.0,2020-12,0.029059962479148542,25.175840709963037,10,0.0,0.0,,,0.0,-0.001246799752072111,0.00706171036345693,"[0.018029101192951202, 0.3656529486179352, 0.06433606147766113, 0.24901635944843292, 0.30296555161476135]"
