,period_open,period_close,short_value,returns,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,1,2020-12,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2,2020-12,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,3,2020-12,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4,2020-12,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '89a2823dce964d15894916e05f26218a', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6750, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '32eae5a167d643e7bc97c16e4497d2be', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 13086, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1a92d5d4726748898b7ec5e6839211df', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -1137, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b6afec038bc44ffaa24b55f2c14c052b', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 37213, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e038fa583ae74384b56ba4a5209e3238', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 35699, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,5,2020-12,"[-0.033117394894361496, 0.48139649629592896, -0.009608631022274494, 0.5094220638275146, 0.0519074946641922]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,-425415.48,-0.0003597563354023065,10427282.77,-5520.234125003219,-425415.48,-10007387.524124999,"[{'id': '89a2823dce964d15894916e05f26218a', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6750, 'filled': -6750, 'commission': 6.75, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '32eae5a167d643e7bc97c16e4497d2be', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 13086, 'filled': 13086, 'commission': 13.086, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1a92d5d4726748898b7ec5e6839211df', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -1137, 'filled': -1137, 'commission': 1.137, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b6afec038bc44ffaa24b55f2c14c052b', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 37213, 'filled': 37213, 'commission': 37.213, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e038fa583ae74384b56ba4a5209e3238', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 35699, 'filled': 35699, 'commission': 35.699, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -6750, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '89a2823dce964d15894916e05f26218a', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 13086, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '32eae5a167d643e7bc97c16e4497d2be', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -1137, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': '1a92d5d4726748898b7ec5e6839211df', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 37213, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'b6afec038bc44ffaa24b55f2c14c052b', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 35699, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'e038fa583ae74384b56ba4a5209e3238', 'sid': Equity(0 [DBC]), 'commission': None}]",1.0858692502490517,"[{'sid': Equity(4 [VWO]), 'amount': -6750, 'cost_basis': 48.67465, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 13086, 'cost_basis': 367.42462, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -1137, 'cost_basis': 84.99648, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 37213, 'cost_basis': 137.33963500000002, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 35699, 'cost_basis': 14.388190000000002, 'last_sale_price': 14.38}]",1.0007391604463722,0.0,10001867.29,0.0,10001867.29,10000000.0,-7387.524125001616,9994479.765874997,3,2,10427282.77,-0.0005520234125002688,0.0035775205958644826,0.0,0.0,,,-6.4807406984078595,-6.4807406984078595,-0.0005520234125002332,1.0858692502490517,0.0,0.0,6,2020-12,"[-0.033117394894361496, 0.48139649629592896, -0.009608631022274494, 0.5094220638275146, 0.0519074946641922]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,-428165.13,0.001279045940171374,10439143.36,9110.939999999478,-428165.13,0.0,[],[],1.0863407759793444,"[{'sid': Equity(4 [VWO]), 'amount': -6750, 'cost_basis': 48.67465, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 13086, 'cost_basis': 367.42462, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -1137, 'cost_basis': 84.99648, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 37213, 'cost_basis': 137.33963500000002, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 35699, 'cost_basis': 14.388190000000002, 'last_sale_price': 14.56}]",1.000738487243452,10001867.29,10010978.229999999,10001867.29,10010978.229999999,-7387.524125001616,-7387.524125001616,10003590.705874996,3,2,10439143.36,0.0003590705874996214,0.00685020383175387,0.0,0.0,,,1.8896747449089508,3.9082452196830535,-0.0005520234125002332,1.0863407759793444,0.0,0.0,7,2020-12,"[-0.033117394894361496, 0.48139649629592896, -0.009608631022274494, 0.5094220638275146, 0.0519074946641922]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,-425581.56,0.0043298916641835725,10476774.410000002,40214.620000002906,-425581.56,0.0,[],[],1.085480613798158,"[{'sid': Equity(4 [VWO]), 'amount': -6750, 'cost_basis': 48.67465, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 13086, 'cost_basis': 367.42462, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -1137, 'cost_basis': 84.99648, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 37213, 'cost_basis': 137.33963500000002, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 35699, 'cost_basis': 14.388190000000002, 'last_sale_price': 14.6}]",1.0007355303976244,10010978.229999999,10051192.850000001,10010978.229999999,10051192.850000001,-7387.524125001616,-7387.524125001616,10043805.325875,3,2,10476774.410000002,0.00438053258749993,0.02315928860822844,0.0,0.0,,,5.956882400263626,44.52782343819281,-0.0005520234125002332,1.0863407759793444,0.0,0.0,8,2020-12,"[-0.033117394894361496, 0.48139649629592896, -0.009608631022274494, 0.5094220638275146, 0.0519074946641922]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,-426825.06,0.004406373194706745,10518393.290000001,40375.37999999896,-426825.06,0.0,"[{'id': '83f3be169b8d4d4eaa9aba4a1e033b94', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 10458, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ad8e51baba7344d99acd036589fc36ef', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -3178, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '2ab3be9c35c547d2abd7c7ed297cda26', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 8825, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3267ffa5989441cba51c88c3f4486ba0', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -18997, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '611728e895b94d27ba4986b2e6817dda', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 174856, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],1.0853849875601065,"[{'sid': Equity(4 [VWO]), 'amount': -6750, 'cost_basis': 48.67465, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 13086, 'cost_basis': 367.42462, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -1137, 'cost_basis': 84.99648, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 37213, 'cost_basis': 137.33963500000002, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 35699, 'cost_basis': 14.388190000000002, 'last_sale_price': 14.51}]",1.0007325854564166,10051192.850000001,10091568.23,10051192.850000001,10091568.23,-7387.524125001616,-7387.524125001616,10084180.705874998,3,2,10518393.290000001,0.008418070587499882,0.028406614758348027,0.0,0.0,,,8.279289437911403,80.51485847148078,-0.0005520234125002332,1.0863407759793444,0.0,0.0,9,2020-12,"[0.018029101192951202, 0.3656529486179352, 0.06433606147766113, 0.24901635944843292, 0.30296555161476135]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,0.0,-0.0008891001362535853,9452431.329999998,-12047.330260001123,0.0,627089.5697400011,"[{'id': '83f3be169b8d4d4eaa9aba4a1e033b94', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 10458, 'filled': 10458, 'commission': 10.458, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ad8e51baba7344d99acd036589fc36ef', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -3178, 'filled': -3178, 'commission': 3.178, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2ab3be9c35c547d2abd7c7ed297cda26', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 8825, 'filled': 8825, 'commission': 8.825000000000001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3267ffa5989441cba51c88c3f4486ba0', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -18997, 'filled': -18997, 'commission': 18.997, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '611728e895b94d27ba4986b2e6817dda', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 174856, 'filled': 131500, 'commission': 131.5, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'amount': 10458, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '83f3be169b8d4d4eaa9aba4a1e033b94', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -3178, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': 'ad8e51baba7344d99acd036589fc36ef', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 8825, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '2ab3be9c35c547d2abd7c7ed297cda26', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -18997, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': '3267ffa5989441cba51c88c3f4486ba0', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.557275, 'order_id': '611728e895b94d27ba4986b2e6817dda', 'sid': Equity(0 [DBC]), 'commission': None}]",0.9384736060867382,"[{'sid': Equity(4 [VWO]), 'amount': 3708, 'cost_basis': 49.57759538834952, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 9908, 'cost_basis': 367.4249407509083, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 7688, 'cost_basis': 83.70297789281999, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 18216, 'cost_basis': 137.34067787439616, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 167199, 'cost_basis': 14.521959804245242, 'last_sale_price': 14.55}]",0.9384736060867382,10091568.23,9452431.329999998,10091568.23,9452431.329999998,-7387.524125001616,619702.045614999,10072133.375614997,5,0,9452431.329999998,0.0072133375614997775,0.028833779122753696,0.0,0.0,,,6.296853667122895,27.482316683870195,-0.0011946761577748325,1.0863407759793444,0.0,0.0,10,2020-12,"[0.018029101192951202, 0.3656529486179352, 0.06433606147766113, 0.24901635944843292, 0.30296555161476135]"
