,period_open,period_close,net_leverage,returns,orders,starting_cash,longs_count,long_value,ending_exposure,short_value,gross_leverage,pnl,shorts_count,positions,transactions,long_exposure,capital_used,ending_value,starting_exposure,ending_cash,short_exposure,portfolio_value,starting_value,max_drawdown,sortino,algorithm_period_return,alpha,beta,excess_return,algo_volatility,benchmark_period_return,benchmark_volatility,trading_days,period_label,max_leverage,treasury_period_return,sharpe,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.000225,[],10000000.0,0,0.0,0.0,0.0,0.0,0.0,0,[],[],0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,0.0,0.0,,0.0,,,0.0,,0.0,,1,2020-12,0.0,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.000225,[],10000000.0,0,0.0,0.0,0.0,0.0,0.0,0,[],[],0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,2,2020-12,0.0,0.0,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.000225,[],10000000.0,0,0.0,0.0,0.0,0.0,0.0,0,[],[],0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,3,2020-12,0.0,0.0,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.000225,[],10000000.0,0,0.0,0.0,0.0,0.0,0.0,0,[],[],0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,4,2020-12,0.0,0.0,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.000225,"[{'id': 'c8b3a7bf82d843409d71c73ab0b86188', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -15482, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a202c8fb38a44df6838cd194ffde80d8', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 6433, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '30d8defc4dba45d6a40863c3eba47a92', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -8461, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '868209ffaac64a1183d7a277e0b10ba7', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 46067, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3bafc1e6d0a84708b2aaa9c52af82a5c', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 192667, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10000000.0,0,0.0,0.0,0.0,0.0,0.0,0,[],[],0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,5,2020-12,0.0,0.0,,"[-0.07595507055521011, 0.2366558462381363, -0.07145904004573822, 0.6306197047233582, 0.2801385521888733]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,0.942566584655586,-0.0005082189225001118,"[{'id': 'c8b3a7bf82d843409d71c73ab0b86188', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -15482, 'filled': -15482, 'commission': 77.41, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a202c8fb38a44df6838cd194ffde80d8', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 6433, 'filled': 6433, 'commission': 32.165, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '30d8defc4dba45d6a40863c3eba47a92', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -8461, 'filled': -8461, 'commission': 42.305, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '868209ffaac64a1183d7a277e0b10ba7', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 46067, 'filled': 46067, 'commission': 230.335, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3bafc1e6d0a84708b2aaa9c52af82a5c', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 192667, 'filled': 153420, 'commission': 767.1, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10000000.0,3,10892251.610000001,9418754.770000001,-1473496.84,1.2374821903582276,-7332.189225001261,2,"[{'sid': Equity(4 [VWO]), 'amount': -15482, 'cost_basis': 48.67065, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 6433, 'cost_basis': 367.42862, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -8461, 'cost_basis': 84.99248, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 46067, 'cost_basis': 137.343635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.392190000000003, 'last_sale_price': 14.38}]","[{'amount': -15482, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': 'c8b3a7bf82d843409d71c73ab0b86188', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 6433, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'a202c8fb38a44df6838cd194ffde80d8', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -8461, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': '30d8defc4dba45d6a40863c3eba47a92', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 46067, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '868209ffaac64a1183d7a277e0b10ba7', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '3bafc1e6d0a84708b2aaa9c52af82a5c', 'sid': Equity(0 [DBC]), 'commission': None}]",10892251.610000001,-9426086.959225,9418754.770000001,0.0,573913.0407749981,-1473496.84,9992667.810774999,0.0,-0.0007332189225000718,-6.48074069840786,-0.0007332189225001118,,,0.0,0.004751801711889233,0.0,0.0,6,2020-12,1.2374821903582276,0.0,-6.480740698407861,"[-0.07595507055521011, 0.2366558462381363, -0.07145904004573822, 0.6306197047233582, 0.2801385521888733]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,0.9998009257448974,0.002982131264815138,"[{'id': '3bafc1e6d0a84708b2aaa9c52af82a5c', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 192667, 'filled': 192667, 'commission': 963.335, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",573913.0407749981,3,11494808.43,10018224.14,-1476584.29,1.2945218901497468,27551.09683999978,2,"[{'sid': Equity(4 [VWO]), 'amount': -15482, 'cost_basis': 48.67065, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 6433, 'cost_basis': 367.42862, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -8461, 'cost_basis': 84.99248, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 46067, 'cost_basis': 137.343635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 192667, 'cost_basis': 14.42887501730966, 'last_sale_price': 14.56}]","[{'amount': 39247, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': '3bafc1e6d0a84708b2aaa9c52af82a5c', 'sid': Equity(0 [DBC]), 'commission': None}]",11494808.43,-571918.2731599994,10018224.14,9418754.770000001,1994.767614998142,-1476584.29,10020218.907614999,9418754.770000001,-0.0007332189225000718,16.561866696625394,0.002021890761499945,,,0.0,0.01781226404959656,0.0,0.0,7,2020-12,1.2945218901497468,0.0,4.090487549503356,"[-0.07595507055521011, 0.2366558462381363, -0.07145904004573822, 0.6306197047233582, 0.2801385521888733]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,0.9998018758801613,0.005020656706010565,[],1994.767614998142,3,11533365.79,10066277.669999998,-1467088.12,1.2912298500615056,48053.52999999747,2,"[{'sid': Equity(4 [VWO]), 'amount': -15482, 'cost_basis': 48.67065, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 6433, 'cost_basis': 367.42862, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -8461, 'cost_basis': 84.99248, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 46067, 'cost_basis': 137.343635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 192667, 'cost_basis': 14.42887501730966, 'last_sale_price': 14.6}]",[],11533365.79,0.0,10066277.669999998,10018224.14,1994.767614998142,-1467088.12,10068272.437614996,10018224.14,-0.0007332189225000718,52.20096642611912,0.0068272437614997905,,,0.0,0.030194007161637,0.0,0.0,8,2020-12,1.2945218901497468,0.0,7.114538453683324,"[-0.07595507055521011, 0.2366558462381363, -0.07145904004573822, 0.6306197047233582, 0.2801385521888733]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,0.9998019038173028,0.0003660281663314361,"[{'id': 'ecb87dc408124c25a2f95cf3724d7ef4', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -15280, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '12dae962a54d4f3596fe73d9630229cc', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 8052, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'db229d7f78c542d588199e48b2c1180e', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 2604, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '584953ccc14741cfbe18f95ae81ae404', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -13011, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6e6fd9689319485a8489436c0389e52b', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -46307, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",1994.767614998142,3,11540564.4,10067697.58,-1472866.8199999998,1.2923365253638783,1419.9100000020117,2,"[{'sid': Equity(4 [VWO]), 'amount': -15482, 'cost_basis': 48.67065, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 6433, 'cost_basis': 367.42862, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -8461, 'cost_basis': 84.99248, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 46067, 'cost_basis': 137.343635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 192667, 'cost_basis': 14.42887501730966, 'last_sale_price': 14.51}]",[],11540564.4,0.0,10067697.58,10066277.669999998,1994.767614998142,-1472866.8199999998,10069692.347614998,10066277.669999998,-0.0007332189225000718,50.233316793508045,0.0069692347615000205,,,0.0,0.028493675517413913,0.0,0.0,9,2020-12,1.2945218901497468,0.0,6.8399993497253675,"[-0.14975400269031525, 0.5353816151618958, -0.049075644463300705, 0.4525507390499115, 0.21089720726013184]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,0.9985230348973234,0.0002395339827621882,"[{'id': 'ecb87dc408124c25a2f95cf3724d7ef4', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -15280, 'filled': -15280, 'commission': 76.4, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '12dae962a54d4f3596fe73d9630229cc', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 8052, 'filled': 8052, 'commission': 40.26, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'db229d7f78c542d588199e48b2c1180e', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 2604, 'filled': 2604, 'commission': 13.02, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '584953ccc14741cfbe18f95ae81ae404', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -13011, 'filled': -13011, 'commission': 65.055, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6e6fd9689319485a8489436c0389e52b', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -46307, 'filled': -46307, 'commission': 231.535, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",1994.767614998142,3,12069219.620000001,10054965.9,-2014253.7200000002,1.3985798342043452,146.35273500159383,2,"[{'sid': Equity(4 [VWO]), 'amount': -30762, 'cost_basis': 49.09264811455692, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 14485, 'cost_basis': 369.77562930065585, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -5857, 'cost_basis': 84.99025701895168, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 33056, 'cost_basis': 137.34560302395934, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 146360, 'cost_basis': 14.43045697276197, 'last_sale_price': 14.55}]","[{'amount': -15280, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': 'ecb87dc408124c25a2f95cf3724d7ef4', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 8052, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '12dae962a54d4f3596fe73d9630229cc', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 2604, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': 'db229d7f78c542d588199e48b2c1180e', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -13011, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': '584953ccc14741cfbe18f95ae81ae404', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -46307, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '6e6fd9689319485a8489436c0389e52b', 'sid': Equity(0 [DBC]), 'commission': None}]",12069219.620000001,12878.032735001296,10054965.9,10067697.58,14872.800349998888,-2014253.7200000002,10069838.70035,10067697.58,-0.0007332189225000718,47.7550151009137,0.006983870035000006,,,0.0,0.027132852772909135,0.0,0.0,10,2020-12,1.3985798342043452,0.0,6.478246413899593,"[-0.14975400269031525, 0.5353816151618958, -0.049075644463300705, 0.4525507390499115, 0.21089720726013184]"
