,period_open,period_close,capital_used,gross_leverage,short_exposure,ending_value,net_leverage,shorts_count,long_exposure,longs_count,portfolio_value,long_value,starting_value,starting_exposure,returns,ending_cash,orders,short_value,ending_exposure,starting_cash,pnl,transactions,positions,treasury_period_return,trading_days,excess_return,sortino,max_leverage,alpha,beta,max_drawdown,algorithm_period_return,period_label,benchmark_period_return,benchmark_volatility,algo_volatility,sharpe,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10000000.0,0.0,0.0,0.0,0.0,10000000.0,[],0.0,0.0,10000000.0,0.0,[],[],0.0,1,0.0,,0.0,,,0.0,0.0,2020-12,0.0,,,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10000000.0,0.0,0.0,0.0,0.0,10000000.0,[],0.0,0.0,10000000.0,0.0,[],[],0.0,2,0.0,,0.0,,,0.0,0.0,2020-12,0.0,0.0,0.0,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10000000.0,0.0,0.0,0.0,0.0,10000000.0,[],0.0,0.0,10000000.0,0.0,[],[],0.0,3,0.0,,0.0,,,0.0,0.0,2020-12,0.0,0.0,0.0,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10000000.0,0.0,0.0,0.0,0.0,10000000.0,[],0.0,0.0,10000000.0,0.0,[],[],0.0,4,0.0,,0.0,,,0.0,0.0,2020-12,0.0,0.0,0.0,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10000000.0,0.0,0.0,0.0,0.0,10000000.0,"[{'id': '8c49e611c2ce487bb363a9a9385a5909', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5281, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '9e3e3bbd2b5c479db8cdd59b7456130c', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 8010, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c67149f6fe8d40219913cef5db8d6693', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 7458, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c90fbaff782f4f2290971d0d78dffada', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 34114, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'eba91969283f47cd81995c548d4a9cc6', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 138403, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,10000000.0,0.0,[],[],0.0,5,0.0,,0.0,,,0.0,0.0,2020-12,0.0,0.0,0.0,,"[-0.025910397991538048, 0.29469260573387146, 0.06298328936100006, 0.46699631214141846, 0.20123820006847382]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,-9996952.97467,1.051159111525653,-257184.7,9991699.940000001,0.9996951373215781,1,10248884.64,4,9994746.965330001,10248884.64,0.0,0.0,-0.0004893419406084886,3047.0253299998585,"[{'id': '8c49e611c2ce487bb363a9a9385a5909', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5281, 'filled': -5281, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9e3e3bbd2b5c479db8cdd59b7456130c', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 8010, 'filled': 8010, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c67149f6fe8d40219913cef5db8d6693', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 7458, 'filled': 7458, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c90fbaff782f4f2290971d0d78dffada', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 34114, 'filled': 34114, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'eba91969283f47cd81995c548d4a9cc6', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 138403, 'filled': 138403, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-257184.7,9991699.940000001,10000000.0,-5253.034669999033,"[{'amount': -5281, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '8c49e611c2ce487bb363a9a9385a5909', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 8010, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '9e3e3bbd2b5c479db8cdd59b7456130c', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 7458, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'c67149f6fe8d40219913cef5db8d6693', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 34114, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'c90fbaff782f4f2290971d0d78dffada', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 138403, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'eba91969283f47cd81995c548d4a9cc6', 'sid': Equity(0 [DBC]), 'commission': None}]","[{'sid': Equity(4 [VWO]), 'amount': -5281, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 8010, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 7458, 'cost_basis': 85.08252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 34114, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 138403, 'cost_basis': 14.38719, 'last_sale_price': 14.38}]",0.0,6,0.0,-6.4807406984078595,1.051159111525653,,,-0.0005253034669998157,-0.0005253034669998602,2020-12,0.0,0.0,0.003404355557600744,-6.480740698407861,"[-0.025910397991538048, 0.29469260573387146, 0.06298328936100006, 0.46699631214141846, 0.20123820006847382]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,0.0,1.0515748067084119,-259825.2,10013536.8,0.9996958019437431,1,10273362.0,4,10016583.82533,10273362.0,9991699.940000001,9991699.940000001,0.0022894714730325705,3047.0253299998585,[],-259825.2,10013536.8,3047.0253299998585,21836.859999999404,[],"[{'sid': Equity(4 [VWO]), 'amount': -5281, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 8010, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 7458, 'cost_basis': 85.08252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 34114, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 138403, 'cost_basis': 14.38719, 'last_sale_price': 14.56}]",0.0,7,0.0,18.955103150518593,1.0515748067084119,,,-0.0005253034669998157,0.0016583825330001023,2020-12,0.0,0.0,0.013984002351762202,4.272245306531702,"[-0.025910397991538048, 0.29469260573387146, 0.06298328936100006, 0.46699631214141846, 0.20123820006847382]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,0.0,1.051126672629812,-258346.52000000002,10043490.100000001,0.999696708896609,1,10301836.620000001,4,10046537.125330001,10301836.620000001,10013536.8,10013536.8,0.003082916245691824,3047.0253299998585,[],-258346.52000000002,10043490.100000001,3047.0253299998585,29953.300000000745,[],"[{'sid': Equity(4 [VWO]), 'amount': -5281, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 8010, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 7458, 'cost_basis': 85.08252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 34114, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 138403, 'cost_basis': 14.38719, 'last_sale_price': 14.6}]",0.0,8,0.0,49.68081610855228,1.0515748067084119,,,-0.0005253034669998157,0.004653712533000176,2020-12,0.0,0.0,0.020159519818616682,7.2656434552886315,"[-0.025910397991538048, 0.29469260573387146, 0.06298328936100006, 0.46699631214141846, 0.20123820006847382]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,0.0,1.051134047242442,-258874.62000000002,10062696.690000001,0.9996972876107149,1,10321571.31,4,10065743.715330001,10321571.31,10043490.100000001,10043490.100000001,0.0018889095753500762,3047.0253299998585,"[{'id': '104bea04f4574a60a4c99a12c3675aed', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 5853, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5dc66bc57fb94d8f9f6492fc1543481c', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 5629, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '83b5bd74f5354ff9b04e568cc4126a95', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -633, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '267823820cb54b30bab5e4515a93c93d', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -14369, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '2af5691ddad6466bba17320812ed474b', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -23745, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-258874.62000000002,10062696.690000001,3047.0253299998585,19206.58999999985,[],"[{'sid': Equity(4 [VWO]), 'amount': -5281, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 8010, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 7458, 'cost_basis': 85.08252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 34114, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 138403, 'cost_basis': 14.38719, 'last_sale_price': 14.51}]",0.0,9,0.0,66.09714297379823,1.0515748067084119,,,-0.0005253034669998157,0.006574371533000223,2020-12,0.0,0.0,0.020128927878958012,9.12748917753145,"[0.002786626573652029, 0.5043038129806519, 0.05721062421798706, 0.27041754126548767, 0.16528140008449554]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,-3126.0717499982566,1.0000078597703403,0.0,10057169.34,1.0000078597703403,0,10057169.34,5,10057090.29358,10057169.34,10062696.690000001,10062696.690000001,-0.0008739044304724132,-79.04641999967862,"[{'id': '104bea04f4574a60a4c99a12c3675aed', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 5853, 'filled': 5853, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5dc66bc57fb94d8f9f6492fc1543481c', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 5629, 'filled': 5629, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '83b5bd74f5354ff9b04e568cc4126a95', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -633, 'filled': -633, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '267823820cb54b30bab5e4515a93c93d', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -14369, 'filled': -14369, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2af5691ddad6466bba17320812ed474b', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -23745, 'filled': -23745, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",0.0,10057169.34,3047.0253299998585,-8653.42175000161,"[{'amount': 5853, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '104bea04f4574a60a4c99a12c3675aed', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 5629, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '5dc66bc57fb94d8f9f6492fc1543481c', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -633, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.61816999999999, 'order_id': '83b5bd74f5354ff9b04e568cc4126a95', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -14369, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': '267823820cb54b30bab5e4515a93c93d', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -23745, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '2af5691ddad6466bba17320812ed474b', 'sid': Equity(0 [DBC]), 'commission': None}]","[{'sid': Equity(4 [VWO]), 'amount': 572, 'cost_basis': 49.574775, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 13639, 'cost_basis': 369.1661419730185, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 6825, 'cost_basis': 85.08252, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 19745, 'cost_basis': 137.338635, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 114658, 'cost_basis': 14.38719, 'last_sale_price': 14.55}]",0.0,10,0.0,28.41123027595332,1.0515748067084119,,,-0.0008596902518810013,0.005709029357999995,2020-12,0.0,0.0,0.020585517715256057,6.980136320766842,"[0.002786626573652029, 0.5043038129806519, 0.05721062421798706, 0.27041754126548767, 0.16528140008449554]"
2020-12-30 21:00:00+00:00,2020-12-30 14:31:00+00:00,2020-12-30 21:00:00+00:00,0.0,1.0000078405638444,0.0,10081805.510000002,1.0000078405638444,0,10081805.510000002,5,10081726.463580001,10081805.510000002,10057169.34,10057169.34,0.002419385567868652,-79.04641999967862,[],0.0,10081805.510000002,-79.04641999967862,24636.170000001788,[],"[{'sid': Equity(4 [VWO]), 'amount': 572, 'cost_basis': 49.574775, 'last_sale_price': 50.24}, {'sid': Equity(2 [SPY]), 'amount': 13639, 'cost_basis': 369.1661419730185, 'last_sale_price': 371.99}, {'sid': Equity(3 [VNQ]), 'amount': 6825, 'cost_basis': 85.08252, 'last_sale_price': 84.12}, {'sid': Equity(1 [LQD]), 'amount': 19745, 'cost_basis': 137.338635, 'last_sale_price': 138.1}, {'sid': Equity(0 [DBC]), 'amount': 114658, 'cost_basis': 14.38719, 'last_sale_price': 14.64}]",0.0,11,0.0,38.726804819587365,1.0515748067084119,,,-0.0008596902518810013,0.008172646358000302,2020-12,0.0,0.0,0.021501357819083303,8.685305428285432,"[0.002786626573652029, 0.5043038129806519, 0.05721062421798706, 0.27041754126548767, 0.16528140008449554]"
2020-12-31 21:00:00+00:00,2020-12-31 14:31:00+00:00,2020-12-31 21:00:00+00:00,0.0,1.000007810579277,0.0,10120508.94,1.000007810579277,0,10120508.94,5,10120429.893579999,10120508.94,10081805.510000002,10081805.510000002,0.0037395340026997355,-79.04641999967862,[],0.0,10120508.94,-79.04641999967862,38703.42999999784,[],"[{'sid': Equity(4 [VWO]), 'amount': 572, 'cost_basis': 49.574775, 'last_sale_price': 50.11}, {'sid': Equity(2 [SPY]), 'amount': 13639, 'cost_basis': 369.1661419730185, 'last_sale_price': 373.88}, {'sid': Equity(3 [VNQ]), 'amount': 6825, 'cost_basis': 85.08252, 'last_sale_price': 84.93}, {'sid': Equity(1 [LQD]), 'amount': 19745, 'cost_basis': 137.338635, 'last_sale_price': 138.13}, {'sid': Equity(0 [DBC]), 'amount': 114658, 'cost_basis': 14.38719, 'last_sale_price': 14.700000000000001}]",0.0,12,0.0,54.53988449192201,1.0515748067084119,,,-0.0008596902518810013,0.012042989358000078,2020-12,0.0,0.0,0.024936294389919844,10.097813199401491,"[0.002786626573652029, 0.5043038129806519, 0.05721062421798706, 0.27041754126548767, 0.16528140008449554]"
