,period_open,period_close,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,returns,portfolio_value,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,weights,cumulative_returns
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,,,,,0.0,0.0,0.0,0.0,1,2020-12,0.0,,0.0,,,0.0
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,,,,,0.0,0.0,0.0,0.0,2,2020-12,0.0,0.0,0.0,0.0,,0.0
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,,,,,0.0,0.0,0.0,0.0,3,2020-12,0.0,0.0,0.0,0.0,,0.0
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,,,,,0.0,0.0,0.0,0.0,4,2020-12,0.0,0.0,0.0,0.0,,0.0
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '4030246a193d4552bf3350dacae5bc57', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5281, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1c56a4b052734f7a8222be04ec7cbf22', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 8010, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '12be430998794510aedca13f72b4d901', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 7458, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7ca55e9e3c454a818311c8fabf52fba5', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 34114, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '770b9c72fc4c4791af0737cafeab50c3', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 138403, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,,,,,0.0,0.0,0.0,0.0,5,2020-12,0.0,0.0,0.0,0.0,"[-0.025910397991538048, 0.29469260573387146, 0.06298328936100006, 0.46699631214141846, 0.20123820006847382]",0.0
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,9991699.940000001,0.0,9991699.940000001,10000000.0,3047.0253299998585,-0.0005175286790707807,9994746.965330001,4,1,10248884.64,-257184.7,10248884.64,-5253.034669999033,-257184.7,-9996952.97467,"[{'id': '4030246a193d4552bf3350dacae5bc57', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5281, 'filled': -5281, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1c56a4b052734f7a8222be04ec7cbf22', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 8010, 'filled': 8010, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '12be430998794510aedca13f72b4d901', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 7458, 'filled': 7458, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7ca55e9e3c454a818311c8fabf52fba5', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 34114, 'filled': 34114, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '770b9c72fc4c4791af0737cafeab50c3', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 138403, 'filled': 138403, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -5281, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '4030246a193d4552bf3350dacae5bc57', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 8010, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '1c56a4b052734f7a8222be04ec7cbf22', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 7458, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': '12be430998794510aedca13f72b4d901', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 34114, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '7ca55e9e3c454a818311c8fabf52fba5', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 138403, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '770b9c72fc4c4791af0737cafeab50c3', 'sid': Equity(0 [DBC]), 'commission': None}]",1.051159111525653,"[{'sid': Equity(4 [VWO]), 'amount': -5281, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 8010, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 7458, 'cost_basis': 85.08252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 34114, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 138403, 'cost_basis': 14.38719, 'last_sale_price': 14.38}]",0.9996951373215781,0.0,,,-6.480740698407861,-6.4807406984078595,-0.0005253034669998157,1.051159111525653,0.0,0.0,6,2020-12,-0.0005253034669998602,0.003404355557600744,0.0,0.0,"[-0.025910397991538048, 0.29469260573387146, 0.06298328936100006, 0.46699631214141846, 0.20123820006847382]",-0.0005253034669998602
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,10013536.8,9991699.940000001,10013536.8,3047.0253299998585,3047.0253299998585,0.0022734030075688993,10016583.82533,4,1,10273362.0,-259825.2,10273362.0,21836.859999999404,-259825.2,0.0,[],[],1.0515748067084119,"[{'sid': Equity(4 [VWO]), 'amount': -5281, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 8010, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 7458, 'cost_basis': 85.08252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 34114, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 138403, 'cost_basis': 14.38719, 'last_sale_price': 14.56}]",0.9996958019437431,9991699.940000001,,,4.272245306531702,18.955103150518593,-0.0005253034669998157,1.0515748067084119,0.0,0.0,7,2020-12,0.0016583825330001023,0.013984002351762202,0.0,0.0,"[-0.025910397991538048, 0.29469260573387146, 0.06298328936100006, 0.46699631214141846, 0.20123820006847382]",0.0016583825330001023
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10043490.100000001,10013536.8,10043490.100000001,3047.0253299998585,3047.0253299998585,0.003140810309037871,10046537.125330001,4,1,10301836.620000001,-258346.52000000002,10301836.620000001,29953.300000000745,-258346.52000000002,0.0,[],[],1.051126672629812,"[{'sid': Equity(4 [VWO]), 'amount': -5281, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 8010, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 7458, 'cost_basis': 85.08252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 34114, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 138403, 'cost_basis': 14.38719, 'last_sale_price': 14.6}]",0.999696708896609,10013536.8,,,7.2656434552886315,49.68081610855228,-0.0005253034669998157,1.0515748067084119,0.0,0.0,8,2020-12,0.004653712533000176,0.020159519818616682,0.0,0.0,"[-0.025910397991538048, 0.29469260573387146, 0.06298328936100006, 0.46699631214141846, 0.20123820006847382]",0.004653712533000176
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10062696.690000001,10043490.100000001,10062696.690000001,3047.0253299998585,3047.0253299998585,0.0017486062687723516,10065743.715330001,4,1,10321571.31,-258874.62000000002,10321571.31,19206.58999999985,-258874.62000000002,0.0,"[{'id': 'c209d2476b6d4472af8ee8717105fd2f', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 47111, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3e3aca5a4f5a43d2ab6a4fe6a26ed77d', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -2308, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e58b7c9ab46244bcaa7a0c72646cfaf6', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 15872, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'eeb525a342554102bd49f7ef592825e4', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -19711, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '80ca9d3c3b6040108b762254ac24c45d', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -4764, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],1.051134047242442,"[{'sid': Equity(4 [VWO]), 'amount': -5281, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 8010, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 7458, 'cost_basis': 85.08252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 34114, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 138403, 'cost_basis': 14.38719, 'last_sale_price': 14.51}]",0.9996972876107149,10043490.100000001,,,9.12748917753145,66.09714297379823,-0.0005253034669998157,1.0515748067084119,0.0,0.0,9,2020-12,0.006574371533000223,0.020128927878958012,0.0,0.0,"[0.20371179282665253, 0.21081003546714783, 0.19557785987854004, 0.19725774228572845, 0.19264258444309235]",0.006574371533000223
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,10073438.43,10062696.690000001,10073438.43,3047.0253299998585,-17621.23895500049,-0.0010301437873868884,10055817.191045,5,0,10073438.43,0.0,10073438.43,-9926.52428500168,0.0,-20668.26428500004,"[{'id': 'c209d2476b6d4472af8ee8717105fd2f', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 47111, 'filled': 47111, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3e3aca5a4f5a43d2ab6a4fe6a26ed77d', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -2308, 'filled': -2308, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e58b7c9ab46244bcaa7a0c72646cfaf6', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 15872, 'filled': 15872, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'eeb525a342554102bd49f7ef592825e4', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -19711, 'filled': -19711, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '80ca9d3c3b6040108b762254ac24c45d', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -4764, 'filled': -4764, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 47111, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': 'c209d2476b6d4472af8ee8717105fd2f', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -2308, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': '3e3aca5a4f5a43d2ab6a4fe6a26ed77d', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 15872, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': 'e58b7c9ab46244bcaa7a0c72646cfaf6', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -19711, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': 'eeb525a342554102bd49f7ef592825e4', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -4764, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '80ca9d3c3b6040108b762254ac24c45d', 'sid': Equity(0 [DBC]), 'commission': None}]",1.001752342810159,"[{'sid': Equity(4 [VWO]), 'amount': 41830, 'cost_basis': 49.574775, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5702, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 23330, 'cost_basis': 84.14320102528933, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 14403, 'cost_basis': 137.338635, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 133639, 'cost_basis': 14.38719, 'last_sale_price': 14.55}]",1.001752342810159,10062696.690000001,,,6.7420483028671185,25.04921190824102,-0.0009861689871841646,1.0515748067084119,0.0,0.0,10,2020-12,0.005581719104500005,0.0208397284393022,0.0,0.0,"[0.20371179282665253, 0.21081003546714783, 0.19557785987854004, 0.19725774228572845, 0.19264258444309235]",0.005581719104500005
