,period_open,period_close,short_exposure,starting_cash,net_leverage,portfolio_value,ending_cash,starting_value,ending_value,orders,short_value,capital_used,pnl,long_value,ending_exposure,shorts_count,positions,long_exposure,starting_exposure,gross_leverage,returns,transactions,longs_count,alpha,beta,treasury_period_return,max_leverage,benchmark_period_return,benchmark_volatility,sortino,sharpe,max_drawdown,period_label,trading_days,excess_return,algorithm_period_return,algo_volatility,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,10000000.0,0.0,10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0,[],0.0,0.0,0.0,0.0,[],0,,,0.0,0.0,0.0,,,,0.0,2020-12,1,0.0,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,10000000.0,0.0,10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0,[],0.0,0.0,0.0,0.0,[],0,,,0.0,0.0,0.0,0.0,,,0.0,2020-12,2,0.0,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,10000000.0,0.0,10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0,[],0.0,0.0,0.0,0.0,[],0,,,0.0,0.0,0.0,0.0,,,0.0,2020-12,3,0.0,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,10000000.0,0.0,10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0,[],0.0,0.0,0.0,0.0,[],0,,,0.0,0.0,0.0,0.0,,,0.0,2020-12,4,0.0,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,10000000.0,0.0,10000000.0,10000000.0,0.0,0.0,"[{'id': '0d4ec96ba67740d09448f90a43b317a4', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -64148, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4c0bc1e8edf940b8974b833307a1100c', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27184, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '9bfea21a20db469099c20c9887653b51', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -23215, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e9d5f80731f8476ab42585ab9f49d7c0', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 35140, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '668a612705f94b7088ad47a5ca60befc', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 20452, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,0.0,0.0,0,[],0.0,0.0,0.0,0.0,[],0,,,0.0,0.0,0.0,0.0,,,0.0,2020-12,5,0.0,0.0,0.0,"[-0.3147144913673401, 0.9999938607215881, -0.19605451822280884, 0.48103758692741394, 0.029737472534179688]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,-5098211.2,10000000.0,1.0033012106077328,9969696.452315738,-32912.06768426127,0.0,10002608.52,"[{'id': '0d4ec96ba67740d09448f90a43b317a4', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -64148, 'filled': -64148, 'commission': 3122.4455962000006, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4c0bc1e8edf940b8974b833307a1100c', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27184, 'filled': 27184, 'commission': 9988.043686080002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9bfea21a20db469099c20c9887653b51', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -23215, 'filled': -23215, 'commission': 1973.2164982000004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e9d5f80731f8476ab42585ab9f49d7c0', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 35140, 'filled': 35140, 'commission': 4826.079633900001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '668a612705f94b7088ad47a5ca60befc', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 20452, 'filled': 20452, 'commission': 294.24680988, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-5098211.2,-10032912.067684261,-30303.547684261575,15100819.72,10002608.52,2,"[{'sid': Equity(4 [VWO]), 'amount': -64148, 'cost_basis': 48.62697435000001, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.7910436200001, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -23215, 'cost_basis': 84.91248252000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 35140, 'cost_basis': 137.47597363500003, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 20452, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.38}]",15100819.72,0.0,2.0260427202182485,-0.003030354768426169,"[{'amount': -64148, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '0d4ec96ba67740d09448f90a43b317a4', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 27184, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '4c0bc1e8edf940b8974b833307a1100c', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -23215, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': '9bfea21a20db469099c20c9887653b51', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 35140, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'e9d5f80731f8476ab42585ab9f49d7c0', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 20452, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '668a612705f94b7088ad47a5ca60befc', 'sid': Equity(0 [DBC]), 'commission': None}]",3,,,0.0,2.0260427202182485,0.0,0.0,-6.48074069840786,-6.48074069840786,-0.0030303547684262357,2020-12,6,0.0,-0.003030354768426169,0.0196389434783538,"[-0.3147144913673401, 0.9999938607215881, -0.19605451822280884, 0.48103758692741394, 0.029737472534179688]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,-5117516.95,-32912.06768426127,1.003303065771306,9964096.982315736,-32912.06768426127,10002608.52,9997009.049999997,[],-5117516.95,0.0,-5599.470000002533,15114525.999999998,9997009.049999997,2,"[{'sid': Equity(4 [VWO]), 'amount': -64148, 'cost_basis': 48.62697435000001, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.7910436200001, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -23215, 'cost_basis': 84.91248252000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 35140, 'cost_basis': 137.47597363500003, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 20452, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.56}]",15114525.999999998,10002608.52,2.03049438257253,-0.0005616489957125381,[],3,,,0.0,2.03049438257253,0.0,0.0,-6.992951701844203,-7.211637877434872,-0.0035903017684263717,2020-12,7,0.0,-0.0035903017684263405,0.017931035599223526,"[-0.3147144913673401, 0.9999938607215881, -0.19605451822280884, 0.48103758692741394, 0.029737472534179688]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,-5085394.36,-32912.06768426127,1.003274042087997,10052426.57231574,-32912.06768426127,9997009.049999997,10085338.64,[],-5085394.36,0.0,88329.59000000358,15170733.0,10085338.64,2,"[{'sid': Equity(4 [VWO]), 'amount': -64148, 'cost_basis': 48.62697435000001, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.7910436200001, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -23215, 'cost_basis': 84.91248252000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 35140, 'cost_basis': 137.47597363500003, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 20452, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.6}]",15170733.0,9997009.049999997,2.0150485272665537,0.008864786257778423,[],3,,,0.0,2.03049438257253,0.0,0.0,9.60213104799506,3.0094998737291996,-0.0035903017684263717,2020-12,8,0.0,0.005242657231574022,0.0551894519084457,"[-0.3147144913673401, 0.9999938607215881, -0.19605451822280884, 0.48103758692741394, 0.029737472534179688]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,-5103416.66,-32912.06768426127,1.0032515702980729,10121899.47231574,-32912.06768426127,10085338.64,10154811.540000001,"[{'id': '26533d9a045f4fe1abd87af34b57eff9', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 77411, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '60f5585bb8124c1aad12f352522edd43', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -21708, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '85246618a9664c12a01e76c5c9f868e5', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -3404, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'de372f2157894ac8a27d8eed59c8248f', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 36480, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ece6431eabdd48e0966e9be1b818dd37', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -33772, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-5103416.66,0.0,69472.90000000037,15258228.200000001,10154811.540000001,2,"[{'sid': Equity(4 [VWO]), 'amount': -64148, 'cost_basis': 48.62697435000001, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.7910436200001, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -23215, 'cost_basis': 84.91248252000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 35140, 'cost_basis': 137.47597363500003, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 20452, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.51}]",15258228.200000001,10085338.64,2.0116426680279567,0.006911057693405942,[],3,,,0.0,2.03049438257253,0.0,0.0,20.918748796267238,5.5638155063543975,-0.0035903017684263717,2020-12,9,0.0,0.012189947231574072,0.06131539136185521,"[0.06423242390155792, 0.201311394572258, -0.22191432118415833, 0.9754660129547119, -0.019095532596111298]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,-2420751.54,-32912.06768426127,1.0086162625672903,10061681.381349873,-86694.08865012656,10154811.540000001,10148375.469999999,"[{'id': '26533d9a045f4fe1abd87af34b57eff9', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 77411, 'filled': 77411, 'commission': 3837.632907525, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '60f5585bb8124c1aad12f352522edd43', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -21708, 'filled': -21708, 'commission': 8059.621853160001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '85246618a9664c12a01e76c5c9f868e5', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -3404, 'filled': -3404, 'commission': 284.63625068, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'de372f2157894ac8a27d8eed59c8248f', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 36480, 'filled': 36480, 'commission': 5033.837260800001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ece6431eabdd48e0966e9be1b818dd37', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -33772, 'filled': -33772, 'commission': 491.13690870000005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-2420751.54,-53782.02096586488,-60218.09096586704,12569127.01,10148375.469999999,2,"[{'sid': Equity(4 [VWO]), 'amount': 13263, 'cost_basis': 49.86412378289415, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5476, 'cost_basis': 369.26285184738504, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -26619, 'cost_basis': 84.73627469593599, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 71620, 'cost_basis': 137.80755112530997, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': -13320, 'cost_basis': 14.50585285970721, 'last_sale_price': 14.55}]",12569127.01,10154811.540000001,1.48979857161696,-0.005949287594741337,"[{'amount': 77411, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '26533d9a045f4fe1abd87af34b57eff9', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -21708, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': '60f5585bb8124c1aad12f352522edd43', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -3404, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.61816999999999, 'order_id': '85246618a9664c12a01e76c5c9f868e5', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 36480, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': 'de372f2157894ac8a27d8eed59c8248f', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -33772, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': 'ece6431eabdd48e0966e9be1b818dd37', 'sid': Equity(0 [DBC]), 'commission': None}]",3,,,0.0,2.03049438257253,0.0,0.0,4.671093480540515,2.295146653509657,-0.005949287594741353,2020-12,10,0.0,0.0061681381349874,0.0684534581203431,"[0.06423242390155792, 0.201311394572258, -0.22191432118415833, 0.9754660129547119, -0.019095532596111298]"
