,period_open,period_close,ending_cash,long_value,starting_exposure,long_exposure,orders,short_exposure,shorts_count,pnl,longs_count,portfolio_value,ending_value,capital_used,returns,ending_exposure,gross_leverage,positions,net_leverage,starting_cash,starting_value,short_value,transactions,excess_return,max_leverage,treasury_period_return,sortino,alpha,beta,period_label,algo_volatility,max_drawdown,sharpe,trading_days,algorithm_period_return,benchmark_period_return,benchmark_volatility,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,10000000.0,0.0,0.0,0.0,[],0.0,0,0.0,0,10000000.0,0.0,0.0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,,,,2020-12,,0.0,,1,0.0,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,10000000.0,0.0,0.0,0.0,[],0.0,0,0.0,0,10000000.0,0.0,0.0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,,,,2020-12,0.0,0.0,,2,0.0,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,10000000.0,0.0,0.0,0.0,[],0.0,0,0.0,0,10000000.0,0.0,0.0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,,,,2020-12,0.0,0.0,,3,0.0,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,10000000.0,0.0,0.0,0.0,[],0.0,0,0.0,0,10000000.0,0.0,0.0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,,,,2020-12,0.0,0.0,,4,0.0,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,10000000.0,0.0,0.0,0.0,"[{'id': '84167ac588a44685bd9fac168f3d5541', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -63791, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'cbb2220ff52548c4b6a41a99364df3b1', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27183, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'de83b83704d14ee2980353e4b91f9af1', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -49368, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '8b7a4df40f5f460d91625a7e651f279d', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 23924, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1256bcc7408344fcb96b44bc0b3c742a', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 276749, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0,0.0,0,10000000.0,0.0,0.0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,,,,2020-12,0.0,0.0,,5,0.0,0.0,0.0,"[-0.31295904517173767, 0.9999812841415405, -0.41691717505455017, 0.3275013864040375, 0.40239354968070984]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,1797793.6533522103,15472912.0,0.0,15472912.0,"[{'id': '84167ac588a44685bd9fac168f3d5541', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -63791, 'filled': -63791, 'commission': 3105.0683891500007, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'cbb2220ff52548c4b6a41a99364df3b1', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27183, 'filled': 27183, 'commission': 9987.676262460001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'de83b83704d14ee2980353e4b91f9af1', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -49368, 'filled': -49368, 'commission': 4196.155592640001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '8b7a4df40f5f460d91625a7e651f279d', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 23924, 'filled': 23924, 'commission': 3285.6895037400004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1256bcc7408344fcb96b44bc0b3c742a', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 276749, 'filled': 153420, 'commission': 2207.2826898000003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-7304876.420000001,2,-34170.76664778963,3,9965829.23335221,8168035.579999999,-8202206.346647789,-0.003417076664778973,8168035.579999999,2.285588874408018,"[{'sid': Equity(4 [VWO]), 'amount': -63791, 'cost_basis': 48.626974350000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 27183, 'cost_basis': 367.79104362000004, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -49368, 'cost_basis': 84.91248252000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 23924, 'cost_basis': 137.475973635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.38}]",0.8196042084149292,10000000.0,0.0,-7304876.420000001,"[{'amount': -63791, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '84167ac588a44685bd9fac168f3d5541', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 27183, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'cbb2220ff52548c4b6a41a99364df3b1', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -49368, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': 'de83b83704d14ee2980353e4b91f9af1', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 23924, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '8b7a4df40f5f460d91625a7e651f279d', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '1256bcc7408344fcb96b44bc0b3c742a', 'sid': Equity(0 [DBC]), 'commission': None}]",0.0,2.285588874408018,0.0,-6.4807406984078595,,,2020-12,0.022145187811012886,-0.0034170766647790172,-6.48074069840786,6,-0.003417076664778973,0.0,0.0,"[-0.31295904517173767, 0.9999812841415405, -0.41691717505455017, 0.3275013864040375, 0.40239354968070984]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,-570.9898429096377,17305885.950000003,8168035.579999999,17305885.950000003,"[{'id': '1256bcc7408344fcb96b44bc0b3c742a', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 276749, 'filled': 276749, 'commission': 4003.85076492, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-7309619.52,2,29866.206804882735,3,9995695.440157093,9996266.430000003,-1798364.6431951197,0.002996861184910715,9996266.430000003,2.462610592466505,"[{'sid': Equity(4 [VWO]), 'amount': -63791, 'cost_basis': 48.626974350000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 27183, 'cost_basis': 367.79104362000004, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -49368, 'cost_basis': 84.91248252000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 23924, 'cost_basis': 137.475973635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 276749, 'cost_basis': 14.48191182510116, 'last_sale_price': 14.56}]",1.000057123573475,1797793.6533522103,8168035.579999999,-7309619.52,"[{'amount': 123329, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': '1256bcc7408344fcb96b44bc0b3c742a', 'sid': Equity(0 [DBC]), 'commission': None}]",0.0,2.462610592466505,0.0,-0.7378508375879917,,,2020-12,0.02943737911696854,-0.0034170766647790172,-0.5138962003087161,7,-0.0004304559842908118,0.0,0.0,"[-0.31295904517173767, 0.9999812841415405, -0.41691717505455017, 0.3275013864040375, 0.40239354968070984]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,-570.9898429096377,17367071.88,9996266.430000003,17367071.88,[],-7261643.5600000005,2,109161.88999999501,3,10104857.330157088,10105428.319999998,0.0,0.010920889962437563,10105428.319999998,2.4373145147232993,"[{'sid': Equity(4 [VWO]), 'amount': -63791, 'cost_basis': 48.626974350000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 27183, 'cost_basis': 367.79104362000004, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -49368, 'cost_basis': 84.91248252000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 23924, 'cost_basis': 137.475973635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 276749, 'cost_basis': 14.48191182510116, 'last_sale_price': 14.6}]",1.0000565064725067,-570.9898429096377,9996266.430000003,-7261643.5600000005,[],0.0,2.462610592466505,0.0,17.247166261495984,,,2020-12,0.06738734783426177,-0.0034170766647790172,4.908506668261531,8,0.010485733015708654,0.0,0.0,"[-0.31295904517173767, 0.9999812841415405, -0.41691717505455017, 0.3275013864040375, 0.40239354968070984]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,-570.9898429096377,17430487.740000002,10105428.319999998,17430487.740000002,"[{'id': '0c0dbde0a3e0474283e9e3dec5a57ebf', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 59110, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ae32fb8746b44e408f5b14788a3dbeaf', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -26225, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3f796f36f8b4479a8812c315067991a0', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 59562, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'da216dd0b10c440d908301102977aec0', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 49606, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '030d88776b644cbfb24ac037f2e9560f', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -344763, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-7292706.66,2,32352.7600000035,3,10137210.090157092,10137781.080000002,0.0,0.0032017037888747435,10137781.080000002,2.4388558765301154,"[{'sid': Equity(4 [VWO]), 'amount': -63791, 'cost_basis': 48.626974350000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 27183, 'cost_basis': 367.79104362000004, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -49368, 'cost_basis': 84.91248252000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 23924, 'cost_basis': 137.475973635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 276749, 'cost_basis': 14.48191182510116, 'last_sale_price': 14.51}]",1.0000563261329134,-570.9898429096377,10105428.319999998,-7292706.66,[],0.0,2.462610592466505,0.0,21.218771969648515,,,2020-12,0.06382278938151975,-0.0034170766647790172,6.011435653602541,9,0.01372100901570894,0.0,0.0,"[-0.022635065019130707, 0.035167936235666275, 0.08485354483127594, 0.9999669790267944, -0.09735334664583206]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,-3138838.54982963,13463319.270000003,10137781.080000002,13463319.270000003,"[{'id': '0c0dbde0a3e0474283e9e3dec5a57ebf', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 59110, 'filled': 59110, 'commission': 2930.36495025, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ae32fb8746b44e408f5b14788a3dbeaf', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -26225, 'filled': -26225, 'commission': 9736.667730750001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3f796f36f8b4479a8812c315067991a0', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 59562, 'filled': 59562, 'commission': 4985.44839846, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'da216dd0b10c440d908301102977aec0', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 49606, 'filled': 49606, 'commission': 6845.080349760001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '030d88776b644cbfb24ac037f2e9560f', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -344763, 'filled': -131500, 'commission': 1912.3683375, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-231943.55000000002,1,-44672.919986719266,4,10092537.170170372,13231375.720000003,-3138267.5599867217,-0.004406825900756917,13231375.720000003,1.3569692723528324,"[{'sid': Equity(4 [VWO]), 'amount': -4681, 'cost_basis': 48.00096175648367, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 958, 'cost_basis': 377.9545798733925, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 10194, 'cost_basis': 84.190887131495, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 73530, 'cost_basis': 137.91514515644639, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 145249, 'cost_basis': 14.495077962819835, 'last_sale_price': 14.55}]",1.3110058944451373,-570.9898429096377,10137781.080000002,-231943.55000000002,"[{'amount': 59110, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '0c0dbde0a3e0474283e9e3dec5a57ebf', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -26225, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': 'ae32fb8746b44e408f5b14788a3dbeaf', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 59562, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '3f796f36f8b4479a8812c315067991a0', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 49606, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': 'da216dd0b10c440d908301102977aec0', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '030d88776b644cbfb24ac037f2e9560f', 'sid': Equity(0 [DBC]), 'commission': None}]",0.0,2.462610592466505,0.0,8.36795864756049,,,2020-12,0.0671319905335602,-0.0044068259007568385,3.4893635341292613,10,0.009253717017037033,0.0,0.0,"[-0.022635065019130707, 0.035167936235666275, 0.08485354483127594, 0.9999669790267944, -0.09735334664583206]"
