,period_open,period_close,shorts_count,ending_exposure,orders,long_value,starting_exposure,short_exposure,returns,longs_count,ending_cash,capital_used,transactions,long_exposure,ending_value,short_value,net_leverage,starting_cash,portfolio_value,starting_value,gross_leverage,positions,pnl,algo_volatility,period_label,treasury_period_return,algorithm_period_return,sharpe,alpha,beta,trading_days,benchmark_period_return,benchmark_volatility,sortino,max_drawdown,excess_return,max_leverage,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0,0.0,[],0.0,0.0,0.0,0.0,0,10000000.0,0.0,[],0.0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0,[],0.0,,2020-12,0.0,0.0,,,,1,0.0,,,0.0,0.0,0.0,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0,0.0,[],0.0,0.0,0.0,0.0,0,10000000.0,0.0,[],0.0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,2020-12,0.0,0.0,,,,2,0.0,0.0,,0.0,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0,0.0,[],0.0,0.0,0.0,0.0,0,10000000.0,0.0,[],0.0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,2020-12,0.0,0.0,,,,3,0.0,0.0,,0.0,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0,0.0,[],0.0,0.0,0.0,0.0,0,10000000.0,0.0,[],0.0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,2020-12,0.0,0.0,,,,4,0.0,0.0,,0.0,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0,0.0,"[{'id': '0789c96f0c4e43519146988d3d78479d', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5651, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4c339b4d47a5468db92a35e6febe5b5d', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 3100, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e9a70da5288041e888dd1698e34ee259', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 11109, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd67b7e119ce841bd8023039edd005dfa', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 12183, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5e93da4c3797451984d16899c37e9625', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 449150, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,0.0,0,10000000.0,0.0,[],0.0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,2020-12,0.0,0.0,,,,5,0.0,0.0,,0.0,0.0,0.0,"[-0.027723949402570724, 0.11406783014535904, 0.09381605684757233, 0.16677485406398773, 0.6530652046203613]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,1,5686489.670000001,"[{'id': '0789c96f0c4e43519146988d3d78479d', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5651, 'filled': -5651, 'commission': 275.06609815, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4c339b4d47a5468db92a35e6febe5b5d', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 3100, 'filled': 3100, 'commission': 1139.0132220000003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e9a70da5288041e888dd1698e34ee259', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 11109, 'filled': 11109, 'commission': 945.1817146800001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd67b7e119ce841bd8023039edd005dfa', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 12183, 'filled': 12183, 'commission': 1673.1965902050001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5e93da4c3797451984d16899c37e9625', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 449150, 'filled': 153420, 'commission': 2207.2826898000003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",5961693.370000001,0.0,-275203.7,-0.000935818884983286,4,4304152.141150167,-5695847.858849835,"[{'amount': -5651, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '0789c96f0c4e43519146988d3d78479d', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 3100, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '4c339b4d47a5468db92a35e6febe5b5d', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 11109, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'e9a70da5288041e888dd1698e34ee259', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 12183, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'd67b7e119ce841bd8023039edd005dfa', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '5e93da4c3797451984d16899c37e9625', 'sid': Equity(0 [DBC]), 'commission': None}]",5961693.370000001,5686489.670000001,-275203.7,0.5691816179070228,10000000.0,9990641.811150167,0.0,0.6242739143184217,"[{'sid': Equity(4 [VWO]), 'amount': -5651, 'cost_basis': 48.62697435000001, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 3100, 'cost_basis': 367.79104362000004, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 11109, 'cost_basis': 85.16760252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 12183, 'cost_basis': 137.475973635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.38}]",-9358.188849832863,0.006064799534249847,2020-12,0.0,-0.000935818884983286,-6.48074069840786,,,6,0.0,0.0,-6.4807406984078595,-0.0009358188849833482,0.0,0.6242739143184217,"[-0.027723949402570724, 0.11406783014535904, 0.09381605684757233, 0.16677485406398773, 0.6530652046203613]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,1,8307556.71,"[{'id': '5e93da4c3797451984d16899c37e9625', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 449150, 'filled': 332060, 'commission': 4809.581589, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",8585585.91,5686489.670000001,-278029.2,0.0016180984371552132,4,1699250.9430509673,-2604901.1980991997,"[{'amount': 178640, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': '5e93da4c3797451984d16899c37e9625', 'sid': Equity(0 [DBC]), 'commission': None}]",8585585.91,8307556.71,-278029.2,0.8301905061068219,4304152.141150167,10006807.653050967,5686489.670000001,0.8857585173327059,"[{'sid': Equity(4 [VWO]), 'amount': -5651, 'cost_basis': 48.62697435000001, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 3100, 'cost_basis': 367.79104362000004, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 11109, 'cost_basis': 85.16760252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 12183, 'cost_basis': 137.475973635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 332060, 'cost_basis': 14.498558003339758, 'last_sale_price': 14.56}]",16165.841900799423,0.01199812269750479,2020-12,0.0,0.0006807653050966422,2.0471589178945027,,,7,0.0,0.0,4.374433321149184,-0.0009358188849833482,0.0,0.8857585173327059,"[-0.027723949402570724, 0.11406783014535904, 0.09381605684757233, 0.16677485406398773, 0.6530652046203613]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,1,10035317.91,"[{'id': '5e93da4c3797451984d16899c37e9625', 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 449150, 'filled': 449150, 'commission': 6519.9503460000005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",10311764.83,8307556.71,-276446.92,0.0015671405693722384,4,-12828.182706032687,-1712079.1257569995,"[{'amount': 117090, 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'price': 14.6073, 'order_id': '5e93da4c3797451984d16899c37e9625', 'sid': Equity(0 [DBC]), 'commission': None}]",10311764.83,10035317.91,-276446.92,1.0012799397210752,1699250.9430509673,10022489.727293968,8307556.71,1.0564452584237045,"[{'sid': Equity(4 [VWO]), 'amount': -5651, 'cost_basis': 48.62697435000001, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 3100, 'cost_basis': 367.79104362000004, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 11109, 'cost_basis': 85.16760252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 12183, 'cost_basis': 137.475973635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 449150, 'cost_basis': 14.530714229869755, 'last_sale_price': 14.6}]",15682.07424300164,0.013835748577403667,2020-12,0.0,0.0022489727293966144,5.121279375108287,,,8,0.0,0.0,13.490686417197042,-0.0009358188849833482,0.0,1.0564452584237045,"[-0.027723949402570724, 0.11406783014535904, 0.09381605684757233, 0.16677485406398773, 0.6530652046203613]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,1,10010807.280000001,"[{'id': '8273e47120ff401391750eb6b0eed620', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -29106, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '28a24b3a458a4ba99af13908974582ce', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1266, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f48c21193a044441b5ab47d5047fb793', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -13430, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e35d52ede4e14c08b4aaf702fa0ca4f6', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 45339, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd86297ca6f7741bbab406958b90403dd', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -222743, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10287819.3,10035317.91,-277012.02,-0.002445562995514905,4,-12828.182706032687,0.0,[],10287819.3,10010807.280000001,-277012.02,1.001283077568096,-12828.182706032687,9997979.09729397,10035317.91,1.0566966801180304,"[{'sid': Equity(4 [VWO]), 'amount': -5651, 'cost_basis': 48.62697435000001, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 3100, 'cost_basis': 367.79104362000004, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 11109, 'cost_basis': 85.16760252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 12183, 'cost_basis': 137.475973635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 449150, 'cost_basis': 14.530714229869755, 'last_sale_price': 14.51}]",-24510.629999998957,0.019382534228438414,2020-12,0.0,-0.00020209027060325013,-0.283347905204405,,,9,0.0,0.0,-0.3963685522716563,-0.0024455629955149566,0.0,1.0566966801180304,"[-0.17041772603988647, 0.06826633960008621, -0.019590791314840317, 0.7931594848632812, 0.32858264446258545]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,2,11320115.170000002,"[{'id': '8273e47120ff401391750eb6b0eed620', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -29106, 'filled': -29106, 'commission': 1441.4811988500003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '28a24b3a458a4ba99af13908974582ce', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1266, 'filled': -1266, 'commission': 470.03322582000004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f48c21193a044441b5ab47d5047fb793', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -13430, 'filled': -13430, 'commission': 1122.9920230999999, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e35d52ede4e14c08b4aaf702fa0ca4f6', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 45339, 'filled': 45339, 'commission': 6256.281457440001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd86297ca6f7741bbab406958b90403dd', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -222743, 'filled': -131500, 'commission': 1912.3683375, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",13236499.38,10010807.280000001,-1916384.21,-0.001130422288617261,3,-1333438.011118743,-1320609.8284127098,"[{'amount': -29106, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': '8273e47120ff401391750eb6b0eed620', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -1266, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': '28a24b3a458a4ba99af13908974582ce', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -13430, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.61816999999999, 'order_id': 'f48c21193a044441b5ab47d5047fb793', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 45339, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': 'e35d52ede4e14c08b4aaf702fa0ca4f6', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': 'd86297ca6f7741bbab406958b90403dd', 'sid': Equity(0 [DBC]), 'commission': None}]",13236499.38,11320115.170000002,-1916384.21,1.1335216899379692,-12828.182706032687,9986677.158881258,10010807.280000001,1.5173098468016841,"[{'sid': Equity(4 [VWO]), 'amount': -34757, 'cost_basis': 49.33770894216993, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 1834, 'cost_basis': 368.0473321836969, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -2321, 'cost_basis': 83.1343302657906, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 57522, 'cost_basis': 137.98907419235505, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 317650, 'cost_basis': 14.536734592965932, 'last_sale_price': 14.55}]",-11301.938412711024,0.019102679553606304,2020-12,0.0,-0.00133228411187436,-1.7499870635115495,,,10,0.0,0.0,-2.334889680141643,-0.003573220765213806,0.0,1.5173098468016841,"[-0.17041772603988647, 0.06826633960008621, -0.019590791314840317, 0.7931594848632812, 0.32858264446258545]"
