,period_open,period_close,long_value,pnl,ending_cash,gross_leverage,returns,positions,net_leverage,short_exposure,transactions,capital_used,starting_value,ending_exposure,longs_count,starting_cash,orders,short_value,shorts_count,starting_exposure,portfolio_value,long_exposure,ending_value,max_drawdown,alpha,beta,algorithm_period_return,max_leverage,benchmark_period_return,benchmark_volatility,sortino,trading_days,excess_return,treasury_period_return,sharpe,algo_volatility,period_label,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,10000000.0,0.0,0.0,[],0.0,0.0,[],0.0,0.0,0.0,0,10000000.0,[],0.0,0,0.0,10000000.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1,0.0,0.0,,,2020-12,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,10000000.0,0.0,0.0,[],0.0,0.0,[],0.0,0.0,0.0,0,10000000.0,[],0.0,0,0.0,10000000.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,2,0.0,0.0,,0.0,2020-12,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,10000000.0,0.0,0.0,[],0.0,0.0,[],0.0,0.0,0.0,0,10000000.0,[],0.0,0,0.0,10000000.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,3,0.0,0.0,,0.0,2020-12,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,10000000.0,0.0,0.0,[],0.0,0.0,[],0.0,0.0,0.0,0,10000000.0,[],0.0,0,0.0,10000000.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,4,0.0,0.0,,0.0,2020-12,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,10000000.0,0.0,0.0,[],0.0,0.0,[],0.0,0.0,0.0,0,10000000.0,"[{'id': '33ac6ee80711459ab61af89ec9b06227', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -11543, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd5620fe20d8b4c4ab391c00a2cab2ddb', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -3889, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3a6fa7f99fb646248aacfd051f79b4fd', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 19158, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b0b697176ddf473ead8eb26fdbfa4a81', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 68106, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '80f91893fc9b42d7a5a06521a0e17623', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 72639, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0,0.0,10000000.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,5,0.0,0.0,,0.0,2020-12,[-0.05663447 -0.14308884  0.16179625  0.93230905  0.10561801]
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,12022655.760000002,-21024.510487651452,-53339.8104876523,1.4042519930755726,-0.0021024510487651638,"[{'sid': Equity(4 [VWO]), 'amount': -11543, 'cost_basis': 48.62697435, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': -3889, 'cost_basis': 366.68932362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 19158, 'cost_basis': 85.16760252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 68106, 'cost_basis': 137.475973635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 72639, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.38}]",1.0053452191102896,-1990340.46,"[{'amount': -11543, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '33ac6ee80711459ab61af89ec9b06227', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -3889, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.05638, 'order_id': 'd5620fe20d8b4c4ab391c00a2cab2ddb', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 19158, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': '3a6fa7f99fb646248aacfd051f79b4fd', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 68106, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'b0b697176ddf473ead8eb26fdbfa4a81', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 72639, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '80f91893fc9b42d7a5a06521a0e17623', 'sid': Equity(0 [DBC]), 'commission': None}]",-10053339.810487654,0.0,10032315.3,3,10000000.0,"[{'id': '33ac6ee80711459ab61af89ec9b06227', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -11543, 'filled': -11543, 'commission': 561.8630279500001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd5620fe20d8b4c4ab391c00a2cab2ddb', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -3889, 'filled': -3889, 'commission': 1427.48226182, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3a6fa7f99fb646248aacfd051f79b4fd', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 19158, 'filled': 19158, 'commission': 1630.01091816, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b0b697176ddf473ead8eb26fdbfa4a81', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 68106, 'filled': 68106, 'commission': 9353.58507531, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '80f91893fc9b42d7a5a06521a0e17623', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 72639, 'filled': 72639, 'commission': 1045.0710944100001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-1990340.46,2,0.0,9978975.489512349,12022655.760000002,10032315.3,-0.0021024510487652037,,,-0.0021024510487651638,1.4042519930755726,0.0,0.0,-6.4807406984078595,6,0.0,0.0,-6.4807406984078595,0.013625440078142688,2020-12,[-0.05663447 -0.14308884  0.16179625  0.93230905  0.10561801]
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,12027237.06,-2473.570000000298,-53339.8104876523,1.405766520484519,-0.0002478781516800366,"[{'sid': Equity(4 [VWO]), 'amount': -11543, 'cost_basis': 48.62697435, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': -3889, 'cost_basis': 366.68932362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 19158, 'cost_basis': 85.16760252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 68106, 'cost_basis': 137.475973635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 72639, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.56}]",1.0053465444018337,-1997395.33,[],0.0,10032315.3,10029841.73,3,-53339.8104876523,[],-1997395.33,2,10032315.3,9976501.919512348,12027237.06,10029841.73,-0.0023498080487652827,,,-0.0023498080487652784,1.405766520484519,0.0,0.0,-6.6612605987336195,7,0.0,0.0,-6.794237910977005,0.01245347194559163,2020-12,[-0.05663447 -0.14308884  0.16179625  0.93230905  0.10561801]
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,12050466.06,20899.769999999553,-53339.8104876523,1.4053842244569588,0.002094899611969625,"[{'sid': Equity(4 [VWO]), 'amount': -11543, 'cost_basis': 48.62697435, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': -3889, 'cost_basis': 366.68932362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 19158, 'cost_basis': 85.16760252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 68106, 'cost_basis': 137.475973635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 72639, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.6}]",1.0053353673428576,-1999724.56,[],0.0,10029841.73,10050741.5,3,-53339.8104876523,[],-1999724.56,2,10029841.73,9997401.689512348,12050466.06,10050741.5,-0.0023498080487652827,,,-0.00025983104876525775,1.405766520484519,0.0,0.0,-0.6771781836194416,8,0.0,0.0,-0.45046381346233905,0.01786166124008385,2020-12,[-0.05663447 -0.14308884  0.16179625  0.93230905  0.10561801]
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,12059637.09,-4311.4000000003725,-53339.8104876523,1.4082574731431492,-0.0004312520526731367,"[{'sid': Equity(4 [VWO]), 'amount': -11543, 'cost_basis': 48.62697435, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': -3889, 'cost_basis': 366.68932362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 19158, 'cost_basis': 85.16760252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 68106, 'cost_basis': 137.475973635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 72639, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.51}]",1.0053376692236666,-2013206.9900000002,[],0.0,10050741.5,10046430.1,3,-53339.8104876523,"[{'id': '18fe8032732849f59befa7c4e0e33384', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4807, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '43ebae61357d4243878840978d5d94d4', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 225, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'bd0d236379d0464d86f6474c76f06433', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1304, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'fffea1b4ca5b4fb883c79235345222c5', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1597, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e9a0ffd96cc349df87c0fdf1ea608f73', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -2928, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-2013206.9900000002,2,10050741.5,9993090.289512347,12059637.09,10046430.1,-0.0023498080487652827,,,-0.0006909710487652543,1.4082574731431492,0.0,0.0,-1.6818294221647112,9,0.0,0.0,-1.1416737935656749,0.016841138038312952,2020-12,[-0.03304258 -0.13645076  0.15075362  0.9175204   0.10121932]
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,11680881.970000003,-11198.992851031944,-4192.4333386872795,1.3399945774278088,-0.0011206736381422777,"[{'sid': Equity(4 [VWO]), 'amount': -6736, 'cost_basis': 48.59159638927776, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': -3664, 'cost_basis': 366.6665014886545, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 17854, 'cost_basis': 85.17370972811472, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 66509, 'cost_basis': 137.4792836849313, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 69711, 'cost_basis': 14.402188013238801, 'last_sale_price': 14.55}]",1.000420003906483,-1694798.24,"[{'amount': 4807, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '18fe8032732849f59befa7c4e0e33384', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 225, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '43ebae61357d4243878840978d5d94d4', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -1304, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.61816999999999, 'order_id': 'bd0d236379d0464d86f6474c76f06433', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -1597, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': 'fffea1b4ca5b4fb883c79235345222c5', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -2928, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': 'e9a0ffd96cc349df87c0fdf1ea608f73', 'sid': Equity(0 [DBC]), 'commission': None}]",49147.37714896537,10046430.1,9986083.730000002,3,-53339.8104876523,"[{'id': '18fe8032732849f59befa7c4e0e33384', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4807, 'filled': 4807, 'commission': 238.305943425, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '43ebae61357d4243878840978d5d94d4', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 225, 'filled': 225, 'commission': 83.62028924999998, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'bd0d236379d0464d86f6474c76f06433', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1304, 'filled': -1304, 'commission': 109.03809367999999, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'fffea1b4ca5b4fb883c79235345222c5', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1597, 'filled': -1597, 'commission': 220.14811088000002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e9a0ffd96cc349df87c0fdf1ea608f73', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -2928, 'filled': -2928, 'commission': 42.58109880000001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-1694798.24,2,10046430.1,9981891.296661315,11680881.970000003,9986083.730000002,-0.0023498080487652827,,,-0.0018108703338685084,1.4082574731431492,0.0,0.0,-3.7277757355737,10,0.0,0.0,-2.723819649465167,0.016721133885305495,2020-12,[-0.03304258 -0.13645076  0.15075362  0.9175204   0.10121932]
