,period_open,period_close,shorts_count,longs_count,ending_cash,ending_value,returns,pnl,net_leverage,portfolio_value,gross_leverage,positions,starting_cash,ending_exposure,starting_value,short_value,long_value,orders,short_exposure,long_exposure,transactions,capital_used,starting_exposure,algo_volatility,period_label,excess_return,max_leverage,algorithm_period_return,treasury_period_return,max_drawdown,sortino,trading_days,alpha,beta,sharpe,benchmark_period_return,benchmark_volatility,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0,0,10000000.0,0.0,0.0,0.0,0.0,10000000.0,0.0,[],10000000.0,0.0,0.0,0.0,0.0,[],0.0,0.0,[],0.0,0.0,,2020-12,0.0,0.0,0.0,0.0,0.0,,1,,,,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0,0,10000000.0,0.0,0.0,0.0,0.0,10000000.0,0.0,[],10000000.0,0.0,0.0,0.0,0.0,[],0.0,0.0,[],0.0,0.0,0.0,2020-12,0.0,0.0,0.0,0.0,0.0,,2,,,,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0,0,10000000.0,0.0,0.0,0.0,0.0,10000000.0,0.0,[],10000000.0,0.0,0.0,0.0,0.0,[],0.0,0.0,[],0.0,0.0,0.0,2020-12,0.0,0.0,0.0,0.0,0.0,,3,,,,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0,0,10000000.0,0.0,0.0,0.0,0.0,10000000.0,0.0,[],10000000.0,0.0,0.0,0.0,0.0,[],0.0,0.0,[],0.0,0.0,0.0,2020-12,0.0,0.0,0.0,0.0,0.0,,4,,,,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0,0,10000000.0,0.0,0.0,0.0,0.0,10000000.0,0.0,[],10000000.0,0.0,0.0,0.0,0.0,"[{'id': '1e5d33df656742938b1f3cf9ee74a728', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -31276, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '893e0514efba4040abb47481cf776b7a', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 7168, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f50d0d82422e48a982779cef5f795c21', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -39679, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0043c7e42b10442a9e71d35851e169b8', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 41024, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ef3d281f8ee14b95bd789463f4799b5f', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,[],0.0,0.0,0.0,2020-12,0.0,0.0,0.0,0.0,0.0,,5,,,,0.0,0.0,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,2,3,4404469.12812148,5572477.04,-0.002305383187852006,-23053.83187852055,0.5585353419872385,9976946.16812148,1.5402873285116123,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.626974350000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.79104362000004, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.91248252000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.475973635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.38}]",10000000.0,5572477.04,0.0,-4897443.36,10469920.4,"[{'id': '1e5d33df656742938b1f3cf9ee74a728', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -31276, 'filled': -31276, 'commission': 1522.3796294000003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '893e0514efba4040abb47481cf776b7a', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 7168, 'filled': 7168, 'commission': 2633.69250816, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f50d0d82422e48a982779cef5f795c21', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -39679, 'filled': -39679, 'commission': 3372.6150089200005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0043c7e42b10442a9e71d35851e169b8', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 41024, 'filled': 41024, 'commission': 5634.180162240001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ef3d281f8ee14b95bd789463f4799b5f', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 153420, 'commission': 2207.2826898000003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-4897443.36,10469920.4,"[{'amount': -31276, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '1e5d33df656742938b1f3cf9ee74a728', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 7168, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '893e0514efba4040abb47481cf776b7a', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -39679, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': 'f50d0d82422e48a982779cef5f795c21', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 41024, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '0043c7e42b10442a9e71d35851e169b8', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'ef3d281f8ee14b95bd789463f4799b5f', 'sid': Equity(0 [DBC]), 'commission': None}]",-5595530.87187852,0.0,0.014940590650937748,2020-12,0.0,1.5402873285116123,-0.002305383187852006,0.0,-0.0023053831878520727,-6.48074069840786,6,,,-6.48074069840786,0.0,0.0,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,2,3,1799567.9300222804,8210872.65,0.0033571807782049046,33494.411900801584,0.8202308963689713,10010440.580022281,1.7974621922145158,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.626974350000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.79104362000004, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.91248252000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.475973635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 332060, 'cost_basis': 14.498558003339758, 'last_sale_price': 14.56}]",4404469.12812148,8210872.65,5572477.04,-4891257.91,13102130.56,"[{'id': 'ef3d281f8ee14b95bd789463f4799b5f', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 332060, 'commission': 4809.581589, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-4891257.91,13102130.56,"[{'amount': 178640, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': 'ef3d281f8ee14b95bd789463f4799b5f', 'sid': Equity(0 [DBC]), 'commission': None}]",-2604901.1980991997,5572477.04,0.02626692628819543,2020-12,0.0,1.7974621922145158,0.0010440580022281765,0.0,-0.0023053831878520727,2.7374128411152934,7,,,1.441535748692494,0.0,0.0,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,2,3,-15054.631629619602,10098551.84,0.007298043254349684,73056.62834809907,1.0014929970543476,10083497.20837038,1.965106382292774,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.626974350000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.79104362000004, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.91248252000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.475973635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 456163, 'cost_basis': 14.532116222141866, 'last_sale_price': 14.6}]",1799567.9300222804,10098551.84,8210872.65,-4858296.44,14956848.280000001,"[{'id': 'ef3d281f8ee14b95bd789463f4799b5f', 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 456163, 'commission': 6622.391340900001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-4858296.44,14956848.280000001,"[{'amount': 124103, 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'price': 14.6073, 'order_id': 'ef3d281f8ee14b95bd789463f4799b5f', 'sid': Equity(0 [DBC]), 'commission': None}]",-1814622.5616519004,8210872.65,0.046912138534340835,2020-12,0.0,1.965106382292774,0.008349720837038221,0.0,-0.0023053831878520727,20.3277987622163,8,,,5.6066509612558875,0.0,0.0,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,2,3,-15054.631629619602,10060944.790000003,-0.003729564180250833,-37607.04999999702,1.0014985861274897,10045890.158370383,1.9732917200456142,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.626974350000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.79104362000004, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.91248252000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.475973635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 456163, 'cost_basis': 14.532116222141866, 'last_sale_price': 14.51}]",-15054.631629619602,10060944.790000003,10098551.84,-4881263.54,14942208.330000002,"[{'id': '8a7de78829a34af5a3b07d950c97e23c', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 5044, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '53bd40dfaa4f48e59fcd13d296d56ff0', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1714, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4534677099b24538a205ad6d670bea22', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 28478, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6cf059c12a584945a67f9639e98c0f14', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 21266, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '8501c973b1ad4369ac56dc5cf379352a', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -341762, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-4881263.54,14942208.330000002,[],0.0,10098551.84,0.05063216983924545,2020-12,0.0,1.9732917200456142,0.004589015837038524,0.0,-0.0037295641802507777,5.5759663201547776,9,,,2.555050415879568,0.0,0.0,"[-0.12799985706806183, 0.20202507078647614, -0.09407906234264374, 0.8548164963722229, 0.16523735225200653]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,2,3,-3042628.2200891,13103955.030000001,0.001536613609860682,15436.651540517807,1.3024082486906163,10061326.8099109,1.747055620207576,"[{'sid': Equity(4 [VWO]), 'amount': -26232, 'cost_basis': 48.61744190241309, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5454, 'cost_basis': 367.907722039285, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -11201, 'cost_basis': 84.69967467117044, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 62290, 'cost_basis': 137.69821863839462, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 324663, 'cost_basis': 14.53800654021784, 'last_sale_price': 14.55}]",-15054.631629619602,13103955.030000001,10060944.790000003,-2236871.26,15340826.290000001,"[{'id': '8a7de78829a34af5a3b07d950c97e23c', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 5044, 'filled': 5044, 'commission': 250.0551651, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '53bd40dfaa4f48e59fcd13d296d56ff0', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1714, 'filled': -1714, 'commission': 636.3640987800001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4534677099b24538a205ad6d670bea22', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 28478, 'filled': 28478, 'commission': 2383.66071474, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6cf059c12a584945a67f9639e98c0f14', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 21266, 'filled': 21266, 'commission': 2934.4732233600002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '8501c973b1ad4369ac56dc5cf379352a', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -341762, 'filled': -131500, 'commission': 1912.3683375, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-2236871.26,15340826.290000001,"[{'amount': 5044, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '8a7de78829a34af5a3b07d950c97e23c', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -1714, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': '53bd40dfaa4f48e59fcd13d296d56ff0', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 28478, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '4534677099b24538a205ad6d670bea22', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 21266, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': '6cf059c12a584945a67f9639e98c0f14', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '8501c973b1ad4369ac56dc5cf379352a', 'sid': Equity(0 [DBC]), 'commission': None}]",-3027573.5884594824,10060944.790000003,0.04801203733934042,2020-12,0.0,1.9732917200456142,0.006132680991090211,0.0,-0.0037295641802507777,7.049118775052245,10,,,3.2315569909286586,0.0,0.0,"[-0.12799985706806183, 0.20202507078647614, -0.09407906234264374, 0.8548164963722229, 0.16523735225200653]"
