,period_open,period_close,returns,positions,long_exposure,short_value,transactions,capital_used,pnl,shorts_count,orders,longs_count,short_exposure,portfolio_value,ending_cash,gross_leverage,starting_cash,net_leverage,ending_value,long_value,starting_value,ending_exposure,starting_exposure,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,period_label,trading_days,max_drawdown,sharpe,sortino,max_leverage,treasury_period_return,excess_return,alpha,beta,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,[],0.0,0.0,[],0.0,0.0,0,[],0,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2020-12,1,0.0,,,0.0,0.0,0.0,,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,[],0.0,0.0,[],0.0,0.0,0,[],0,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12,2,0.0,,,0.0,0.0,0.0,,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,[],0.0,0.0,[],0.0,0.0,0,[],0,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12,3,0.0,,,0.0,0.0,0.0,,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,[],0.0,0.0,[],0.0,0.0,0,[],0,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12,4,0.0,,,0.0,0.0,0.0,,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,[],0.0,0.0,[],0.0,0.0,0,"[{'id': '2f5aeb23f243434e9634b15b84001889', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 3458, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '03bcfa95d99f4fd985f6cc866b5e7bb5', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 24448, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e00264ab9f2f4537a8aecdc408319503', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -47568, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'cf87fe79e2dd4b33a2a13fa084ff4cb0', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47122, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'acbac960c5974193b3176c9cc1e1ceab', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -109811, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12,5,0.0,,,0.0,0.0,0.0,,,"[0.016969654709100723, 0.8993577361106873, -0.4017168879508972, 0.6450554728507996, -0.159666046500206]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,-0.0010619694980003036,"[{'sid': Equity(4 [VWO]), 'amount': 3458, 'cost_basis': 48.72435, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 24448, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -47568, 'cost_basis': 84.99748000000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 47122, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': -109811, 'cost_basis': 14.372810000000001, 'last_sale_price': 14.38}]",15615125.059999999,-5624264.9,"[{'amount': 3458, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.72435, 'order_id': '2f5aeb23f243434e9634b15b84001889', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 24448, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '03bcfa95d99f4fd985f6cc866b5e7bb5', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -47568, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': 'e00264ab9f2f4537a8aecdc408319503', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 47122, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'cf87fe79e2dd4b33a2a13fa084ff4cb0', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -109811, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.372810000000001, 'order_id': 'acbac960c5974193b3176c9cc1e1ceab', 'sid': Equity(0 [DBC]), 'commission': None}]",-10001479.85498,-10619.69498000294,2,"[{'id': '2f5aeb23f243434e9634b15b84001889', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 3458, 'filled': 3458, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '03bcfa95d99f4fd985f6cc866b5e7bb5', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 24448, 'filled': 24448, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e00264ab9f2f4537a8aecdc408319503', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -47568, 'filled': -47568, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'cf87fe79e2dd4b33a2a13fa084ff4cb0', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47122, 'filled': 47122, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'acbac960c5974193b3176c9cc1e1ceab', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -109811, 'filled': -109811, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",3,-5624264.9,9989380.305019997,-1479.8549800002947,2.1261969523100945,10000000.0,1.0001481428211576,9990860.159999998,15615125.059999999,0.0,9990860.159999998,0.0,-0.0010619694980003036,0.006882348946158333,0.0,0.0,2020-12,6,-0.0010619694980003658,-6.48074069840786,-6.4807406984078595,2.1261969523100945,0.0,0.0,,,"[0.016969654709100723, 0.8993577361106873, -0.4017168879508972, 0.6450554728507996, -0.159666046500206]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,0.0017625637889824297,"[{'sid': Equity(4 [VWO]), 'amount': 3458, 'cost_basis': 48.72435, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 24448, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -47568, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 47122, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': -109811, 'cost_basis': 14.372810000000001, 'last_sale_price': 14.56}]",15626335.559999999,-5617868.48,[],0.0,17606.920000001788,2,[],3,-5617868.48,10006987.225019999,-1479.8549800002947,2.1229370601057744,-1479.8549800002947,1.0001478821694005,10008467.079999998,15626335.559999999,9990860.159999998,10008467.079999998,9990860.159999998,0.0006987225019998711,0.013224985424683627,0.0,0.0,2020-12,7,-0.0010619694980003658,1.9071018731168015,3.958273522740626,2.1261969523100945,0.0,0.0,,,"[0.016969654709100723, 0.8993577361106873, -0.4017168879508972, 0.6450554728507996, -0.159666046500206]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,0.00807073879319753,"[{'sid': Equity(4 [VWO]), 'amount': 3458, 'cost_basis': 48.72435, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 24448, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -47568, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 47122, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': -109811, 'cost_basis': 14.372810000000001, 'last_sale_price': 14.6}]",15682475.3,-5593244.4399999995,[],0.0,80763.78000000119,2,[],3,-5593244.4399999995,10087751.00502,-1479.8549800002947,2.1090647191244605,-1479.8549800002947,1.0001466982064946,10089230.860000001,15682475.3,10008467.079999998,10089230.860000001,10008467.079999998,0.008775100502000033,0.0463805043247104,0.0,0.0,2020-12,8,-0.0010619694980003658,5.957179555817268,46.35630772080718,2.1261969523100945,0.0,0.0,,,"[0.016969654709100723, 0.8993577361106873, -0.4017168879508972, 0.6450554728507996, -0.159666046500206]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,0.0067592796418223244,"[{'sid': Equity(4 [VWO]), 'amount': 3458, 'cost_basis': 48.72435, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 24448, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -47568, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 47122, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': -109811, 'cost_basis': 14.372810000000001, 'last_sale_price': 14.51}]",15764562.240000002,-5607145.449999999,[],0.0,68185.93000000343,2,"[{'id': '7986a138530547f6b9fc0489db6372c0', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -50938, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '41194ae5366148fb998850d7588d2058', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 2837, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '87f2a34cf4c84ada99fd553cdeeaaa4b', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 14370, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '722691734f5942f78e14f0b6efa1b2bf', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1227, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f151a684db024545b2083f14b3c26dd7', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 3969, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",3,-5607145.449999999,10155936.935020003,-1479.8549800002947,2.1043560851885013,-1479.8549800002947,1.0001457132896223,10157416.790000003,15764562.240000002,10089230.860000001,10157416.790000003,10089230.860000001,0.01559369350200046,0.05272723937136306,0.0,0.0,2020-12,9,-0.0010619694980003658,8.247296113216063,77.38478187712394,2.1261969523100945,0.0,0.0,,,"[-0.22917644679546356, 0.9999048113822937, -0.2758162319660187, 0.6563058495521545, -0.15121786296367645]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,0.001442999266218603,"[{'sid': Equity(4 [VWO]), 'amount': -47480, 'cost_basis': 49.525225000000006, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 27285, 'cost_basis': 367.86262040571745, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -33198, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 48349, 'cost_basis': 137.3551389354485, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': -105842, 'cost_basis': 14.372810000000001, 'last_sale_price': 14.55}]",16803580.18,-6669979.779999999,"[{'amount': -50938, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': '7986a138530547f6b9fc0489db6372c0', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 2837, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '41194ae5366148fb998850d7588d2058', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 14370, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '87f2a34cf4c84ada99fd553cdeeaaa4b', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 1227, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': '722691734f5942f78e14f0b6efa1b2bf', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 3969, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.557275, 'order_id': 'f151a684db024545b2083f14b3c26dd7', 'sid': Equity(0 [DBC]), 'commission': None}]",38471.399545000866,14655.009544996545,3,"[{'id': '7986a138530547f6b9fc0489db6372c0', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -50938, 'filled': -50938, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '41194ae5366148fb998850d7588d2058', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 2837, 'filled': 2837, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '87f2a34cf4c84ada99fd553cdeeaaa4b', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 14370, 'filled': 14370, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '722691734f5942f78e14f0b6efa1b2bf', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1227, 'filled': 1227, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f151a684db024545b2083f14b3c26dd7', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 3969, 'filled': 3969, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",2,-6669979.779999999,10170591.944565,36991.54456499999,2.307983654043253,-1479.8549800002947,0.9963628916815636,10133600.4,16803580.18,10157416.790000003,10133600.4,10157416.790000003,0.01705919445650017,0.04973195951166535,0.0,0.0,2020-12,10,-0.0010619694980003658,8.600807738203587,80.23474885030821,2.307983654043253,0.0,0.0,,,"[-0.22917644679546356, 0.9999048113822937, -0.2758162319660187, 0.6563058495521545, -0.15121786296367645]"
