,period_open,period_close,positions,orders,starting_value,long_exposure,short_value,starting_exposure,returns,portfolio_value,long_value,starting_cash,longs_count,ending_exposure,net_leverage,short_exposure,capital_used,gross_leverage,ending_value,ending_cash,pnl,shorts_count,transactions,treasury_period_return,alpha,beta,algo_volatility,sharpe,algorithm_period_return,max_leverage,excess_return,trading_days,period_label,sortino,max_drawdown,benchmark_period_return,benchmark_volatility,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,[],[],0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0,[],0.0,,,,,0.0,0.0,0.0,1,2020-12,,0.0,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,[],[],0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0,[],0.0,,,0.0,,0.0,0.0,0.0,2,2020-12,,0.0,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,[],[],0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0,[],0.0,,,0.0,,0.0,0.0,0.0,3,2020-12,,0.0,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,[],[],0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0,[],0.0,,,0.0,,0.0,0.0,0.0,4,2020-12,,0.0,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,[],"[{'id': 'a6df8ae6af074bad8412c49829f50002', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -64148, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b57f1c9b423248d5b2dda4381b9718f8', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27184, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6950829a76ab4ab8bcc8b53c68f32f95', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -23215, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f96f1bd04d5c416eb244ea3b7b42a281', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 35140, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5a6edeed4ade4a7ca54abe4e70621b91', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 20452, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0,[],0.0,,,0.0,,0.0,0.0,0.0,5,2020-12,,0.0,0.0,0.0,"[-0.3147144913673401, 0.9999938607215881, -0.19605451822280884, 0.48103758692741394, 0.029737472534179688]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': -64148, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -23215, 'cost_basis': 84.99748000000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 35140, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 20452, 'cost_basis': 14.38719, 'last_sale_price': 14.38}]","[{'id': 'a6df8ae6af074bad8412c49829f50002', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -64148, 'filled': -64148, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b57f1c9b423248d5b2dda4381b9718f8', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27184, 'filled': 27184, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6950829a76ab4ab8bcc8b53c68f32f95', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -23215, 'filled': -23215, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f96f1bd04d5c416eb244ea3b7b42a281', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 35140, 'filled': 35140, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5a6edeed4ade4a7ca54abe4e70621b91', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 20452, 'filled': 20452, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",0.0,15100819.72,-5098211.2,0.0,-0.001009951546000143,9989900.484539999,15100819.72,10000000.0,3,10002608.52,1.0012720882935389,-5098211.2,-10012708.03546,2.021945158638895,10002608.52,-12708.035460001265,-10099.515460001305,2,"[{'amount': -64148, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': 'a6df8ae6af074bad8412c49829f50002', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 27184, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'b57f1c9b423248d5b2dda4381b9718f8', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -23215, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': '6950829a76ab4ab8bcc8b53c68f32f95', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 35140, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'f96f1bd04d5c416eb244ea3b7b42a281', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 20452, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '5a6edeed4ade4a7ca54abe4e70621b91', 'sid': Equity(0 [DBC]), 'commission': None}]",0.0,,,0.0065452340875830645,-6.48074069840786,-0.001009951546000143,2.021945158638895,0.0,6,2020-12,-6.48074069840786,-0.0010099515460001386,0.0,0.0,"[-0.3147144913673401, 0.9999938607215881, -0.19605451822280884, 0.48103758692741394, 0.029737472534179688]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': -64148, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -23215, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 35140, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 20452, 'cost_basis': 14.38719, 'last_sale_price': 14.56}]",[],10002608.52,15114525.999999998,-5117516.95,10002608.52,-0.0005605130910630862,9984301.014539996,15114525.999999998,-12708.035460001265,3,9997009.049999997,1.0012728017155628,-5117516.95,0.0,2.0263855146731213,9997009.049999997,-12708.035460001265,-5599.470000002533,2,[],0.0,,,0.0064216260451923305,-8.804113870287344,-0.0015698985460003145,2.0263855146731213,0.0,7,2020-12,-8.157792960539636,-0.0015698985460002746,0.0,0.0,"[-0.3147144913673401, 0.9999938607215881, -0.19605451822280884, 0.48103758692741394, 0.029737472534179688]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': -64148, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -23215, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 35140, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 20452, 'cost_basis': 14.38719, 'last_sale_price': 14.6}]",[],9997009.049999997,15170733.0,-5085394.36,9997009.049999997,0.00884684765326793,10072630.60454,15170733.0,-12708.035460001265,3,10085338.64,1.0012616401771224,-5085394.36,0.0,2.0110066729608875,10085338.64,-12708.035460001265,88329.59000000358,2,[],0.0,,,0.051257937747535454,4.4716208861030236,0.007263060454000048,2.0263855146731213,0.0,8,2020-12,35.35607898251931,-0.0015698985460002746,0.0,0.0,"[-0.3147144913673401, 0.9999938607215881, -0.19605451822280884, 0.48103758692741394, 0.029737472534179688]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': -64148, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -23215, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 35140, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 20452, 'cost_basis': 14.38719, 'last_sale_price': 14.51}]","[{'id': '3cb3f4ca35bb48f09c34b4dd067db9a8', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 77437, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6d2fafda515746e1a989db930406bd31', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -21698, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ddb41f53dd3a482fa20dc55449508bca', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -3458, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '77e8842af06b42d89411837d4dffc800', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 36623, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3044fdee75ab4cc4a7114efe019dec2a', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -33799, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10085338.64,15258228.200000001,-5103416.66,10085338.64,0.006897195253907862,10142103.50454,15258228.200000001,-12708.035460001265,3,10154811.540000001,1.0012529980052276,-5103416.66,0.0,2.007635285016105,10154811.540000001,-12708.035460001265,69472.90000000037,2,[],0.0,,,0.057470061340151084,6.905511884078816,0.014210350454000098,2.0263855146731213,0.0,9,2020-12,64.9309547791412,-0.0015698985460002746,0.0,0.0,"[0.06423242390155792, 0.201311394572258, -0.22191432118415833, 0.9754660129547119, -0.019095532596111298]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': 13289, 'cost_basis': 49.574775, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5486, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -26673, 'cost_basis': 84.81866044539423, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 71763, 'cost_basis': 137.67051706283186, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': -13347, 'cost_basis': 14.542725, 'last_sale_price': 14.55}]","[{'id': '3cb3f4ca35bb48f09c34b4dd067db9a8', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 77437, 'filled': 77437, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6d2fafda515746e1a989db930406bd31', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -21698, 'filled': -21698, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ddb41f53dd3a482fa20dc55449508bca', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -3458, 'filled': -3458, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '77e8842af06b42d89411837d4dffc800', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 36623, 'filled': 36623, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3044fdee75ab4cc4a7114efe019dec2a', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -33799, 'filled': -33799, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",10154811.540000001,12593852.47,-2425662.03,10154811.540000001,-0.004192653835662918,10099581.17538,12593852.47,-12708.035460001265,3,10168190.440000001,1.006793278199224,-2425662.03,-55901.2291600015,1.4871423120607656,10168190.440000001,-68609.26462000131,-42522.329159999266,2,"[{'amount': 77437, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '3cb3f4ca35bb48f09c34b4dd067db9a8', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -21698, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': '6d2fafda515746e1a989db930406bd31', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -3458, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.61816999999999, 'order_id': 'ddb41f53dd3a482fa20dc55449508bca', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 36623, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': '77e8842af06b42d89411837d4dffc800', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -33799, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '3044fdee75ab4cc4a7114efe019dec2a', 'sid': Equity(0 [DBC]), 'commission': None}]",0.0,,,0.061433560087360575,4.0941676730188235,0.009958117538000133,2.0263855146731213,0.0,10,2020-12,11.521162459611498,-0.004192653835662835,0.0,0.0,"[0.06423242390155792, 0.201311394572258, -0.22191432118415833, 0.9754660129547119, -0.019095532596111298]"
