,period_open,period_close,gross_leverage,long_value,net_leverage,shorts_count,orders,longs_count,ending_exposure,starting_exposure,short_exposure,capital_used,pnl,returns,transactions,long_exposure,starting_cash,ending_value,short_value,positions,starting_value,ending_cash,portfolio_value,excess_return,sortino,algorithm_period_return,treasury_period_return,trading_days,sharpe,max_drawdown,period_label,benchmark_period_return,benchmark_volatility,max_leverage,alpha,beta,algo_volatility,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,0.0,0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,[],0.0,10000000.0,10000000.0,0.0,,0.0,0.0,1,,0.0,2020-12,0.0,,0.0,,,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,0.0,0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,[],0.0,10000000.0,10000000.0,0.0,,0.0,0.0,2,,0.0,2020-12,0.0,0.0,0.0,,,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,0.0,0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,[],0.0,10000000.0,10000000.0,0.0,,0.0,0.0,3,,0.0,2020-12,0.0,0.0,0.0,,,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,0.0,0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,[],0.0,10000000.0,10000000.0,0.0,,0.0,0.0,4,,0.0,2020-12,0.0,0.0,0.0,,,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,0.0,0,"[{'id': 'd7cd6064613e4543999ca4e4b19da96a', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47648, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd17d68ebfd2c4391aa14426132b27cb8', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5565, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd8db574cd1884b32a402134419f14a9d', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 19471, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e9dc92e33ed94e4c839a2966461ed3f8', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 12419, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3280a19e5e6c4ab6ad2c4a1acfea8e6c', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 156160, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,[],0.0,10000000.0,10000000.0,0.0,,0.0,0.0,5,,0.0,2020-12,0.0,0.0,0.0,,,0.0,[0.23376465 0.20472644 0.16443518 0.17001651 0.22705721]
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,0.9935831356272956,9930897.77,0.9935831356272956,0,"[{'id': 'd7cd6064613e4543999ca4e4b19da96a', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47648, 'filled': 47648, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd17d68ebfd2c4391aa14426132b27cb8', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5565, 'filled': 5565, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd8db574cd1884b32a402134419f14a9d', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 19471, 'filled': 19471, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e9dc92e33ed94e4c839a2966461ed3f8', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 12419, 'filled': 12419, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3280a19e5e6c4ab6ad2c4a1acfea8e6c', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 156160, 'filled': 153420, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",5,9930897.77,0.0,0.0,-9935863.218885,-4965.448885001242,-0.00049654488850015,"[{'amount': 47648, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.72435, 'order_id': 'd7cd6064613e4543999ca4e4b19da96a', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 5565, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'd17d68ebfd2c4391aa14426132b27cb8', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 19471, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'd8db574cd1884b32a402134419f14a9d', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 12419, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'e9dc92e33ed94e4c839a2966461ed3f8', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '3280a19e5e6c4ab6ad2c4a1acfea8e6c', 'sid': Equity(0 [DBC]), 'commission': None}]",9930897.77,10000000.0,9930897.77,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 47648, 'cost_basis': 48.72435000000001, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 5565, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 19471, 'cost_basis': 85.08252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 12419, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.38}]",0.0,64136.78111499967,9995034.551114999,0.0,-6.4807406984078595,-0.00049654488850015,0.0,6,-6.4807406984078595,-0.0004965448885000967,2020-12,0.0,0.0,0.9935831356272956,,,0.0032179786674893154,[0.23376465 0.20472644 0.16443518 0.17001651 0.22705721]
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,0.9975869152722429,10013731.74,0.9975869152722429,0,"[{'id': '3280a19e5e6c4ab6ad2c4a1acfea8e6c', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 156160, 'filled': 156160, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",5,10013731.74,9930897.77,0.0,-39914.34720000066,42919.622800001875,0.004294094490670197,"[{'amount': 2740, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': '3280a19e5e6c4ab6ad2c4a1acfea8e6c', 'sid': Equity(0 [DBC]), 'commission': None}]",10013731.74,64136.78111499967,10013731.74,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 47648, 'cost_basis': 48.72435000000001, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 5565, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 19471, 'cost_basis': 85.08252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 12419, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 156160, 'cost_basis': 14.390349878329921, 'last_sale_price': 14.56}]",9930897.77,24222.433914999667,10037954.173915,0.0,45.88768939268499,0.0037954173915000222,0.0,7,5.173596555585541,-0.0004965448885000967,2020-12,0.0,0.0,0.9975869152722429,,,0.02642490271695506,[0.23376465 0.20472644 0.16443518 0.17001651 0.22705721]
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,0.9975856699865006,10008554.27,0.9975856699865006,0,[],5,10008554.27,10013731.74,0.0,0.0,-5177.470000000671,-0.000515789364077146,[],10008554.27,24222.433914999667,10008554.27,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 47648, 'cost_basis': 48.72435000000001, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 5565, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 19471, 'cost_basis': 85.08252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 12419, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 156160, 'cost_basis': 14.390349878329921, 'last_sale_price': 14.6}]",10013731.74,24222.433914999667,10032776.703915,0.0,25.726146202953768,0.003277670391500065,0.0,8,4.10620612765935,-0.000515789364077188,2020-12,0.0,0.0,0.9975869152722429,,,0.02517541601323683,[0.23376465 0.20472644 0.16443518 0.17001651 0.22705721]
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,0.9975902826479608,10027758.93,0.9975902826479608,0,"[{'id': '58c5e556fc694b8bae9caa3c5a1e9e07', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -380, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '23335d9fabfd4bcf84c3131d152152c6', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -39, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'eba12318751a4158ac22e9be08ff5f30', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 2777, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1d1662e2e6154d0f832a281561d48974', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -503, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'af3b438d275f466fa981154f21c3087c', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -7392, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",5,10027758.93,10008554.27,0.0,0.0,19204.66000000015,0.0019141919098535354,[],10027758.93,24222.433914999667,10027758.93,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 47648, 'cost_basis': 48.72435000000001, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 5565, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 19471, 'cost_basis': 85.08252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 12419, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 156160, 'cost_basis': 14.390349878329921, 'last_sale_price': 14.51}]",10008554.27,24222.433914999667,10051981.363915,0.0,38.40225845727038,0.00519813639150013,0.0,9,5.852755779515274,-0.000515789364077188,2020-12,0.0,0.0,0.9975902826479608,,,0.024857804703163174,[0.23050782 0.20457116 0.18676309 0.16341199 0.21474593]
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,0.999809196928582,10064114.16,0.999809196928582,0,"[{'id': '58c5e556fc694b8bae9caa3c5a1e9e07', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -380, 'filled': -380, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '23335d9fabfd4bcf84c3131d152152c6', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -39, 'filled': -39, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'eba12318751a4158ac22e9be08ff5f30', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 2777, 'filled': 2777, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1d1662e2e6154d0f832a281561d48974', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -503, 'filled': -503, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'af3b438d275f466fa981154f21c3087c', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -7392, 'filled': -7392, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",5,10064114.16,10027758.93,0.0,-22301.803559999913,14053.426440000534,0.001398075258122855,"[{'amount': -380, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': '58c5e556fc694b8bae9caa3c5a1e9e07', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -39, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': '23335d9fabfd4bcf84c3131d152152c6', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 2777, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': 'eba12318751a4158ac22e9be08ff5f30', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -503, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': '1d1662e2e6154d0f832a281561d48974', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -7392, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': 'af3b438d275f466fa981154f21c3087c', 'sid': Equity(0 [DBC]), 'commission': None}]",10064114.16,24222.433914999667,10064114.16,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 47268, 'cost_basis': 48.72435000000001, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5526, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 22248, 'cost_basis': 84.91018198624596, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 11916, 'cost_basis': 137.338635, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 148768, 'cost_basis': 14.390349878329921, 'last_sale_price': 14.55}]",10027758.93,1920.630354999681,10066034.790355,0.0,46.23422966137916,0.006603479035500293,0.0,10,6.983211422109628,-0.000515789364077188,2020-12,0.0,0.0,0.999809196928582,,,0.023795569199986554,[0.23050782 0.20457116 0.18676309 0.16341199 0.21474593]
