,period_open,period_close,ending_value,ending_exposure,starting_cash,long_value,orders,capital_used,long_exposure,net_leverage,short_exposure,longs_count,starting_value,gross_leverage,positions,returns,ending_cash,pnl,transactions,portfolio_value,short_value,starting_exposure,shorts_count,max_leverage,excess_return,max_drawdown,sharpe,algo_volatility,algorithm_period_return,benchmark_period_return,benchmark_volatility,alpha,beta,period_label,sortino,trading_days,treasury_period_return,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,10000000.0,0.0,[],0.0,0.0,0.0,0.0,0,0.0,0.0,[],0.0,10000000.0,0.0,[],10000000.0,0.0,0.0,0,0.0,0.0,0.0,,,0.0,0.0,,,,2020-12,,1,0.0,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,10000000.0,0.0,[],0.0,0.0,0.0,0.0,0,0.0,0.0,[],0.0,10000000.0,0.0,[],10000000.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2020-12,,2,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,10000000.0,0.0,[],0.0,0.0,0.0,0.0,0,0.0,0.0,[],0.0,10000000.0,0.0,[],10000000.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2020-12,,3,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,10000000.0,0.0,[],0.0,0.0,0.0,0.0,0,0.0,0.0,[],0.0,10000000.0,0.0,[],10000000.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2020-12,,4,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,10000000.0,0.0,"[{'id': '819cd15133ac41d6bda29df9ab3a6a03', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5651, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '63c288156039416c86f5dce638f744d5', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 3100, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c31baf121d63490e8a0da8d5e2fca758', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 11109, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0817b7f4dee44b1296e14cf77dfa3d14', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 12183, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'dc86ad7658724d418fe1c40f96164770', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 449150, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,0.0,0,0.0,0.0,[],0.0,10000000.0,0.0,[],10000000.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2020-12,,5,0.0,"[-0.027723949402570724, 0.11406783014535904, 0.09381605684757233, 0.16677485406398773, 0.6530652046203613]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,5686489.670000001,5686489.670000001,10000000.0,5961693.370000001,"[{'id': '819cd15133ac41d6bda29df9ab3a6a03', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5651, 'filled': -5651, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '63c288156039416c86f5dce638f744d5', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 3100, 'filled': 3100, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c31baf121d63490e8a0da8d5e2fca758', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 11109, 'filled': 11109, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0817b7f4dee44b1296e14cf77dfa3d14', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 12183, 'filled': 12183, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'dc86ad7658724d418fe1c40f96164770', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 449150, 'filled': 153420, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-5689608.118535001,5961693.370000001,0.5688263525705843,-275203.7,4,0.0,0.6238842620963144,"[{'sid': Equity(4 [VWO]), 'amount': -5651, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 3100, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 11109, 'cost_basis': 85.08252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 12183, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.38}]",-0.00031184485349988744,4310391.881465001,-3118.4485349990427,"[{'amount': -5651, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '819cd15133ac41d6bda29df9ab3a6a03', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 3100, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '63c288156039416c86f5dce638f744d5', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 11109, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'c31baf121d63490e8a0da8d5e2fca758', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 12183, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '0817b7f4dee44b1296e14cf77dfa3d14', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'dc86ad7658724d418fe1c40f96164770', 'sid': Equity(0 [DBC]), 'commission': None}]",9996881.551465001,-275203.7,0.0,1,0.6238842620963144,0.0,-0.0003118448534998208,-6.48074069840786,0.0020209856336657573,-0.00031184485349988744,0.0,0.0,,,2020-12,-6.48074069840786,6,0.0,"[-0.027723949402570724, 0.11406783014535904, 0.09381605684757233, 0.16677485406398773, 0.6530652046203613]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,8307556.71,8307556.71,4310391.881465001,8585585.91,"[{'id': 'dc86ad7658724d418fe1c40f96164770', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 449150, 'filled': 332060, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-2602298.8992,8585585.91,0.8294575953885303,-278029.2,4,5686489.670000001,0.8849765499331803,"[{'sid': Equity(4 [VWO]), 'amount': -5651, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 3100, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 11109, 'cost_basis': 85.08252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 12183, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 332060, 'cost_basis': 14.484073929410346, 'last_sale_price': 14.56}]",0.0018773995373835284,1708092.9822650012,18768.140799999237,"[{'amount': 178640, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': 'dc86ad7658724d418fe1c40f96164770', 'sid': Equity(0 [DBC]), 'commission': None}]",10015649.692265,-278029.2,5686489.670000001,1,0.8849765499331803,0.0,-0.0003118448534998208,4.807914984906234,0.011722330531372786,0.001564969226499846,0.0,0.0,,,2020-12,30.121799343099426,7,0.0,"[-0.027723949402570724, 0.11406783014535904, 0.09381605684757233, 0.16677485406398773, 0.6530652046203613]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10035317.91,10035317.91,1708092.9822650012,10311764.83,"[{'id': 'dc86ad7658724d418fe1c40f96164770', 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 449150, 'filled': 449150, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-1710368.7569999993,10311764.83,1.0002268279854023,-276446.92,4,8307556.71,1.055334125706862,"[{'sid': Equity(4 [VWO]), 'amount': -5651, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 3100, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 11109, 'cost_basis': 85.08252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 12183, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 449150, 'cost_basis': 14.516198031837916, 'last_sale_price': 14.6}]",0.001736526689170681,-2275.7747349988203,17392.443000001833,"[{'amount': 117090, 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'price': 14.6073, 'order_id': 'dc86ad7658724d418fe1c40f96164770', 'sid': Equity(0 [DBC]), 'commission': None}]",10033042.135265002,-276446.92,8307556.71,1,1.055334125706862,0.0,-0.0003118448534998208,7.548474009708623,0.01377968091529883,0.0033042135265000105,0.0,0.0,,,2020-12,59.42982715227879,8,0.0,"[-0.027723949402570724, 0.11406783014535904, 0.09381605684757233, 0.16677485406398773, 0.6530652046203613]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10010807.280000001,10010807.280000001,-2275.7747349988203,10287819.3,"[{'id': 'd307a7b73abb46aa85015cf5ba172fe8', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -29143, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0310cc73d42f4f739025ef4982252719', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1264, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b192331ee79d4cd0b16fa2eb0ff6623d', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -13432, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'db5d5e9255eb49e590d6b657b54291ae', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 45399, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1ace8f93fd344cb4aa614d078aad61e9', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -222504, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,10287819.3,1.0002273834811632,-277012.02,4,10035317.91,1.055582561182163,"[{'sid': Equity(4 [VWO]), 'amount': -5651, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 3100, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 11109, 'cost_basis': 85.08252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 12183, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 449150, 'cost_basis': 14.516198031837916, 'last_sale_price': 14.51}]",-0.0024429908366323527,-2275.7747349988203,-24510.629999998957,[],10008531.505265003,-277012.02,10035317.91,1,1.055582561182163,0.0,-0.002442990836632375,1.2110918236565822,0.019861858985381158,0.000853150526500146,0.0,0.0,,,2020-12,1.8458074117821963,9,0.0,"[-0.17041772603988647, 0.06826633960008621, -0.019590791314840317, 0.7931594848632812, 0.32858264446258545]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,11327132.620000001,11327132.620000001,-2275.7747349988203,13245517.500000002,"[{'id': 'd307a7b73abb46aa85015cf5ba172fe8', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -29143, 'filled': -29143, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0310cc73d42f4f739025ef4982252719', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1264, 'filled': -1264, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b192331ee79d4cd0b16fa2eb0ff6623d', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -13432, 'filled': -13432, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'db5d5e9255eb49e590d6b657b54291ae', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 45399, 'filled': 45399, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1ace8f93fd344cb4aa614d078aad61e9', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -222504, 'filled': -131500, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-1316428.888644999,13245517.500000002,1.1317594200703371,-1918384.8800000001,3,10010807.280000001,1.515113307077357,"[{'sid': Equity(4 [VWO]), 'amount': -34794, 'cost_basis': 49.38724292478589, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 1836, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -2323, 'cost_basis': 83.61816999999999, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 57582, 'cost_basis': 137.8513664903095, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 317650, 'cost_basis': 14.516198031837916, 'last_sale_price': 14.55}]",-1.0346037772723804e-05,-1318704.66338,-103.54864500276744,"[{'amount': -29143, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': 'd307a7b73abb46aa85015cf5ba172fe8', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -1264, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': '0310cc73d42f4f739025ef4982252719', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -13432, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.61816999999999, 'order_id': 'b192331ee79d4cd0b16fa2eb0ff6623d', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 45399, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': 'db5d5e9255eb49e590d6b657b54291ae', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '1ace8f93fd344cb4aa614d078aad61e9', 'sid': Equity(0 [DBC]), 'commission': None}]",10008427.95662,-1918384.8800000001,10010807.280000001,2,1.515113307077357,0.0,-0.0024533115991296844,1.141719109956163,0.01873347058785957,0.0008427956619998511,0.0,0.0,,,2020-12,1.729983040074511,10,0.0,"[-0.17041772603988647, 0.06826633960008621, -0.019590791314840317, 0.7931594848632812, 0.32858264446258545]"
