,period_open,period_close,ending_exposure,returns,starting_value,starting_cash,ending_cash,short_value,net_leverage,short_exposure,gross_leverage,positions,longs_count,ending_value,shorts_count,starting_exposure,portfolio_value,pnl,transactions,long_exposure,orders,long_value,capital_used,algorithm_period_return,treasury_period_return,sortino,alpha,beta,benchmark_period_return,benchmark_volatility,max_drawdown,max_leverage,period_label,sharpe,trading_days,algo_volatility,excess_return,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,[],0,0.0,0,0.0,10000000.0,0.0,[],0.0,[],0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,2020-12,,1,,0.0,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,[],0,0.0,0,0.0,10000000.0,0.0,[],0.0,[],0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2020-12,,2,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,[],0,0.0,0,0.0,10000000.0,0.0,[],0.0,[],0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2020-12,,3,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,[],0,0.0,0,0.0,10000000.0,0.0,[],0.0,[],0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2020-12,,4,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,[],0,0.0,0,0.0,10000000.0,0.0,[],0.0,"[{'id': 'cfe3121f211c46c28f3b674e5c907ec9', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -61789, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '82ad1affa2bc4243bff511055fad3700', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 21718, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '496e8ec82db24e6a8bb24240294ebd35', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -37974, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '22c3202988ed433db775fd6af82989ad', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 30346, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7d5a1494665a4cd7bc8d22748b24c577', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 281627, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2020-12,,5,0.0,0.0,"[-0.30313897132873535, 0.7989324331283569, -0.32069849967956543, 0.4154183268547058, 0.40948671102523804]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,8109060.079999999,-0.0010292963300002622,0.0,10000000.0,1880646.9566999977,-6238433.260000001,0.811741530578333,-6238433.260000001,2.0607137450950077,"[{'sid': Equity(4 [VWO]), 'amount': -61789, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 21718, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -37974, 'cost_basis': 84.99748000000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 30346, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.38}]",3,8109060.079999999,2,0.0,9989707.036699997,-10292.963300002739,"[{'amount': -61789, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': 'cfe3121f211c46c28f3b674e5c907ec9', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 21718, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '82ad1affa2bc4243bff511055fad3700', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -37974, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': '496e8ec82db24e6a8bb24240294ebd35', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 30346, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '22c3202988ed433db775fd6af82989ad', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '7d5a1494665a4cd7bc8d22748b24c577', 'sid': Equity(0 [DBC]), 'commission': None}]",14347493.34,"[{'id': 'cfe3121f211c46c28f3b674e5c907ec9', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -61789, 'filled': -61789, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '82ad1affa2bc4243bff511055fad3700', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 21718, 'filled': 21718, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '496e8ec82db24e6a8bb24240294ebd35', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -37974, 'filled': -37974, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '22c3202988ed433db775fd6af82989ad', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 30346, 'filled': 30346, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7d5a1494665a4cd7bc8d22748b24c577', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 281627, 'filled': 153420, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",14347493.34,-8119353.043300001,-0.0010292963300002622,0.0,-6.4807406984078595,,,0.0,0.0,-0.0010292963300003067,2.0607137450950077,2020-12,-6.48074069840786,6,0.006670602616554547,0.0,"[-0.30313897132873535, 0.7989324331283569, -0.32069849967956543, 0.4154183268547058, 0.40948671102523804]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,10001438.12,0.0024776275169102746,8109060.079999999,1880646.9566999977,13019.689739997732,-6248442.0600000005,0.9986999106704174,-6248442.0600000005,2.2465841553716746,"[{'sid': Equity(4 [VWO]), 'amount': -61789, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 21718, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -37974, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 30346, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 281627, 'cost_basis': 14.469173611763079, 'last_sale_price': 14.56}]",3,10001438.12,2,8109060.079999999,10014457.809739998,24750.77304000035,"[{'amount': 128207, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': '7d5a1494665a4cd7bc8d22748b24c577', 'sid': Equity(0 [DBC]), 'commission': None}]",16249880.18,"[{'id': '7d5a1494665a4cd7bc8d22748b24c577', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 281627, 'filled': 281627, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",16249880.18,-1867627.2669600006,0.0014457809739998329,0.0,8.442648504787595,,,0.0,0.0,-0.0010292963300003067,2.2465841553716746,2020-12,3.0631681063398744,7,0.01702156751398849,0.0,"[-0.30313897132873535, 0.7989324331283569, -0.32069849967956543, 0.4154183268547058, 0.40948671102523804]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10098487.62,0.009690939024737943,10001438.12,13019.689739997732,13019.689739997732,-6207977.0,0.9987123888317366,-6207977.0,2.226615768582075,"[{'sid': Equity(4 [VWO]), 'amount': -61789, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 21718, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -37974, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 30346, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 281627, 'cost_basis': 14.469173611763079, 'last_sale_price': 14.6}]",3,10098487.62,2,10001438.12,10111507.309739998,97049.5,[],16306464.62,[],16306464.62,0.0,0.01115073097399999,0.0,60.739553016777315,,,0.0,0.0,-0.0010292963300003067,2.2465841553716746,2020-12,6.32083074329853,8,0.055512799807039284,0.0,"[-0.30313897132873535, 0.7989324331283569, -0.32069849967956543, 0.4154183268547058, 0.40948671102523804]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10119552.49,0.0020832571598607963,10098487.62,13019.689739997732,13019.689739997732,-6233142.9,0.998715065680358,-6233142.9,2.2290330519589303,"[{'sid': Equity(4 [VWO]), 'amount': -61789, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 21718, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -37974, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 30346, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 281627, 'cost_basis': 14.469173611763079, 'last_sale_price': 14.51}]",3,10119552.49,2,10098487.62,10132572.179739999,21064.870000001043,[],16352695.39,"[{'id': '0555ab7bcadb494f822d20184c8b70d9', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 45348, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5e2266e8f80643e6ae39ee64e030b5fd', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1633, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c98b3de80c9940a099d12dd8670810d7', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 10462, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '82f46496da0649ce92e81217c99a9d22', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 7836, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1e48b1aafc134b7f9e10502572a9b6c3', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -329500, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",16352695.39,0.0,0.013257217974000035,0.0,67.97560257258043,,,0.0,0.0,-0.0010292963300003067,2.2465841553716746,2020-12,7.112165093707901,9,0.0520559859795418,0.0,"[-0.07953649759292603, 0.8577050566673279, -0.2291043996810913, 0.51949143409729, -0.06855572760105133]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,13008066.279999997,-0.001095702267209231,10119552.49,13019.689739997732,-2886596.382570002,-3116305.4699999997,1.2851953729865813,-3116305.4699999997,1.9009765789932862,"[{'sid': Equity(4 [VWO]), 'amount': -16441, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 23351, 'cost_basis': 367.71888382724507, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -27512, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 38182, 'cost_basis': 137.4720996351684, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 150127, 'cost_basis': 14.469173611763079, 'last_sale_price': 14.55}]",3,13008066.279999997,2,10119552.49,10121469.897429995,-11102.282310003415,"[{'amount': 45348, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '0555ab7bcadb494f822d20184c8b70d9', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 1633, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '5e2266e8f80643e6ae39ee64e030b5fd', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 10462, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': 'c98b3de80c9940a099d12dd8670810d7', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 7836, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': '82f46496da0649ce92e81217c99a9d22', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '1e48b1aafc134b7f9e10502572a9b6c3', 'sid': Equity(0 [DBC]), 'commission': None}]",16124371.749999998,"[{'id': '0555ab7bcadb494f822d20184c8b70d9', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 45348, 'filled': 45348, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5e2266e8f80643e6ae39ee64e030b5fd', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1633, 'filled': 1633, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c98b3de80c9940a099d12dd8670810d7', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 10462, 'filled': 10462, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '82f46496da0649ce92e81217c99a9d22', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 7836, 'filled': 7836, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1e48b1aafc134b7f9e10502572a9b6c3', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -329500, 'filled': -131500, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",16124371.749999998,-2899616.0723100007,0.01214698974299977,0.0,40.49410288876684,,,0.0,0.0,-0.0010957022672092923,2.2465841553716746,2020-12,6.022822140976202,10,0.05073966746406623,0.0,"[-0.07953649759292603, 0.8577050566673279, -0.2291043996810913, 0.51949143409729, -0.06855572760105133]"
