,period_open,period_close,ending_cash,portfolio_value,longs_count,starting_cash,orders,shorts_count,long_value,short_value,long_exposure,returns,short_exposure,pnl,gross_leverage,capital_used,transactions,positions,net_leverage,ending_exposure,starting_exposure,starting_value,ending_value,trading_days,period_label,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,10000000.0,10000000.0,0,10000000.0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,0.0,0.0,0.0,0.0,1,2020-12,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,10000000.0,10000000.0,0,10000000.0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,0.0,0.0,0.0,0.0,2,2020-12,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,10000000.0,10000000.0,0,10000000.0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,0.0,0.0,0.0,0.0,3,2020-12,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,10000000.0,10000000.0,0,10000000.0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,0.0,0.0,0.0,0.0,4,2020-12,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,10000000.0,10000000.0,0,10000000.0,"[{'id': '8914e70bd25040438122d7119cbbf52d', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -11543, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0a5e84595209487d8f183ad03eb36299', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -3889, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6e26ac91520d48d18f558aae10552dd7', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 19158, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'efb93b8c05ff42a29d81435160ab9d68', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 68106, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b3191b4212814a1e9fa07fc0a6d47ef2', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 72639, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,0.0,0.0,0.0,0.0,5,2020-12,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,[-0.05663447 -0.14308884  0.16179625  0.93230905  0.10561801]
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,-39321.7981100023,9992993.501889998,3,10000000.0,"[{'id': '8914e70bd25040438122d7119cbbf52d', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -11543, 'filled': -11543, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0a5e84595209487d8f183ad03eb36299', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -3889, 'filled': -3889, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6e26ac91520d48d18f558aae10552dd7', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 19158, 'filled': 19158, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'efb93b8c05ff42a29d81435160ab9d68', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 68106, 'filled': 68106, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b3191b4212814a1e9fa07fc0a6d47ef2', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 72639, 'filled': 72639, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",2,12022655.760000002,-1990340.46,12022655.760000002,-0.0007006498110001536,-1990340.46,-7006.498110001907,1.402282130709851,-10039321.798110003,"[{'amount': -11543, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '8914e70bd25040438122d7119cbbf52d', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -3889, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.05638, 'order_id': '0a5e84595209487d8f183ad03eb36299', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 19158, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': '6e26ac91520d48d18f558aae10552dd7', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 68106, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'efb93b8c05ff42a29d81435160ab9d68', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 72639, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'b3191b4212814a1e9fa07fc0a6d47ef2', 'sid': Equity(0 [DBC]), 'commission': None}]","[{'sid': Equity(4 [VWO]), 'amount': -11543, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': -3889, 'cost_basis': 367.05638, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 19158, 'cost_basis': 85.08252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 68106, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 72639, 'cost_basis': 14.38719, 'last_sale_price': 14.38}]",1.003934936823742,10032315.3,0.0,0.0,10032315.3,6,2020-12,-0.0007006498110001536,0.00454072974548047,0.0,0.0,,,-6.48074069840786,-6.48074069840786,-0.0007006498110001758,1.402282130709851,0.0,0.0,[-0.05663447 -0.14308884  0.16179625  0.93230905  0.10561801]
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,-39321.7981100023,9990519.931889998,3,-39321.7981100023,[],2,12027237.06,-1997395.33,12027237.06,-0.0002475304321505334,-1997395.33,-2473.570000000298,1.4037940453162014,0.0,[],"[{'sid': Equity(4 [VWO]), 'amount': -11543, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': -3889, 'cost_basis': 367.05638, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 19158, 'cost_basis': 85.08252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 68106, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 72639, 'cost_basis': 14.38719, 'last_sale_price': 14.56}]",1.003935911081513,10029841.73,10032315.3,10032315.3,10029841.73,7,2020-12,-0.0009480068110001572,0.004218690223729377,0.0,0.0,,,-8.091252721383606,-7.655987875126081,-0.0009480068110001127,1.4037940453162014,0.0,0.0,[-0.05663447 -0.14308884  0.16179625  0.93230905  0.10561801]
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,-39321.7981100023,10011419.701889997,3,-39321.7981100023,[],2,12050466.06,-1999724.56,12050466.06,0.0020919601925109,-1999724.56,20899.769999999553,1.4034164023058135,0.0,[],"[{'sid': Equity(4 [VWO]), 'amount': -11543, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': -3889, 'cost_basis': 367.05638, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 19158, 'cost_basis': 85.08252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 68106, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 72639, 'cost_basis': 14.38719, 'last_sale_price': 14.6}]",1.0039276945009687,10050741.5,10029841.73,10029841.73,10050741.5,8,2020-12,0.0011419701889998635,0.013097259046347148,0.0,0.0,,,2.7508861416996475,8.638868050158306,-0.0009480068110001127,1.4037940453162014,0.0,0.0,[-0.05663447 -0.14308884  0.16179625  0.93230905  0.10561801]
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,-39321.7981100023,10007108.301889997,3,-39321.7981100023,"[{'id': '9cdac0bc40bf44a3879bfe4a30f26e02', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4797, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c8ed6b1111f2470998e1ab3ab47ecd01', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 220, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'db73df262fd64a01919cdd0f10a7e6ed', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1279, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c0cf0fdfa6c146bf8616f4e01125a94a', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1504, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '713b2fefb3954db792216560f8939367', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -2831, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",2,12059637.09,-2013206.9900000002,12059637.09,-0.000430648212579432,-2013206.9900000002,-4311.4000000003725,1.4062847783252357,0.0,[],"[{'sid': Equity(4 [VWO]), 'amount': -11543, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': -3889, 'cost_basis': 367.05638, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 19158, 'cost_basis': 85.08252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 68106, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 72639, 'cost_basis': 14.38719, 'last_sale_price': 14.51}]",1.0039293866843209,10046430.1,10050741.5,10050741.5,10046430.1,9,2020-12,0.0007108301889997559,0.012621769298363025,0.0,0.0,,,1.5820039297067148,4.393662973650436,-0.0009480068110001127,1.4062847783252357,0.0,0.0,[-0.03304258 -0.13645076  0.15075362  0.9175204   0.10121932]
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,-3447.9963200023412,9996612.343680002,3,-39321.7981100023,"[{'id': '9cdac0bc40bf44a3879bfe4a30f26e02', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4797, 'filled': 4797, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c8ed6b1111f2470998e1ab3ab47ecd01', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 220, 'filled': 220, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'db73df262fd64a01919cdd0f10a7e6ed', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1279, 'filled': -1279, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c0cf0fdfa6c146bf8616f4e01125a94a', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1504, 'filled': -1504, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '713b2fefb3954db792216560f8939367', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -2831, 'filled': -2831, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",2,11697211.380000003,-1697151.04,11697211.380000003,-0.0010488502665663146,-1697151.04,-10495.95820999518,1.3398901507337238,35873.80179000087,"[{'amount': 4797, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '9cdac0bc40bf44a3879bfe4a30f26e02', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 220, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': 'c8ed6b1111f2470998e1ab3ab47ecd01', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -1279, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.61816999999999, 'order_id': 'db73df262fd64a01919cdd0f10a7e6ed', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -1504, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': 'c0cf0fdfa6c146bf8616f4e01125a94a', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -2831, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '713b2fefb3954db792216560f8939367', 'sid': Equity(0 [DBC]), 'commission': None}]","[{'sid': Equity(4 [VWO]), 'amount': -6746, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': -3669, 'cost_basis': 367.05638, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 17879, 'cost_basis': 85.08252, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 66602, 'cost_basis': 137.338635, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 69808, 'cost_basis': 14.38719, 'last_sale_price': 14.55}]",1.0003449164778488,10000060.340000004,10046430.1,10046430.1,10000060.340000004,10,2020-12,-0.00033876563199974896,0.013178660165231917,0.0,0.0,,,-0.6419550124613573,-1.243183321546035,-0.0014790467936531956,1.4062847783252357,0.0,0.0,[-0.03304258 -0.13645076  0.15075362  0.9175204   0.10121932]
