,period_open,period_close,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,returns,long_exposure,pnl,capital_used,short_exposure,orders,transactions,positions,gross_leverage,starting_exposure,net_leverage,ending_exposure,starting_value,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020-12,0.0,,0.0,,,,,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2020-12,0.0,0.0,0.0,0.0,,,,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2020-12,0.0,0.0,0.0,0.0,,,,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2020-12,0.0,0.0,0.0,0.0,,,,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '31358613f0a2471abb849dee1cc78d63', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 18289, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '65417aa7582045b1b8a69481862ba877', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5435, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'cf0badb42659425ab90d4ef7eb14ccab', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 56477, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0e324e36cee640df849dddd52964afa6', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 39379, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e3155338beb4410088877d8f5f5159b5', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 64776, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2020-12,0.0,0.0,0.0,0.0,,,,,"[0.089727021753788, -0.19993223249912262, 0.476954847574234, 0.5390657782554626, 0.09418467432260513]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,10034563.190000001,10000000.0,-55607.90026659622,9978955.289733404,4,1,12030512.590000002,-1995949.4000000001,-0.00210447102665956,12030512.590000002,-21044.710266595706,-10055607.900266597,-1995949.4000000001,"[{'id': '31358613f0a2471abb849dee1cc78d63', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 18289, 'filled': 18289, 'commission': 891.11963715, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '65417aa7582045b1b8a69481862ba877', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5435, 'filled': -5435, 'commission': 1994.9514253, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'cf0badb42659425ab90d4ef7eb14ccab', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 56477, 'filled': 56477, 'commission': 4805.205482040001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0e324e36cee640df849dddd52964afa6', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 39379, 'filled': 39379, 'commission': 5408.258107665, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e3155338beb4410088877d8f5f5159b5', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 64776, 'filled': 64776, 'commission': 931.9446194400001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 18289, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.72435, 'order_id': '31358613f0a2471abb849dee1cc78d63', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -5435, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.05638, 'order_id': '65417aa7582045b1b8a69481862ba877', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 56477, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'cf0badb42659425ab90d4ef7eb14ccab', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 39379, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '0e324e36cee640df849dddd52964afa6', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 64776, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'e3155338beb4410088877d8f5f5159b5', 'sid': Equity(0 [DBC]), 'commission': None}]","[{'sid': Equity(4 [VWO]), 'amount': 18289, 'cost_basis': 48.773074349999995, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': -5435, 'cost_basis': 366.68932362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 56477, 'cost_basis': 85.16760252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 39379, 'cost_basis': 137.475973635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 64776, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.38}]",1.4056042524241763,0.0,1.005572517227711,10034563.190000001,0.0,-0.0021044710266595245,1.4056042524241763,0.0,0.0,6,2020-12,-0.00210447102665956,0.013638531031092783,0.0,0.0,,,-6.480740698407861,-6.48074069840786,"[0.089727021753788, -0.19993223249912262, 0.476954847574234, 0.5390657782554626, 0.09418467432260513]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,10023692.840000002,-55607.90026659622,-55607.90026659622,9968084.939733405,4,1,12021435.790000001,-1997742.95,-0.0010893274580739964,12021435.790000001,-10870.349999999627,0.0,-1997742.95,[],[],"[{'sid': Equity(4 [VWO]), 'amount': 18289, 'cost_basis': 48.773074349999995, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': -5435, 'cost_basis': 366.68932362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 56477, 'cost_basis': 85.16760252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 39379, 'cost_basis': 137.475973635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 64776, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.56}]",1.4064064285927866,10034563.190000001,1.005578594143489,10023692.840000002,10034563.190000001,-0.0031915060266595676,1.4064064285927866,0.0,0.0,7,2020-12,-0.0031915060266595185,0.013215372759704842,0.0,0.0,,,-8.70022719305997,-8.086622147931173,"[0.089727021753788, -0.19993223249912262, 0.476954847574234, 0.5390657782554626, 0.09418467432260513]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,9997448.069999998,-55607.90026659622,-55607.90026659622,9941840.169733401,4,1,12002963.069999998,-2005515.0,-0.002632879851915182,12002963.069999998,-26244.77000000328,0.0,-2005515.0,[],[],"[{'sid': Equity(4 [VWO]), 'amount': 18289, 'cost_basis': 48.773074349999995, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': -5435, 'cost_basis': 366.68932362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 56477, 'cost_basis': 85.16760252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 39379, 'cost_basis': 137.475973635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 64776, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.6}]",1.4090427758682875,10023692.840000002,1.0055933206848253,9997448.069999998,10023692.840000002,-0.0058159830266598074,1.4090427758682875,0.0,0.0,8,2020-12,-0.0058159830266598656,0.017289701831395644,0.0,0.0,,,-10.615588943885198,-9.232044936974292,"[0.089727021753788, -0.19993223249912262, 0.476954847574234, 0.5390657782554626, 0.09418467432260513]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10008000.79,-55607.90026659622,-55607.90026659622,9952392.889733402,4,1,12030744.74,-2022743.9500000002,0.0010614453481285757,12030744.74,10552.72000000067,0.0,-2022743.9500000002,"[{'id': '9db39e624680459eb8a50196c97473e3', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -33833, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f4d2bddae38642d985c7f2aaa947f071', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 19886, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'aa804f5ceea64d2795076305feb43765', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -73477, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3784881f56f745469ddca411c4b9ce09', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1593, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '86e4f3c7528444478ede6c661aa78fb3', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12547, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],"[{'sid': Equity(4 [VWO]), 'amount': 18289, 'cost_basis': 48.773074349999995, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': -5435, 'cost_basis': 366.68932362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 56477, 'cost_basis': 85.16760252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 39379, 'cost_basis': 137.475973635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 64776, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.51}]",1.4120713325633647,9997448.069999998,1.0055873899757275,10008000.79,9997448.069999998,-0.0058159830266598074,1.4120713325633647,0.0,0.0,9,2020-12,-0.0047607110266597585,0.018741927018034607,0.0,0.0,,,-7.119146475715841,-7.118438622282603,"[-0.07656539231538773, 0.5404166579246521, -0.14413413405418396, 0.5675502419471741, 0.11273261159658432]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,9951451.149999999,-55607.90026659622,-44634.82798059644,9906816.322019402,3,2,12143876.35,-2192425.2,-0.004579458248781143,12143876.35,-45576.56771400012,10973.072285998613,-2192425.2,"[{'id': '9db39e624680459eb8a50196c97473e3', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -33833, 'filled': -33833, 'commission': 1675.5869374250003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f4d2bddae38642d985c7f2aaa947f071', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 19886, 'filled': 19886, 'commission': 7390.546986779999, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'aa804f5ceea64d2795076305feb43765', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -73477, 'filled': -73477, 'commission': 6144.01227709, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3784881f56f745469ddca411c4b9ce09', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1593, 'filled': 1593, 'commission': 219.81641328000003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '86e4f3c7528444478ede6c661aa78fb3', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12547, 'filled': 12547, 'commission': 182.65012942500002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -33833, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': '9db39e624680459eb8a50196c97473e3', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 19886, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': 'f4d2bddae38642d985c7f2aaa947f071', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -73477, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.61816999999999, 'order_id': 'aa804f5ceea64d2795076305feb43765', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 1593, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': '3784881f56f745469ddca411c4b9ce09', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 12547, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.557275, 'order_id': '86e4f3c7528444478ede6c661aa78fb3', 'sid': Equity(0 [DBC]), 'commission': None}]","[{'sid': Equity(4 [VWO]), 'amount': -15544, 'cost_basis': 49.41742861956865, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 14451, 'cost_basis': 372.1571511464106, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -17000, 'cost_basis': 83.25675751311235, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 40972, 'cost_basis': 137.50128369291087, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 77323, 'cost_basis': 14.429204035201234, 'last_sale_price': 14.55}]",1.447114903920788,10008000.79,1.0045054663909927,9951451.149999999,10008000.79,-0.009318367798059769,1.447114903920788,0.0,0.0,10,2020-12,-0.009318367798059835,0.026936434287002275,0.0,0.0,,,-8.742293678180815,-8.102521165959757,"[-0.07656539231538773, 0.5404166579246521, -0.14413413405418396, 0.5675502419471741, 0.11273261159658432]"
