,period_open,period_close,long_exposure,starting_cash,net_leverage,returns,ending_cash,longs_count,shorts_count,long_value,short_value,portfolio_value,starting_exposure,positions,orders,gross_leverage,pnl,ending_exposure,starting_value,ending_value,short_exposure,capital_used,transactions,algorithm_period_return,benchmark_period_return,benchmark_volatility,max_drawdown,treasury_period_return,excess_return,sharpe,algo_volatility,max_leverage,trading_days,period_label,alpha,beta,sortino,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,10000000.0,0.0,0.0,10000000.0,0,0,0.0,0.0,10000000.0,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,0.0,,0.0,0.0,0.0,,,0.0,1,2020-12,,,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,10000000.0,0.0,0.0,10000000.0,0,0,0.0,0.0,10000000.0,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2,2020-12,,,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,10000000.0,0.0,0.0,10000000.0,0,0,0.0,0.0,10000000.0,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3,2020-12,,,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,10000000.0,0.0,0.0,10000000.0,0,0,0.0,0.0,10000000.0,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,2020-12,,,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,10000000.0,0.0,0.0,10000000.0,0,0,0.0,0.0,10000000.0,0.0,[],"[{'id': '04e84072142f4734a4c3bc19aa648701', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -31276, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '89acee2fa6cf45b0a4565ca074724020', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 7168, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '29b51f19302d454d9ddea3c0dfaa472b', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -39679, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a56a8e6defcc410ca73ea38e5e9709c3', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 41024, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e7074ea417f2446cbcd2aed9ec140afb', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5,2020-12,,,,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,10469920.4,10000000.0,0.5576762046548615,-0.0007683681880000792,4419839.27812,3,2,10469920.4,-4897443.36,9992316.318119999,0.0,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.99748000000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.38}]","[{'id': '04e84072142f4734a4c3bc19aa648701', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -31276, 'filled': -31276, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '89acee2fa6cf45b0a4565ca074724020', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 7168, 'filled': 7168, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '29b51f19302d454d9ddea3c0dfaa472b', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -39679, 'filled': -39679, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a56a8e6defcc410ca73ea38e5e9709c3', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 41024, 'filled': 41024, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e7074ea417f2446cbcd2aed9ec140afb', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 153420, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",1.5379180633156027,-7683.681880000979,5572477.04,0.0,5572477.04,-4897443.36,-5580160.72188,"[{'amount': -31276, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '04e84072142f4734a4c3bc19aa648701', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 7168, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '89acee2fa6cf45b0a4565ca074724020', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -39679, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': '29b51f19302d454d9ddea3c0dfaa472b', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 41024, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'a56a8e6defcc410ca73ea38e5e9709c3', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'e7074ea417f2446cbcd2aed9ec140afb', 'sid': Equity(0 [DBC]), 'commission': None}]",-0.0007683681880000792,0.0,0.0,-0.0007683681880000392,0.0,0.0,-6.4807406984078595,0.004979594987334016,1.5379180633156027,6,2020-12,,,-6.48074069840786,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,13102130.56,4419839.27812,0.8187609172379952,0.003612446769178268,1817540.37892,3,2,13102130.56,-4891257.91,10028413.02892,5572477.04,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 332060, 'cost_basis': 14.484073929410346, 'last_sale_price': 14.56}]","[{'id': 'e7074ea417f2446cbcd2aed9ec140afb', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 332060, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",1.794240865240647,36096.7108000014,8210872.65,5572477.04,8210872.65,-4891257.91,-2602298.8992,"[{'amount': 178640, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': 'e7074ea417f2446cbcd2aed9ec140afb', 'sid': Equity(0 [DBC]), 'commission': None}]",0.0028413028920000194,0.0,0.0,-0.0007683681880000392,0.0,0.0,4.471278974171392,0.022898778965450017,1.794240865240647,7,2020-12,,,22.208716802142483,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,14956848.280000001,1817540.37892,0.9995317732592905,0.007465731405765785,4730.627020000014,3,2,14956848.280000001,-4858296.44,10103282.46702,8210872.65,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 456163, 'cost_basis': 14.517598623518348, 'last_sale_price': 14.6}]","[{'id': 'e7074ea417f2446cbcd2aed9ec140afb', 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 456163, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",1.9612581143487076,74869.43809999898,10098551.84,8210872.65,10098551.84,-4858296.44,-1812809.7519000005,"[{'amount': 124103, 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'price': 14.6073, 'order_id': 'e7074ea417f2446cbcd2aed9ec140afb', 'sid': Equity(0 [DBC]), 'commission': None}]",0.010328246701999833,0.0,0.0,-0.0007683681880000392,0.0,0.0,7.2271024190234865,0.044936268473778754,1.9612581143487076,8,2020-12,,,75.30721071552358,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,14942208.330000002,4730.627020000014,0.9995300238857294,-0.003722260574497205,4730.627020000014,3,2,14942208.330000002,-4881263.54,10065675.417020002,10098551.84,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 456163, 'cost_basis': 14.517598623518348, 'last_sale_price': 14.51}]","[{'id': '6b3565051fd34f0e996e73ea8ec3c4b9', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4992, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f5b9fc8314f9471ea6647f9f0fd49e8c', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1704, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0948dbb40568474ba797ed4d6cdf6fd4', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 28456, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a4aad5ce6180474586ea0cf9c572f558', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 21389, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd985f8affba1429fa2b3b86cf2ac59f6', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -341536, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",1.969412985091948,-37607.04999999702,10060944.790000003,10098551.84,10060944.790000003,-4881263.54,0.0,[],0.006567541702000135,0.0,0.0,-0.0037222605744971545,0.0,0.0,3.7114085966771757,0.04969848475149001,1.969412985091948,9,2020-12,,,9.171384617397317,"[-0.12799985706806183, 0.20202507078647614, -0.09407906234264374, 0.8548164963722229, 0.16523735225200653]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,15361505.05,4730.627020000014,1.3004187362393476,0.002339550589936623,-3030992.09612,3,2,15361505.05,-2241288.38,10089224.573880002,10060944.790000003,"[{'sid': Equity(4 [VWO]), 'amount': -26284, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5464, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -11223, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 62413, 'cost_basis': 137.56150205373882, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 324663, 'cost_basis': 14.517598623518348, 'last_sale_price': 14.55}]","[{'id': '6b3565051fd34f0e996e73ea8ec3c4b9', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4992, 'filled': 4992, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f5b9fc8314f9471ea6647f9f0fd49e8c', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1704, 'filled': -1704, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0948dbb40568474ba797ed4d6cdf6fd4', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 28456, 'filled': 28456, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a4aad5ce6180474586ea0cf9c572f558', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 21389, 'filled': 21389, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd985f8affba1429fa2b3b86cf2ac59f6', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -341536, 'filled': -131500, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",1.744712222540063,23549.156859999523,13120216.670000002,10060944.790000003,13120216.670000002,-2241288.38,-3035722.7231399994,"[{'amount': 4992, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '6b3565051fd34f0e996e73ea8ec3c4b9', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -1704, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': 'f5b9fc8314f9471ea6647f9f0fd49e8c', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 28456, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '0948dbb40568474ba797ed4d6cdf6fd4', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 21389, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': 'a4aad5ce6180474586ea0cf9c572f558', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': 'd985f8affba1429fa2b3b86cf2ac59f6', 'sid': Equity(0 [DBC]), 'commission': None}]",0.008922457388000016,0.0,0.0,-0.0037222605744971545,0.0,0.0,4.731473201167556,0.047546062398609555,1.969412985091948,10,2020-12,,,11.790783782197485,"[-0.12799985706806183, 0.20202507078647614, -0.09407906234264374, 0.8548164963722229, 0.16523735225200653]"
