,period_open,period_close,pnl,long_value,positions,shorts_count,transactions,returns,ending_cash,starting_exposure,starting_value,orders,longs_count,long_exposure,portfolio_value,short_value,starting_cash,short_exposure,ending_exposure,ending_value,capital_used,gross_leverage,net_leverage,period_label,max_leverage,benchmark_period_return,benchmark_volatility,treasury_period_return,algorithm_period_return,trading_days,algo_volatility,sharpe,max_drawdown,alpha,beta,excess_return,sortino,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,[],0,[],0.0,10000000.0,0.0,0.0,[],0,0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12,0.0,0.0,,0.0,0.0,1,,,0.0,,,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,[],0,[],0.0,10000000.0,0.0,0.0,[],0,0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12,0.0,0.0,0.0,0.0,0.0,2,0.0,,0.0,,,0.0,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,[],0,[],0.0,10000000.0,0.0,0.0,[],0,0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12,0.0,0.0,0.0,0.0,0.0,3,0.0,,0.0,,,0.0,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,[],0,[],0.0,10000000.0,0.0,0.0,[],0,0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12,0.0,0.0,0.0,0.0,0.0,4,0.0,,0.0,,,0.0,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,[],0,[],0.0,10000000.0,0.0,0.0,"[{'id': 'ad3eed778e334b7d98b701944235b5f2', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27184, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}]",0,0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12,0.0,0.0,0.0,0.0,0.0,5,0.0,,0.0,,,0.0,,"[0, 1, 0, 0, 0]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,-4991.526080001146,9983052.16,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 367.24}]",0,"[{'amount': 27184, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'ad3eed778e334b7d98b701944235b5f2', 'sid': Equity(2 [SPY]), 'commission': None}]",-0.0004991526080001529,11956.313919998705,0.0,0.0,"[{'id': 'ad3eed778e334b7d98b701944235b5f2', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27184, 'filled': 27184, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}]",1,9983052.16,9995008.473919999,0.0,10000000.0,0.0,9983052.16,9983052.16,-9988043.686080001,0.9988037715074283,0.9988037715074283,2020-12,0.9988037715074283,0.0,0.0,0.0,-0.0004991526080001529,6,0.0032348786213830163,-6.4807406984078595,-0.0004991526080002018,,,0.0,-6.48074069840786,"[0, 1, 0, 0, 0]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,8970.719999998808,9992022.879999999,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 367.57}]",0,[],0.0008975199994483152,11956.313919998705,9983052.16,9983052.16,[],1,9992022.879999999,10003979.193919998,0.0,11956.313919998705,0.0,9992022.879999999,9992022.879999999,0.0,0.9988048441836759,0.9988048441836759,2020-12,0.9988048441836759,0.0,0.0,0.0,0.0003979193919996238,7,0.006583694289597077,2.178294656663277,-0.0004991526080002018,,,0.0,4.788524211593904,"[0, 1, 0, 0, 0]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,38873.12000000104,10030896.0,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 369.0}]",0,[],0.003885765778444128,11956.313919998705,9992022.879999999,9992022.879999999,[],1,10030896.0,10042852.313919999,0.0,11956.313919998705,0.0,10030896.0,10030896.0,0.0,0.9988094703032299,0.9988094703032299,2020-12,0.9988094703032299,0.0,0.0,0.0,0.004285231391999655,8,0.02233712772933461,6.041519594051546,-0.0004991526080002018,,,0.0,48.17091485890574,"[0, 1, 0, 0, 0]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,86173.28000000119,10117069.280000001,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 372.17}]",0,[],0.008580558322117238,11956.313919998705,10030896.0,10030896.0,"[{'id': '024c325abadc42ab8f737bbd20e31bcc', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 32, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}]",1,10117069.280000001,10129025.59392,0.0,11956.313919998705,0.0,10117069.280000001,10117069.280000001,0.0,0.9988195988045311,0.9988195988045311,2020-12,0.9988195988045311,0.0,0.0,0.0,0.012902559391999802,9,0.04742166531938159,7.595923916848312,-0.0004991526080002018,,,0.0,136.3782291664006,"[0, 1, 0, 0, 0]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,-19306.583360001445,10109655.36,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 371.46}]",0,"[{'amount': 32, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '024c325abadc42ab8f737bbd20e31bcc', 'sid': Equity(2 [SPY]), 'commission': None}]",-0.0019060652163412906,63.65055999870674,10117069.280000001,10117069.280000001,"[{'id': '024c325abadc42ab8f737bbd20e31bcc', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 32, 'filled': 32, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}]",1,10109655.36,10109719.010559998,0.0,11956.313919998705,0.0,10109655.36,10109655.36,-11892.663359999657,0.9999937040228386,0.9999937040228386,2020-12,0.9999937040228386,0.0,0.0,0.0,0.010971901055999655,10,0.04774207851886838,5.7843602690590465,-0.0019060652163412953,,,0.0,27.919993462551794,"[0, 1, 0, 0, 0]"
