,period_open,period_close,ending_cash,returns,portfolio_value,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,starting_value,ending_value,starting_cash,treasury_period_return,trading_days,period_label,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,1,2020-12,0.0,,0.0,,,,,,0.0,0.0,0.0,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,2,2020-12,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,3,2020-12,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,4,2020-12,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '3c0b71f4911549dabfd9ae92bf3a2a45', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6550, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '57e9041da3c645dfb63eade64f10a080', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5686, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '9db30cb377ce42449dd92741f38d93ce', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5141, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a417f6d7384640b8a38cdc4ac799b067', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47847, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b7374cc7fc4a497dafdba186b2d2f6f6', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 145371, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,5,2020-12,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,3904.982524998486,-0.00057513474750015,9994248.652524998,3,2,10746519.31,-756175.64,10746519.31,-5751.3474750015885,-756175.64,-9996095.017475002,"[{'id': '3c0b71f4911549dabfd9ae92bf3a2a45', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6550, 'filled': -6550, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '57e9041da3c645dfb63eade64f10a080', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5686, 'filled': 5686, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9db30cb377ce42449dd92741f38d93ce', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5141, 'filled': -5141, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a417f6d7384640b8a38cdc4ac799b067', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47847, 'filled': 47847, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b7374cc7fc4a497dafdba186b2d2f6f6', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 145371, 'filled': 145371, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -6550, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '3c0b71f4911549dabfd9ae92bf3a2a45', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 5686, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '57e9041da3c645dfb63eade64f10a080', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -5141, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': '9db30cb377ce42449dd92741f38d93ce', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 47847, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'a417f6d7384640b8a38cdc4ac799b067', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 145371, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'b7374cc7fc4a497dafdba186b2d2f6f6', 'sid': Equity(0 [DBC]), 'commission': None}]",1.1509314356606388,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.99748000000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.38719, 'last_sale_price': 14.38}]",0.9996092770291429,0.0,9990343.67,0.0,9990343.67,10000000.0,0.0,6,2020-12,-0.00057513474750015,0.0037272991651927504,0.0,0.0,,,-6.480740698407861,-6.4807406984078595,-0.0005751347475001011,1.1509314356606388,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,3904.982524998486,0.002904782641431236,10023279.772525,3,2,10775997.88,-756623.09,10775997.88,29031.120000001043,-756623.09,0.0,[],[],1.150583564634431,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.38719, 'last_sale_price': 14.56}]",0.9996104087071677,9990343.67,10019374.790000001,9990343.67,10019374.790000001,3904.982524998486,0.0,7,2020-12,0.002327977252500002,0.018322532995058052,0.0,0.0,,,4.577277836210735,24.303673920489164,-0.0005751347475001011,1.1509314356606388,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,3904.982524998486,0.004130775648255591,10064683.692525,3,2,10812431.790000001,-751653.08,10812431.790000001,41403.919999999925,-751653.08,0.0,[],[],1.14897648284651,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.38719, 'last_sale_price': 14.6}]",0.9996120114010241,10019374.790000001,10060778.71,10019374.790000001,10060778.71,3904.982524998486,0.0,8,2020-12,0.006468369252499828,0.027242058678754684,0.0,0.0,,,7.4701895322465806,63.04442108578585,-0.0005751347475001011,1.1509314356606388,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,3904.982524998486,0.0005983258077422171,10070705.652524998,3,2,10821679.25,-754878.58,10821679.25,6021.959999999031,-754878.58,0.0,"[{'id': 'cb198e483677441095acc82b0162a0a9', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -28305, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7c40450c7a2b44788ab0b203bee1df1b', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1473, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c2c92b19fd314c68bf4c66dd1cf72b9e', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 3313, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'fee4a152db2048d7845d7ccdc49353fd', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12203, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '66dff0ae3941455b85fdfd52dee85db9', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -77113, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],1.1495279704751815,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.38719, 'last_sale_price': 14.51}]",0.9996122434058016,10060778.71,10066800.67,10060778.71,10066800.67,3904.982524998486,0.0,9,2020-12,0.0070705652524998275,0.02550665146109065,0.0,0.0,,,7.748762400251102,64.94372120003348,-0.0005751347475001011,1.1509314356606388,0.0,"[-0.16966266930103302, 0.2645837366580963, -0.015309475362300873, 0.8220419883728027, 0.09834641963243484]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,18532.027114998316,0.00023460963625798748,10073068.337115,3,2,11934532.040000001,-1879995.7300000002,11934532.040000001,2362.684590000659,-1879995.7300000002,14627.044590000063,"[{'id': 'cb198e483677441095acc82b0162a0a9', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -28305, 'filled': -28305, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7c40450c7a2b44788ab0b203bee1df1b', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1473, 'filled': 1473, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c2c92b19fd314c68bf4c66dd1cf72b9e', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 3313, 'filled': 3313, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'fee4a152db2048d7845d7ccdc49353fd', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12203, 'filled': 12203, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '66dff0ae3941455b85fdfd52dee85db9', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -77113, 'filled': -77113, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -28305, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': 'cb198e483677441095acc82b0162a0a9', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 1473, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '7c40450c7a2b44788ab0b203bee1df1b', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 3313, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': 'c2c92b19fd314c68bf4c66dd1cf72b9e', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 12203, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': 'fee4a152db2048d7845d7ccdc49353fd', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -77113, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '66dff0ae3941455b85fdfd52dee85db9', 'sid': Equity(0 [DBC]), 'commission': None}]",1.3714319517816935,"[{'sid': Equity(4 [VWO]), 'amount': -34855, 'cost_basis': 49.3655716862717, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 7159, 'cost_basis': 368.2923402165107, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -1828, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 60050, 'cost_basis': 137.4707901369692, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 68258, 'cost_basis': 14.38719, 'last_sale_price': 14.55}]",0.9981602401080993,10066800.67,10054536.31,10066800.67,10054536.31,3904.982524998486,0.0,10,2020-12,0.007306833711499872,0.024205704770588206,0.0,0.0,,,7.5929475383518525,63.6587716123418,-0.0005751347475001011,1.3714319517816935,0.0,"[-0.16966266930103302, 0.2645837366580963, -0.015309475362300873, 0.8220419883728027, 0.09834641963243484]"
