,period_open,period_close,long_value,short_value,longs_count,long_exposure,shorts_count,transactions,ending_exposure,starting_value,returns,starting_exposure,starting_cash,capital_used,ending_value,positions,portfolio_value,ending_cash,gross_leverage,net_leverage,orders,short_exposure,pnl,max_drawdown,algo_volatility,alpha,beta,benchmark_period_return,benchmark_volatility,excess_return,algorithm_period_return,sharpe,trading_days,period_label,max_leverage,treasury_period_return,sortino,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,0,0.0,0,[],0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,[],10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,,,,0.0,,0.0,0.0,,1,2020-12,0.0,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,0,0.0,0,[],0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,[],10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,2,2020-12,0.0,0.0,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,0,0.0,0,[],0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,[],10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,3,2020-12,0.0,0.0,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,0,0.0,0,[],0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,[],10000000.0,10000000.0,0.0,0.0,[],0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,4,2020-12,0.0,0.0,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,0,0.0,0,[],0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,[],10000000.0,10000000.0,0.0,0.0,"[{'id': '9f2410958f474a9a82386680436a6b18', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6550, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f9ed9e48b626423aab08c707ddc1b139', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5686, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ba27e57ceefe4fd8adb426ca2e52946e', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5141, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '379b434ba04d4ec7b483f9b3ae3d4999', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47847, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4c1ae6c1081e4ac0b3c060752bcdc264', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 145371, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,5,2020-12,0.0,0.0,,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,10746519.31,-756175.64,3,10746519.31,2,"[{'amount': -6550, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '9f2410958f474a9a82386680436a6b18', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 5686, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'f9ed9e48b626423aab08c707ddc1b139', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -5141, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': 'ba27e57ceefe4fd8adb426ca2e52946e', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 47847, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '379b434ba04d4ec7b483f9b3ae3d4999', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 145371, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '4c1ae6c1081e4ac0b3c060752bcdc264', 'sid': Equity(0 [DBC]), 'commission': None}]",9990343.67,0.0,-0.0006902116487184085,0.0,10000000.0,-9997245.786487188,9990343.67,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.67078243500001, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.460362362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.988980252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.3523688635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.388628719000002, 'last_sale_price': 14.38}]",9993097.883512815,2754.2135128149857,1.1510639727624208,0.9997243884183943,"[{'id': '9f2410958f474a9a82386680436a6b18', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6550, 'filled': -6550, 'commission': 31.882550750000004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f9ed9e48b626423aab08c707ddc1b139', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5686, 'filled': 5686, 'commission': 208.91707033200004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ba27e57ceefe4fd8adb426ca2e52946e', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5141, 'filled': -5141, 'commission': 43.69720446800001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '379b434ba04d4ec7b483f9b3ae3d4999', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47847, 'filled': 47847, 'commission': 657.1241668845001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4c1ae6c1081e4ac0b3c060752bcdc264', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 145371, 'filled': 145371, 'commission': 209.14801974900004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-756175.64,-6902.116487184539,-0.0006902116487184173,0.004473082722364579,,,0.0,0.0,0.0,-0.0006902116487184085,-6.48074069840786,6,2020-12,1.1510639727624208,0.0,-6.4807406984078595,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,10775997.88,-756623.09,3,10775997.88,2,[],10019374.790000001,9990343.67,0.0029051171456948577,9990343.67,2754.2135128149857,0.0,10019374.790000001,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.67078243500001, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.460362362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.988980252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.3523688635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.388628719000002, 'last_sale_price': 14.56}]",10022129.003512817,2754.2135128149857,1.1507156778722114,0.9997251867829829,[],-756623.09,29031.120000001043,-0.0006902116487184173,0.018575286467420297,,,0.0,0.0,0.0,0.0022129003512816325,4.292617399521907,7,2020-12,1.1510639727624208,0.0,19.25414183683315,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10812431.790000001,-751653.08,3,10812431.790000001,2,[],10060778.71,10019374.790000001,0.004131249955522165,10019374.790000001,2754.2135128149857,0.0,10060778.71,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.67078243500001, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.460362362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.988980252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.3523688635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.388628719000002, 'last_sale_price': 14.6}]",10063532.923512816,2754.2135128149857,1.149107868766568,0.9997263174340713,[],-751653.08,41403.919999999925,-0.0006902116487184173,0.02746212048269112,,,0.0,0.0,0.0,0.006353292351281681,7.27925933030926,8,2020-12,1.1510639727624208,0.0,51.60403943604986,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10821679.25,-754878.58,3,10821679.25,2,[],10066800.67,10060778.71,0.000598394226537291,10060778.71,2754.2135128149857,0.0,10066800.67,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.67078243500001, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.460362362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.988980252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.3523688635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.388628719000002, 'last_sale_price': 14.51}]",10069554.883512815,2754.2135128149857,1.149659340846798,0.9997264811061981,"[{'id': '739185b2d6d44bb3a6996714484d8904', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -28301, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'dcde570c9cfe4c3cafb0c91ea6433c0a', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1472, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7474d46b6189408f8b6d8c96fc98814c', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 3314, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd758d0fbd1214440a3902c9acad54a9c', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12196, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7feb4c92d26b4620baa40aafa2c298a7', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -77121, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-754878.58,6021.959999999031,-0.0006902116487184173,0.02570914995492951,,,0.0,0.0,0.0,0.006955488351281458,7.563353566877528,9,2020-12,1.1510639727624208,0.0,53.24033998029043,"[-0.16966266930103302, 0.2645837366580963, -0.015309475362300873, 0.8220419883728027, 0.09834641963243484]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,11933078.74,-1879713.87,3,11933078.74,2,"[{'amount': -28301, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': '739185b2d6d44bb3a6996714484d8904', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 1472, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': 'dcde570c9cfe4c3cafb0c91ea6433c0a', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 3314, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '7474d46b6189408f8b6d8c96fc98814c', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 12196, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': 'd758d0fbd1214440a3902c9acad54a9c', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -77121, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '7feb4c92d26b4620baa40aafa2c298a7', 'sid': Equity(0 [DBC]), 'commission': None}]",10053364.870000001,10066800.67,0.00018474495340070618,10066800.67,2754.2135128149857,15296.099447721615,10053364.870000001,"[{'sid': Equity(4 [VWO]), 'amount': -34851, 'cost_basis': 49.360616806834166, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 7158, 'cost_basis': 368.328700922295, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -1827, 'cost_basis': 84.97379755552382, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 60043, 'cost_basis': 137.48447680008493, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 68250, 'cost_basis': 14.390272014962967, 'last_sale_price': 14.55}]",10071415.182960536,18050.312960536212,1.3714847773696555,0.9982077679618377,"[{'id': '739185b2d6d44bb3a6996714484d8904', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -28301, 'filled': -28301, 'commission': 140.16133927250002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'dcde570c9cfe4c3cafb0c91ea6433c0a', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1472, 'filled': 1472, 'commission': 54.706251456, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7474d46b6189408f8b6d8c96fc98814c', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 3314, 'filled': 3314, 'commission': 27.738786462, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd758d0fbd1214440a3902c9acad54a9c', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12196, 'filled': 12196, 'commission': 168.29133561600003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7feb4c92d26b4620baa40aafa2c298a7', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -77121, 'filled': -77121, 'commission': 112.15494947250001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-1879713.87,1860.2994477208704,-0.0006902116487184173,0.024417200714621626,,,0.0,0.0,0.0,0.007141518296053473,7.357855097198707,10,2020-12,1.3714847773696555,0.0,51.851884975449025,"[-0.16966266930103302, 0.2645837366580963, -0.015309475362300873, 0.8220419883728027, 0.09834641963243484]"
