,period_open,period_close,starting_cash,longs_count,returns,net_leverage,gross_leverage,orders,long_exposure,starting_exposure,capital_used,positions,shorts_count,starting_value,pnl,short_exposure,ending_value,ending_exposure,ending_cash,portfolio_value,long_value,transactions,short_value,algo_volatility,trading_days,algorithm_period_return,alpha,beta,max_leverage,sortino,benchmark_period_return,benchmark_volatility,max_drawdown,period_label,treasury_period_return,sharpe,excess_return,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,10000000.0,0,0.0,0.0,0.0,[],0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,[],0.0,,1,0.0,,,0.0,,0.0,,0.0,2020-12,0.0,,0.0,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,10000000.0,0,0.0,0.0,0.0,[],0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,[],0.0,0.0,2,0.0,,,0.0,,0.0,0.0,0.0,2020-12,0.0,,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,10000000.0,0,0.0,0.0,0.0,[],0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,[],0.0,0.0,3,0.0,,,0.0,,0.0,0.0,0.0,2020-12,0.0,,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,10000000.0,0,0.0,0.0,0.0,[],0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,[],0.0,0.0,4,0.0,,,0.0,,0.0,0.0,0.0,2020-12,0.0,,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,10000000.0,0,0.0,0.0,0.0,"[{'id': 'f1d9f56385ad4ae48223a893859c5091', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 40766, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '68ca4d6f7e2d4d23a5b79bf0d851462e', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5436, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a9b6387dbadf48baa8c1d9dc60903755', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 23682, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd3177d11068446cdb761ce9daa5c4146', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 14610, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5cd81b8cd87b464d932debe2afdc69b6', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 137551, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,0.0,[],0.0,0.0,5,0.0,,,0.0,,0.0,0.0,0.0,2020-12,0.0,,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,10000000.0,5,-0.0004989518099999257,0.9984017743724304,0.9984017743724304,"[{'id': 'f1d9f56385ad4ae48223a893859c5091', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 40766, 'filled': 40766, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '68ca4d6f7e2d4d23a5b79bf0d851462e', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5436, 'filled': 5436, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a9b6387dbadf48baa8c1d9dc60903755', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 23682, 'filled': 23682, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd3177d11068446cdb761ce9daa5c4146', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 14610, 'filled': 14610, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5cd81b8cd87b464d932debe2afdc69b6', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 137551, 'filled': 137551, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",9979036.200000001,0.0,-9984025.7181,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.72435, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.38719, 'last_sale_price': 14.38}]",0,0.0,-4989.518099999055,0.0,9979036.200000001,9979036.200000001,15974.28190000006,9995010.481900001,9979036.200000001,"[{'amount': 40766, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.72435, 'order_id': 'f1d9f56385ad4ae48223a893859c5091', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 5436, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '68ca4d6f7e2d4d23a5b79bf0d851462e', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 23682, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'a9b6387dbadf48baa8c1d9dc60903755', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 14610, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'd3177d11068446cdb761ce9daa5c4146', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 137551, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '5cd81b8cd87b464d932debe2afdc69b6', 'sid': Equity(0 [DBC]), 'commission': None}]",0.0,0.0032335773016107846,6,-0.0004989518099999257,,,0.9984017743724304,-6.48074069840786,0.0,0.0,-0.0004989518099999657,2020-12,0.0,-6.48074069840786,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,15974.28190000006,5,0.003436640718106565,0.9984072480885032,0.9984072480885032,[],10013385.46,9979036.200000001,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.72435, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.38719, 'last_sale_price': 14.56}]",0,9979036.200000001,34349.25999999978,0.0,10013385.46,10013385.46,15974.28190000006,10029359.7419,10013385.46,[],0.0,0.02132409203941008,7,0.0029359741899999126,,,0.9984072480885032,35.32632429701469,0.0,0.0,-0.0004989518099999657,2020-12,0.0,4.959498415988113,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,15974.28190000006,5,-0.0005701540424473128,0.998406339456502,0.998406339456502,[],10007667.18,10013385.46,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.72435, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.38719, 'last_sale_price': 14.6}]",0,10013385.46,-5718.280000001192,0.0,10007667.18,10007667.18,15974.28190000006,10023641.4619,10007667.18,[],0.0,0.020509010477143593,8,0.002364146189999694,,,0.9984072480885032,17.53819591666049,0.0,0.0,-0.0005701540424472604,2020-12,0.0,3.636321135599498,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,15974.28190000006,5,0.002203294090670216,0.9984098430399354,0.9984098430399354,"[{'id': '964c006f7b714786ab35cba2fc1c41fb', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 220, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'dddd5bffc44f4d4f81ef727109d1b29f', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -37, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'aca73dd004ef44389454172b209c0755', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 128, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '9ed9cd3198d041b1ba4594c1b8e8dc01', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -36, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b6fc420c24814062a1744c14360ca71b', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 915, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10029752.21,10007667.18,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 40766, 'cost_basis': 48.72435, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 5436, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 23682, 'cost_basis': 85.08252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 14610, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 137551, 'cost_basis': 14.38719, 'last_sale_price': 14.51}]",0,10007667.18,22085.030000001192,0.0,10029752.21,10029752.21,15974.28190000006,10045726.4919,10029752.21,[],0.0,0.021677312171731543,9,0.004572649189999778,,,0.9984098430399354,31.92326055356435,0.0,0.0,-0.0005701540424472604,2020-12,0.0,5.904016594092538,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,15974.28190000006,5,0.0007015126353162593,1.0000264726972923,1.0000264726972923,"[{'id': '964c006f7b714786ab35cba2fc1c41fb', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 220, 'filled': 220, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'dddd5bffc44f4d4f81ef727109d1b29f', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -37, 'filled': -37, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'aca73dd004ef44389454172b209c0755', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 128, 'filled': 128, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9ed9cd3198d041b1ba4594c1b8e8dc01', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -36, 'filled': -36, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b6fc420c24814062a1744c14360ca71b', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 915, 'filled': 915, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",10053039.82,10029752.21,-16240.40593500249,"[{'sid': Equity(4 [VWO]), 'amount': 40986, 'cost_basis': 48.728914814814814, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5399, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 23810, 'cost_basis': 85.07509755900882, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 14574, 'cost_basis': 137.338635, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 138466, 'cost_basis': 14.388313942159087, 'last_sale_price': 14.55}]",0,10029752.21,7047.204064998776,0.0,10053039.82,10053039.82,-266.1240349999425,10052773.695965,10053039.82,"[{'amount': 220, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '964c006f7b714786ab35cba2fc1c41fb', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -37, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': 'dddd5bffc44f4d4f81ef727109d1b29f', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 128, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': 'aca73dd004ef44389454172b209c0755', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -36, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': '9ed9cd3198d041b1ba4594c1b8e8dc01', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 915, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.557275, 'order_id': 'b6fc420c24814062a1744c14360ca71b', 'sid': Equity(0 [DBC]), 'commission': None}]",0.0,0.020460670512407013,10,0.005277369596499604,,,1.0000264726972923,34.93309520435025,0.0,0.0,-0.0005701540424472604,2020-12,0.0,6.493580355976521,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]"
