,period_open,period_close,returns,shorts_count,starting_exposure,starting_value,transactions,short_exposure,starting_cash,short_value,long_exposure,capital_used,gross_leverage,long_value,ending_cash,portfolio_value,longs_count,positions,pnl,ending_exposure,ending_value,net_leverage,orders,algorithm_period_return,max_drawdown,sharpe,max_leverage,sortino,alpha,beta,trading_days,benchmark_period_return,benchmark_volatility,period_label,treasury_period_return,excess_return,algo_volatility,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,0,[],0.0,0.0,0.0,0.0,[],0.0,0.0,,0.0,,,,1,0.0,,2020-12,0.0,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,0,[],0.0,0.0,0.0,0.0,[],0.0,0.0,,0.0,,,,2,0.0,0.0,2020-12,0.0,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,0,[],0.0,0.0,0.0,0.0,[],0.0,0.0,,0.0,,,,3,0.0,0.0,2020-12,0.0,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,0,[],0.0,0.0,0.0,0.0,[],0.0,0.0,,0.0,,,,4,0.0,0.0,2020-12,0.0,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,0,[],0.0,0.0,0.0,0.0,"[{'id': 'dc65dbde5bc64f5da8ab66591c77a536', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -31276, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1d800b6ae9da48b998ceee4568afbd43', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 7168, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c424bc1cb7d246498cc10c5d447d4b6f', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -39679, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0bfe3774558c4b008fd17add02243022', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 41024, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b8e653993fe34961841a447bcc6d1af9', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,,0.0,,,,5,0.0,0.0,2020-12,0.0,0.0,0.0,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,-0.0007683681880000792,2,0.0,0.0,"[{'amount': -31276, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': 'dc65dbde5bc64f5da8ab66591c77a536', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 7168, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '1d800b6ae9da48b998ceee4568afbd43', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -39679, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': 'c424bc1cb7d246498cc10c5d447d4b6f', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 41024, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '0bfe3774558c4b008fd17add02243022', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'b8e653993fe34961841a447bcc6d1af9', 'sid': Equity(0 [DBC]), 'commission': None}]",-4897443.36,10000000.0,-4897443.36,10469920.4,-5580160.72188,1.5379180633156027,10469920.4,4419839.27812,9992316.318119999,3,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.99748000000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.38}]",-7683.681880000979,5572477.04,5572477.04,0.5576762046548615,"[{'id': 'dc65dbde5bc64f5da8ab66591c77a536', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -31276, 'filled': -31276, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1d800b6ae9da48b998ceee4568afbd43', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 7168, 'filled': 7168, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c424bc1cb7d246498cc10c5d447d4b6f', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -39679, 'filled': -39679, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0bfe3774558c4b008fd17add02243022', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 41024, 'filled': 41024, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b8e653993fe34961841a447bcc6d1af9', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 153420, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-0.0007683681880000792,-0.0007683681880000392,-6.4807406984078595,1.5379180633156027,-6.48074069840786,,,6,0.0,0.0,2020-12,0.0,0.0,0.004979594987334016,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,0.003612446769178268,2,5572477.04,5572477.04,"[{'amount': 178640, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': 'b8e653993fe34961841a447bcc6d1af9', 'sid': Equity(0 [DBC]), 'commission': None}]",-4891257.91,4419839.27812,-4891257.91,13102130.56,-2602298.8992,1.794240865240647,13102130.56,1817540.37892,10028413.02892,3,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 332060, 'cost_basis': 14.484073929410346, 'last_sale_price': 14.56}]",36096.7108000014,8210872.65,8210872.65,0.8187609172379952,"[{'id': 'b8e653993fe34961841a447bcc6d1af9', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 332060, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0028413028920000194,-0.0007683681880000392,4.471278974171392,1.794240865240647,22.208716802142483,,,7,0.0,0.0,2020-12,0.0,0.0,0.022898778965450017,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,0.007465731405765785,2,8210872.65,8210872.65,"[{'amount': 124103, 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'price': 14.6073, 'order_id': 'b8e653993fe34961841a447bcc6d1af9', 'sid': Equity(0 [DBC]), 'commission': None}]",-4858296.44,1817540.37892,-4858296.44,14956848.280000001,-1812809.7519000005,1.9612581143487076,14956848.280000001,4730.627020000014,10103282.46702,3,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 456163, 'cost_basis': 14.517598623518348, 'last_sale_price': 14.6}]",74869.43809999898,10098551.84,10098551.84,0.9995317732592905,"[{'id': 'b8e653993fe34961841a447bcc6d1af9', 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 456163, 'filled': 456163, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",0.010328246701999833,-0.0007683681880000392,7.2271024190234865,1.9612581143487076,75.30721071552358,,,8,0.0,0.0,2020-12,0.0,0.0,0.044936268473778754,"[-0.1534411758184433, 0.2636968791484833, -0.33509719371795654, 0.5615805387496948, 0.6632610559463501]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,-0.003722260574497205,2,10098551.84,10098551.84,[],-4881263.54,4730.627020000014,-4881263.54,14942208.330000002,0.0,1.969412985091948,14942208.330000002,4730.627020000014,10065675.417020002,3,"[{'sid': Equity(4 [VWO]), 'amount': -31276, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 7168, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -39679, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 41024, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 456163, 'cost_basis': 14.517598623518348, 'last_sale_price': 14.51}]",-37607.04999999702,10060944.790000003,10060944.790000003,0.9995300238857294,"[{'id': '2bcfcf4a0c7447f0a16b47004880c9b4', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4992, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6df0b78b37ee4b0c966a325788410d01', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1704, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '664e18ad26aa48d6a2c42af30830c79c', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 28456, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e404e040c6544fc793eb2e18504cfaee', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 21389, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'bad32286ba6d4b77aff13592eaf82659', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -341536, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.006567541702000135,-0.0037222605744971545,3.7114085966771757,1.969412985091948,9.171384617397317,,,9,0.0,0.0,2020-12,0.0,0.0,0.04969848475149001,"[-0.12799985706806183, 0.20202507078647614, -0.09407906234264374, 0.8548164963722229, 0.16523735225200653]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,0.002339550589936623,2,10060944.790000003,10060944.790000003,"[{'amount': 4992, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '2bcfcf4a0c7447f0a16b47004880c9b4', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -1704, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': '6df0b78b37ee4b0c966a325788410d01', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 28456, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '664e18ad26aa48d6a2c42af30830c79c', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 21389, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': 'e404e040c6544fc793eb2e18504cfaee', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': 'bad32286ba6d4b77aff13592eaf82659', 'sid': Equity(0 [DBC]), 'commission': None}]",-2241288.38,4730.627020000014,-2241288.38,15361505.05,-3035722.7231399994,1.744712222540063,15361505.05,-3030992.09612,10089224.573880002,3,"[{'sid': Equity(4 [VWO]), 'amount': -26284, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5464, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -11223, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 62413, 'cost_basis': 137.56150205373882, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 324663, 'cost_basis': 14.517598623518348, 'last_sale_price': 14.55}]",23549.156859999523,13120216.670000002,13120216.670000002,1.3004187362393476,"[{'id': '2bcfcf4a0c7447f0a16b47004880c9b4', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 4992, 'filled': 4992, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6df0b78b37ee4b0c966a325788410d01', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -1704, 'filled': -1704, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '664e18ad26aa48d6a2c42af30830c79c', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 28456, 'filled': 28456, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e404e040c6544fc793eb2e18504cfaee', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 21389, 'filled': 21389, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'bad32286ba6d4b77aff13592eaf82659', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -341536, 'filled': -131500, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.008922457388000016,-0.0037222605744971545,4.731473201167556,1.969412985091948,11.790783782197485,,,10,0.0,0.0,2020-12,0.0,0.0,0.047546062398609555,"[-0.12799985706806183, 0.20202507078647614, -0.09407906234264374, 0.8548164963722229, 0.16523735225200653]"
