,period_open,period_close,shorts_count,orders,long_value,starting_value,pnl,portfolio_value,ending_exposure,positions,gross_leverage,starting_cash,capital_used,ending_cash,returns,starting_exposure,long_exposure,short_value,longs_count,ending_value,transactions,net_leverage,short_exposure,max_drawdown,sharpe,sortino,excess_return,trading_days,benchmark_period_return,benchmark_volatility,algorithm_period_return,max_leverage,alpha,beta,algo_volatility,treasury_period_return,period_label,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0,[],0.0,0.0,0.0,10000000.0,0.0,[],0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,0.0,0.0,,,0.0,1,0.0,,0.0,0.0,,,,0.0,2020-12,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0,[],0.0,0.0,0.0,10000000.0,0.0,[],0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,0.0,0.0,,,0.0,2,0.0,0.0,0.0,0.0,,,0.0,0.0,2020-12,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0,[],0.0,0.0,0.0,10000000.0,0.0,[],0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,0.0,0.0,,,0.0,3,0.0,0.0,0.0,0.0,,,0.0,0.0,2020-12,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0,[],0.0,0.0,0.0,10000000.0,0.0,[],0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,0.0,0.0,,,0.0,4,0.0,0.0,0.0,0.0,,,0.0,0.0,2020-12,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0,"[{'id': '80ec55c0c9be455a98dc2e099c5fb5ef', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -10907, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '56d8cd372e1d45ac8984883ab72613c3', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 1309, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a1fab55aaf5b4d8b9dfa6dacb2385718', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 19252, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1bb3f83cb94e4878b6e3dee5dfa75d6f', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 50953, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a3cfb8b46e16451990e23619f4450961', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 99883, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,10000000.0,0.0,[],0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,0.0,0.0,,,0.0,5,0.0,0.0,0.0,0.0,,,0.0,0.0,2020-12,"[-0.053511835634708405, 0.04818445071578026, 0.16258873045444489, 0.6975073218345642, 0.14523106813430786]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,1,"[{'id': '80ec55c0c9be455a98dc2e099c5fb5ef', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -10907, 'filled': -10907, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '56d8cd372e1d45ac8984883ab72613c3', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 1309, 'filled': 1309, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a1fab55aaf5b4d8b9dfa6dacb2385718', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 19252, 'filled': 19252, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1bb3f83cb94e4878b6e3dee5dfa75d6f', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 50953, 'filled': 50953, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a3cfb8b46e16451990e23619f4450961', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 99883, 'filled': 99883, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",10548543.09,0.0,-5539.856995003298,9994460.143004997,10017372.19,"[{'sid': Equity(4 [VWO]), 'amount': -10907, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 1309, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 19252, 'cost_basis': 85.08252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 50953, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 99883, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.38}]",1.1085855395355755,10000000.0,-10022912.046995,-22912.046995003242,-0.0005539856995003811,0.0,10548543.09,-531170.9,4,10017372.19,"[{'amount': -10907, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '80ec55c0c9be455a98dc2e099c5fb5ef', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 1309, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '56d8cd372e1d45ac8984883ab72613c3', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 19252, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'a1fab55aaf5b4d8b9dfa6dacb2385718', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 50953, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '1bb3f83cb94e4878b6e3dee5dfa75d6f', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 99883, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'a3cfb8b46e16451990e23619f4450961', 'sid': Equity(0 [DBC]), 'commission': None}]",1.0022924746976993,-531170.9,-0.00055398569950043,-6.4807406984078595,-6.48074069840786,0.0,6,0.0,0.0,-0.0005539856995003811,1.1085855395355755,,,0.0035902376690880675,0.0,2020-12,"[-0.053511835634708405, 0.04818445071578026, 0.16258873045444489, 0.6975073218345642, 0.14523106813430786]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,1,[],10557893.99,10017372.19,3897.4000000003725,9998357.543004997,10021269.59,"[{'sid': Equity(4 [VWO]), 'amount': -10907, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 1309, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 19252, 'cost_basis': 85.08252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 50953, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 99883, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.56}]",1.1096340916275689,-22912.046995003242,0.0,-22912.046995003242,0.000389956030064198,10017372.19,10557893.99,-536624.4,4,10021269.59,[],1.002291581081838,-536624.4,-0.00055398569950043,-1.3506295975275466,-1.776540472984577,0.0,7,0.0,0.0,-0.00016424569950024281,1.1096340916275689,,,0.004372085515164462,0.0,2020-12,"[-0.053511835634708405, 0.04818445071578026, 0.16258873045444489, 0.6975073218345642, 0.14523106813430786]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,1,[],10575965.370000001,10021269.59,21125.340000001714,10019482.883004999,10042394.930000002,"[{'sid': Equity(4 [VWO]), 'amount': -10907, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 1309, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 19252, 'cost_basis': 85.08252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 50953, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 99883, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.6}]",1.1087933319237409,-22912.046995003242,0.0,-22912.046995003242,0.002112881031623104,10021269.59,10575965.370000001,-533570.4400000001,4,10042394.930000002,[],1.0022867494522962,-533570.4400000001,-0.00055398569950043,4.851010648909367,19.744013523167123,0.0,8,0.0,0.0,0.0019482883004997564,1.1096340916275689,,,0.01265485119532562,0.0,2020-12,"[-0.053511835634708405, 0.04818445071578026, 0.16258873045444489, 0.6975073218345642, 0.14523106813430786]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,1,"[{'id': 'c3e0810b66144909a67bba8f9d961c55', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 22936, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a24471bb1dc24f1782e720259c793e32', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -969, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '982254c242724e15b3ad3273cd5354dc', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12093, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '32654b86a6f04e768f4c8fcbb12bea21', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -5292, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd9344655cc6c4cbbbb2de52acf1dd5b9', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -74257, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10585337.200000001,10042394.930000002,8281.129999998957,10027764.013004998,10050676.06,"[{'sid': Equity(4 [VWO]), 'amount': -10907, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 1309, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 19252, 'cost_basis': 85.08252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 50953, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 99883, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.51}]",1.108921024226187,-22912.046995003242,0.0,-22912.046995003242,0.0008265027343921094,10042394.930000002,10585337.200000001,-534661.14,4,10050676.06,[],1.002284861008425,-534661.14,-0.00055398569950043,6.352602766058264,26.50933678004589,0.0,9,0.0,0.0,0.002776401300499609,1.1096340916275689,,,0.012232767822256135,0.0,2020-12,"[0.05880584195256233, 0.012613078579306602, 0.26376470923423767, 0.6277368664741516, 0.03707936406135559]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,0,"[{'id': 'c3e0810b66144909a67bba8f9d961c55', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 22936, 'filled': 22936, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a24471bb1dc24f1782e720259c793e32', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -969, 'filled': -969, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '982254c242724e15b3ad3273cd5354dc', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12093, 'filled': 12093, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '32654b86a6f04e768f4c8fcbb12bea21', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -5292, 'filled': -5292, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd9344655cc6c4cbbbb2de52acf1dd5b9', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -74257, 'filled': -74257, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",10015079.470000003,10050676.06,-15678.257954997942,10012085.75505,10015079.470000003,"[{'sid': Equity(4 [VWO]), 'amount': 12029, 'cost_basis': 49.574775, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 340, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 31345, 'cost_basis': 84.54984543723083, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 45661, 'cost_basis': 137.338635, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 25626, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.55}]",1.000299010118695,-22912.046995003242,19918.332045000046,-2993.7149500031956,-0.00156348493389602,10050676.06,10015079.470000003,0.0,5,10015079.470000003,"[{'amount': 22936, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': 'c3e0810b66144909a67bba8f9d961c55', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -969, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': 'a24471bb1dc24f1782e720259c793e32', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 12093, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '982254c242724e15b3ad3273cd5354dc', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -5292, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': '32654b86a6f04e768f4c8fcbb12bea21', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -74257, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': 'd9344655cc6c4cbbbb2de52acf1dd5b9', 'sid': Equity(0 [DBC]), 'commission': None}]",1.000299010118695,0.0,-0.0015634849338960481,2.0528388401895623,3.6675859395026755,0.0,10,0.0,0.0,0.0012085755049997537,1.1096340916275689,,,0.014876522356129929,0.0,2020-12,"[0.05880584195256233, 0.012613078579306602, 0.26376470923423767, 0.6277368664741516, 0.03707936406135559]"
