,period_open,period_close,long_exposure,positions,ending_cash,shorts_count,portfolio_value,net_leverage,capital_used,starting_cash,gross_leverage,ending_exposure,short_exposure,orders,short_value,starting_value,returns,longs_count,pnl,transactions,starting_exposure,ending_value,long_value,algo_volatility,benchmark_period_return,benchmark_volatility,period_label,max_drawdown,algorithm_period_return,excess_return,sortino,max_leverage,sharpe,alpha,beta,treasury_period_return,trading_days,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,[],10000000.0,0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0,0.0,[],0.0,0.0,0.0,,0.0,,2017-12,0.0,0.0,0.0,,0.0,,,,0.0,1,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,[],10000000.0,0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,"[{'id': '79a27236a8224aabb9dec4bbec2c14e4', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -26289, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ad06725ffa284d81ae3e54c2e816abcb', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 23315, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c153517bc84d40479edaac3005a7f5c1', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 22184, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c4406f00ebaa4d2e856d45f65b811514', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 35640, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0228e66afb1b469687e8a62346d6d4d5', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -81751, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,2017-12,0.0,0.0,0.0,,0.0,,,,0.0,2,"[-0.11801372468471527, 0.6253113746643066, 0.1899903267621994, 0.43277838826179504, -0.1300664097070694]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,12394199.830000002,"[{'sid': Equity(4 [VWO]), 'amount': -26289, 'cost_basis': 44.702867385, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 23315, 'cost_basis': 267.570888585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 22184, 'cost_basis': 83.94577191, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 35640, 'cost_basis': 120.991275405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -81751, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.03}]",70899.83627861593,2,9977672.606278617,0.9928941508629978,-9929100.163721386,10000000.0,1.4914928037060957,9906772.770000001,-2487427.06,"[{'id': '79a27236a8224aabb9dec4bbec2c14e4', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -26289, 'filled': -26289, 'commission': 1176.3700507350002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ad06725ffa284d81ae3e54c2e816abcb', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 23315, 'filled': 23315, 'commission': 6232.1830842750005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c153517bc84d40479edaac3005a7f5c1', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 22184, 'filled': 22184, 'commission': 1860.3926114400003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c4406f00ebaa4d2e856d45f65b811514', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 35640, 'filled': 35640, 'commission': 4307.821234200001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0228e66afb1b469687e8a62346d6d4d5', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -81751, 'filled': -81751, 'commission': 1309.813295735, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-2487427.06,0.0,-0.0022327393721383038,3,-22327.393721383065,"[{'amount': -26289, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': '79a27236a8224aabb9dec4bbec2c14e4', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 23315, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': 'ad06725ffa284d81ae3e54c2e816abcb', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 22184, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': 'c153517bc84d40479edaac3005a7f5c1', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 35640, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': 'c4406f00ebaa4d2e856d45f65b811514', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -81751, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.021985, 'order_id': '0228e66afb1b469687e8a62346d6d4d5', 'sid': Equity(0 [DBC]), 'commission': None}]",0.0,9906772.770000001,12394199.830000002,0.020463394359863905,0.0,0.0,2017-12,-0.002232739372138326,-0.0022327393721383038,0.0,-9.16515138991168,1.4914928037060957,-9.165151389911681,,,0.0,3,"[-0.11801372468471527, 0.6253113746643066, 0.1899903267621994, 0.43277838826179504, -0.1300664097070694]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,12358012.450000003,"[{'sid': Equity(4 [VWO]), 'amount': -26289, 'cost_basis': 44.702867385, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 23315, 'cost_basis': 267.570888585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 22184, 'cost_basis': 83.94577191, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 35640, 'cost_basis': 120.991275405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': -81751, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.12}]",70899.83627861593,2,9932550.296278618,0.992861869896075,0.0,70899.83627861593,1.4955247138859615,9861650.460000003,-2496361.99,[],-2496361.99,9906772.770000001,-0.004522328180181501,3,-45122.30999999866,[],9906772.770000001,9861650.460000003,12358012.450000003,0.034328163373256386,0.0,0.0,2017-12,-0.006744970372138112,-0.00674497037213817,0.0,-10.630914733974114,1.4955247138859615,-12.397087812967316,,,0.0,4,"[-0.11801372468471527, 0.6253113746643066, 0.1899903267621994, 0.43277838826179504, -0.1300664097070694]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,12338279.78,"[{'sid': Equity(4 [VWO]), 'amount': -26289, 'cost_basis': 44.702867385, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 23315, 'cost_basis': 267.570888585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 22184, 'cost_basis': 83.94577191, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 35640, 'cost_basis': 120.991275405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': -81751, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.13}]",70899.83627861593,2,9905953.646278614,0.9928427046188278,0.0,70899.83627861593,1.498240985165071,9835053.809999999,-2503225.9699999997,[],-2503225.9699999997,9861650.460000003,-0.002677726183774709,3,-26596.650000004098,[],9861650.460000003,9835053.809999999,12338279.78,0.030546854847237646,0.0,0.0,2017-12,-0.009404635372138585,-0.009404635372138648,0.0,-11.727394941641574,1.498240985165071,-15.56339618846734,,,0.0,5,"[-0.11801372468471527, 0.6253113746643066, 0.1899903267621994, 0.43277838826179504, -0.1300664097070694]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,12352278.37,"[{'sid': Equity(4 [VWO]), 'amount': -26289, 'cost_basis': 44.702867385, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 23315, 'cost_basis': 267.570888585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 22184, 'cost_basis': 83.94577191, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 35640, 'cost_basis': 120.991275405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': -81751, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.2}]",70899.83627861593,2,9904502.736278614,0.9928416561470652,0.0,70899.83627861593,1.5014336646634532,9833602.899999999,-2518675.4699999997,[],-2518675.4699999997,9835053.809999999,-0.00014646848267307888,3,-1450.910000000149,[],9835053.809999999,9833602.899999999,12352278.37,0.029557751373451693,0.0,0.0,2017-12,-0.009549726372138707,-0.00954972637213869,0.0,-10.868255279373832,1.5014336646634532,-13.611624514495528,,,0.0,6,"[-0.11801372468471527, 0.6253113746643066, 0.1899903267621994, 0.43277838826179504, -0.1300664097070694]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,12359615.41,"[{'sid': Equity(4 [VWO]), 'amount': -26289, 'cost_basis': 44.702867385, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 23315, 'cost_basis': 267.570888585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 22184, 'cost_basis': 83.94577191, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 35640, 'cost_basis': 120.991275405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -81751, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.44}]",70899.83627861593,2,9890905.086278616,0.9928318151210477,0.0,70899.83627861593,1.5063561362720275,9820005.25,-2539610.16,"[{'id': 'f3d2a10338de4c7b84b7a8881a8ecf8a', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 9066, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '2cf137d1ab3341258df7768e8561f7e2', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -12707, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'fedfe578555b4b77b045043f9f5c84e0', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 16686, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e7194822a1fa4ec8b23149bd166e9a02', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 10626, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c631e1481e70481ab1646471f306cbaf', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 24191, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-2539610.16,9833602.899999999,-0.0013728755861909248,3,-13597.64999999851,[],9833602.899999999,9820005.25,12359615.41,0.02701576470447488,0.0,0.0,2017-12,-0.010909491372138546,-0.01090949137213848,0.0,-11.185581666796057,1.5063561362720275,-14.594329099749627,,,0.0,7,"[-0.079191654920578, 0.28655481338500977, 0.32319414615631104, 0.5651143789291382, -0.09567175805568695]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,11663287.940000001,"[{'sid': Equity(4 [VWO]), 'amount': -17223, 'cost_basis': 44.67892050376502, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 10608, 'cost_basis': 267.890942961167, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': 38870, 'cost_basis': 83.38257512792309, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 46266, 'cost_basis': 121.14538647338088, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': -57560, 'cost_basis': 15.999033428241143, 'last_sale_price': 16.48}]",-21085.01797728417,2,9910484.312022718,1.0021275466781887,-91984.85425589979,70899.83627861593,1.3515995917323738,9931569.330000002,-1731718.6099999999,"[{'id': 'f3d2a10338de4c7b84b7a8881a8ecf8a', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 9066, 'filled': 9066, 'commission': 412.43713551, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2cf137d1ab3341258df7768e8561f7e2', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -12707, 'filled': -12707, 'commission': 3395.1368223799996, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'fedfe578555b4b77b045043f9f5c84e0', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 16686, 'filled': 16686, 'commission': 1377.4502409300003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e7194822a1fa4ec8b23149bd166e9a02', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 10626, 'filled': 10626, 'commission': 1291.49190324, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c631e1481e70481ab1646471f306cbaf', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 24191, 'filled': 24191, 'commission': 398.86701384, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-1731718.6099999999,9820005.25,0.001979518110153844,3,19579.22574410215,"[{'amount': 9066, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': 'f3d2a10338de4c7b84b7a8881a8ecf8a', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -12707, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.18634, 'order_id': '2cf137d1ab3341258df7768e8561f7e2', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 16686, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.55125500000001, 'order_id': 'fedfe578555b4b77b045043f9f5c84e0', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 10626, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.54074, 'order_id': 'e7194822a1fa4ec8b23149bd166e9a02', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 24191, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.48824, 'order_id': 'c631e1481e70481ab1646471f306cbaf', 'sid': Equity(0 [DBC]), 'commission': None}]",9820005.25,9931569.330000002,11663287.940000001,0.03195699309665253,0.0,0.0,2017-12,-0.010909491372138546,-0.008951568797728404,0.0,-8.572015750624782,1.5063561362720275,-8.844308960217953,,,0.0,8,"[-0.079191654920578, 0.28655481338500977, 0.32319414615631104, 0.5651143789291382, -0.09567175805568695]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,11682523.86,"[{'sid': Equity(4 [VWO]), 'amount': -17223, 'cost_basis': 44.67892050376502, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 10608, 'cost_basis': 267.890942961167, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': 38870, 'cost_basis': 83.38257512792309, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 46266, 'cost_basis': 121.14538647338088, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': -57560, 'cost_basis': 15.999033428241143, 'last_sale_price': 16.56}]",-21085.01797728417,2,9921326.372022714,1.0021252216877716,0.0,-21085.01797728417,1.352907446715056,9942411.389999999,-1740112.47,[],-1740112.47,9931569.330000002,0.001093999007378832,3,10842.059999996796,[],9931569.330000002,9942411.389999999,11682523.86,0.032109796734877454,0.0,0.0,2017-12,-0.010909491372138546,-0.007867362797728816,0.0,-7.096392540085245,1.5063561362720275,-6.870220358894636,,,0.0,9,"[-0.079191654920578, 0.28655481338500977, 0.32319414615631104, 0.5651143789291382, -0.09567175805568695]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,11680378.440000001,"[{'sid': Equity(4 [VWO]), 'amount': -17223, 'cost_basis': 44.67892050376502, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 10608, 'cost_basis': 267.890942961167, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': 38870, 'cost_basis': 83.38257512792309, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 46266, 'cost_basis': 121.14538647338088, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': -57560, 'cost_basis': 15.999033428241143, 'last_sale_price': 16.61}]",-21085.01797728417,2,9912513.892022718,1.0021271110645558,0.0,-21085.01797728417,1.3545663709793898,9933598.910000002,-1746779.53,[],-1746779.53,9942411.389999999,-0.0008882360754552954,3,-8812.479999996722,[],9942411.389999999,9933598.910000002,11680378.440000001,0.030273475236625193,0.0,0.0,2017-12,-0.010909491372138546,-0.008748610797728484,0.0,-7.407037360051738,1.5063561362720275,-7.297635593462601,,,0.0,10,"[-0.079191654920578, 0.28655481338500977, 0.32319414615631104, 0.5651143789291382, -0.09567175805568695]"
