,period_open,period_close,starting_exposure,ending_cash,long_value,portfolio_value,short_value,pnl,ending_value,shorts_count,net_leverage,ending_exposure,longs_count,starting_value,transactions,gross_leverage,short_exposure,long_exposure,orders,positions,capital_used,returns,starting_cash,trading_days,sharpe,alpha,beta,algo_volatility,max_leverage,excess_return,benchmark_period_return,benchmark_volatility,sortino,period_label,max_drawdown,treasury_period_return,algorithm_period_return,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,[],0.0,0.0,0.0,[],[],0.0,0.0,10000000.0,1,,,,,0.0,0.0,0.0,,,2017-12,0.0,0.0,0.0,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,10000000.0,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,[],0.0,0.0,0.0,"[{'id': '8cce5b16aca04621985ed1b1437bcea2', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -30529, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3f80de144a934e778b9c6df38bccb299', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 14928, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3b82ef0e7eca4053b179a9d7bc8e6822', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 1947, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b68d00c4c7c2493289d087201f1c3c78', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 59977, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7777b8ca360e4e36957e90ad595ca4d1', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -5219, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,0.0,10000000.0,2,,,,0.0,0.0,0.0,0.0,0.0,,2017-12,0.0,0.0,0.0,"[-0.1370481699705124, 0.40036964416503906, 0.016680685803294182, 0.7283014059066772, -0.008303545415401459]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,0.0,33834.59170061403,11397332.67,9980723.361700613,-1450443.9000000001,-19276.63829938695,9946888.77,2,0.9966100060612392,9946888.77,3,0.0,"[{'amount': -30529, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': '8cce5b16aca04621985ed1b1437bcea2', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 14928, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': '3f80de144a934e778b9c6df38bccb299', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 1947, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': '3b82ef0e7eca4053b179a9d7bc8e6822', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 59977, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': 'b68d00c4c7c2493289d087201f1c3c78', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -5219, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.021985, 'order_id': '7777b8ca360e4e36957e90ad595ca4d1', 'sid': Equity(0 [DBC]), 'commission': None}]",1.2872590597292008,-1450443.9000000001,11397332.67,"[{'id': '8cce5b16aca04621985ed1b1437bcea2', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -30529, 'filled': -30529, 'commission': 1366.0999383350002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3f80de144a934e778b9c6df38bccb299', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 14928, 'filled': 14928, 'commission': 3990.30791688, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3b82ef0e7eca4053b179a9d7bc8e6822', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 1947, 'filled': 1947, 'commission': 163.27913877000003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b68d00c4c7c2493289d087201f1c3c78', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 59977, 'filled': 59977, 'commission': 7249.444280685001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7777b8ca360e4e36957e90ad595ca4d1', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -5219, 'filled': -5219, 'commission': 83.61873971500002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'sid': Equity(4 [VWO]), 'amount': -30529, 'cost_basis': 44.702867385000005, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 14928, 'cost_basis': 267.570888585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 1947, 'cost_basis': 83.94577191000002, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 59977, 'cost_basis': 120.991275405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -5219, 'cost_basis': 16.005963015, 'last_sale_price': 16.03}]",-9966165.408299385,-0.0019276638299386972,10000000.0,3,-9.16515138991168,,,0.017667330830245125,1.2872590597292008,0.0,0.0,0.0,-9.16515138991168,2017-12,-0.0019276638299386662,0.0,-0.0019276638299386972,"[-0.1370481699705124, 0.40036964416503906, 0.016680685803294182, 0.7283014059066772, -0.008303545415401459]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,9946888.77,33834.59170061403,11374161.520000001,9955250.761700615,-1452745.3499999999,-25472.599999997765,9921416.170000002,2,0.996601332049738,9921416.170000002,3,9946888.77,[],1.2884564313886586,-1452745.3499999999,11374161.520000001,[],"[{'sid': Equity(4 [VWO]), 'amount': -30529, 'cost_basis': 44.702867385000005, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 14928, 'cost_basis': 267.570888585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 1947, 'cost_basis': 83.94577191000002, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 59977, 'cost_basis': 120.991275405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': -5219, 'cost_basis': 16.005963015, 'last_sale_price': 16.12}]",0.0,-0.0025521797445808847,33834.59170061403,4,-13.488098660683516,,,0.020924383213284676,1.2884564313886586,0.0,0.0,0.0,-11.117463797895402,2017-12,-0.004474923829938433,0.0,-0.004474923829938415,"[-0.1370481699705124, 0.40036964416503906, 0.016680685803294182, 0.7283014059066772, -0.008303545415401459]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,9921416.170000002,33834.59170061403,11383494.05,9957509.431700613,-1459819.21,2258.669999998063,9923674.84,2,0.996602102972366,9923674.84,3,9921416.170000002,[],1.2898118096792532,-1459819.21,11383494.05,[],"[{'sid': Equity(4 [VWO]), 'amount': -30529, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 14928, 'cost_basis': 267.570888585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 1947, 'cost_basis': 83.94577191000002, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 59977, 'cost_basis': 120.991275405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': -5219, 'cost_basis': 16.005963015, 'last_sale_price': 16.13}]",0.0,0.00022688228092526685,33834.59170061403,5,-10.461697443747468,,,0.020488955100231975,1.2898118096792532,0.0,0.0,0.0,-9.440158754902049,2017-12,-0.004474923829938433,0.0,-0.004249056829938702,"[-0.1370481699705124, 0.40036964416503906, 0.016680685803294182, 0.7283014059066772, -0.008303545415401459]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,9923674.84,33834.59170061403,11388937.34,9951291.661700614,-1471480.27,-6217.769999999553,9917457.07,2,0.9965999798969984,9917457.07,3,9923674.84,[],1.2923365174287569,-1471480.27,11388937.34,[],"[{'sid': Equity(4 [VWO]), 'amount': -30529, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 14928, 'cost_basis': 267.570888585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 1947, 'cost_basis': 83.94577191000002, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 59977, 'cost_basis': 120.991275405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': -5219, 'cost_basis': 16.005963015, 'last_sale_price': 16.2}]",0.0,-0.0006244302395742585,33834.59170061403,6,-11.14262447983375,,,0.018384398106911393,1.2923365174287569,0.0,0.0,0.0,-9.699778501527252,2017-12,-0.004870833829938732,0.0,-0.004870833829938692,"[-0.1370481699705124, 0.40036964416503906, 0.016680685803294182, 0.7283014059066772, -0.008303545415401459]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,9917457.07,33834.59170061403,11394554.969999999,9954130.281700611,-1474259.2800000003,2838.619999997318,9920295.689999998,2,0.9966009494809592,9920295.689999998,3,9917457.07,[],1.2928115150007289,-1474259.2800000003,11394554.969999999,"[{'id': '4201f2de3ddd469588826c9caf39c30e', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 39009, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c330e30d387340e68c1f00c44194d8b8', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -6021, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5da45ed8a8e2433db69c9b85993e9a89', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -9702, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd304781f40294107b074e1412c17941b', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 569, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e98ce836aea449c7be94777fcfaa5edf', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 36349, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'sid': Equity(4 [VWO]), 'amount': -30529, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 14928, 'cost_basis': 267.570888585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 1947, 'cost_basis': 83.94577191000002, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 59977, 'cost_basis': 120.991275405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -5219, 'cost_basis': 16.005963015, 'last_sale_price': 16.44}]",0.0,0.00028525141222845996,33834.59170061403,7,-9.16917089663482,,,0.01802966115666108,1.2928115150007289,0.0,0.0,0.0,-8.45504519817038,2017-12,-0.004870833829938732,0.0,-0.004586971829938946,"[0.03874823823571205, 0.2390763908624649, -0.06407444179058075, 0.7348348498344421, 0.05141496658325195]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,9920295.689999998,-5290.462137951075,10634755.32,9989599.807862049,-639865.05,35469.526161437854,9994890.27,1,1.0005295970048558,9994890.27,4,9920295.689999998,"[{'amount': 39009, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': '4201f2de3ddd469588826c9caf39c30e', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -6021, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.18634, 'order_id': 'c330e30d387340e68c1f00c44194d8b8', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -9702, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': '5da45ed8a8e2433db69c9b85993e9a89', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 569, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.54074, 'order_id': 'd304781f40294107b074e1412c17941b', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 36349, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.48824, 'order_id': 'e98ce836aea449c7be94777fcfaa5edf', 'sid': Equity(0 [DBC]), 'commission': None}]",1.1286358399589351,-639865.05,10634755.32,"[{'id': '4201f2de3ddd469588826c9caf39c30e', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 39009, 'filled': 39009, 'commission': 1774.626099615, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c330e30d387340e68c1f00c44194d8b8', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -6021, 'filled': -6021, 'commission': 1608.7289531399997, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5da45ed8a8e2433db69c9b85993e9a89', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -9702, 'filled': -9702, 'commission': 800.11176399, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd304781f40294107b074e1412c17941b', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 569, 'filled': 569, 'commission': 69.15668106000001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e98ce836aea449c7be94777fcfaa5edf', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 36349, 'filled': 36349, 'commission': 599.3310357600001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'sid': Equity(4 [VWO]), 'amount': 8480, 'cost_basis': 45.702006945709314, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 8907, 'cost_basis': 267.7515025911906, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': -7755, 'cost_basis': 82.36557133604255, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 60546, 'cost_basis': 120.99758138781662, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': 31130, 'cost_basis': 16.507492522831996, 'last_sale_price': 16.48}]",-39125.05383856408,0.003563297360759332,33834.59170061403,8,-1.1185917261750702,,,0.02897263245144223,1.2928115150007289,0.0,0.0,0.0,-1.7719596762586034,2017-12,-0.004870833829938732,0.0,-0.0010400192137951514,"[0.03874823823571205, 0.2390763908624649, -0.06407444179058075, 0.7348348498344421, 0.05141496658325195]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,9994890.27,-5290.462137951075,10639166.490000002,9990598.777862052,-643277.25,998.9700000025332,9995889.240000002,1,1.0005295440499196,9995889.240000002,4,9994890.27,[],1.1293060597129094,-643277.25,10639166.490000002,[],"[{'sid': Equity(4 [VWO]), 'amount': 8480, 'cost_basis': 45.702006945709314, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 8907, 'cost_basis': 267.7515025911906, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': -7755, 'cost_basis': 82.36557133604255, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 60546, 'cost_basis': 120.99758138781662, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': 31130, 'cost_basis': 16.507492522831996, 'last_sale_price': 16.56}]",0.0,0.00010000100296481129,-5290.462137951075,9,-0.9586842473080415,,,0.027128399444421553,1.2928115150007289,0.0,0.0,0.0,-1.5082394596768047,2017-12,-0.004870833829938732,0.0,-0.0009401222137948029,"[0.03874823823571205, 0.2390763908624649, -0.06407444179058075, 0.7348348498344421, 0.05141496658325195]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,9995889.240000002,-5290.462137951075,10643279.88,9994479.51786205,-643509.9,3880.739999998361,9999769.98,1,1.000529338434132,9999769.98,4,9995889.240000002,[],1.129302407376827,-643509.9,10643279.88,[],"[{'sid': Equity(4 [VWO]), 'amount': 8480, 'cost_basis': 45.702006945709314, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 8907, 'cost_basis': 267.7515025911906, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': -7755, 'cost_basis': 82.36557133604255, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 60546, 'cost_basis': 120.99758138781662, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': 31130, 'cost_basis': 16.507492522831996, 'last_sale_price': 16.61}]",0.0,0.00038843918030195823,-5290.462137951075,10,-0.5299775760533291,,,0.02569570025895355,1.2928115150007289,0.0,0.0,0.0,-0.8324673967389107,2017-12,-0.004870833829938732,0.0,-0.0005520482137949534,"[0.03874823823571205, 0.2390763908624649, -0.06407444179058075, 0.7348348498344421, 0.05141496658325195]"
