,period_open,period_close,orders,pnl,starting_cash,ending_cash,positions,ending_exposure,short_exposure,transactions,longs_count,starting_value,ending_value,shorts_count,net_leverage,starting_exposure,long_exposure,gross_leverage,long_value,capital_used,returns,short_value,portfolio_value,excess_return,period_label,max_drawdown,trading_days,treasury_period_return,algo_volatility,alpha,beta,algorithm_period_return,max_leverage,sharpe,sortino,benchmark_period_return,benchmark_volatility,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,[],0.0,10000000.0,10000000.0,[],0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,2017-12,0.0,1,0.0,,,,0.0,0.0,,,0.0,,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,"[{'id': 'fde742b351da47a48c381bd867f66b1e', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 40834, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '2b148499a1fe48b09fd173032c15d1cf', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 8383, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e6ad4ba522644a119cfe6c6d32cd6b99', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 23109, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e8f48c86d2db4c548ba75c9c2eb80965', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 14974, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f203dec4ea3e420ca505a5b44a5a4b93', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 133321, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,10000000.0,10000000.0,[],0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,2017-12,0.0,2,0.0,0.0,,,0.0,0.0,,,0.0,0.0,[0.18330791 0.22483242 0.19790668 0.18183775 0.21211524]
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,"[{'id': 'fde742b351da47a48c381bd867f66b1e', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 40834, 'filled': 40834, 'commission': 1829.0522490900003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2b148499a1fe48b09fd173032c15d1cf', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 8383, 'filled': 8383, 'commission': 2240.805953055, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e6ad4ba522644a119cfe6c6d32cd6b99', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 23109, 'filled': 23109, 'commission': 1937.9648781900003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e8f48c86d2db4c548ba75c9c2eb80965', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 14974, 'filled': 14974, 'commission': 1809.9134444700003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f203dec4ea3e420ca505a5b44a5a4b93', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 133321, 'filled': 133321, 'commission': 2138.2041978150005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-14931.423342619091,10000000.0,34103.33665737939,"[{'sid': Equity(4 [VWO]), 'amount': 40834, 'cost_basis': 44.837177385000004, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 8383, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 23109, 'cost_basis': 83.94577191000002, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 14974, 'cost_basis': 120.991275405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 133321, 'cost_basis': 16.054053015, 'last_sale_price': 16.03}]",9950965.240000002,0.0,"[{'amount': 40834, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.792385, 'order_id': 'fde742b351da47a48c381bd867f66b1e', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 8383, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': '2b148499a1fe48b09fd173032c15d1cf', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 23109, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': 'e6ad4ba522644a119cfe6c6d32cd6b99', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 14974, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': 'e8f48c86d2db4c548ba75c9c2eb80965', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 133321, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.038015, 'order_id': 'f203dec4ea3e420ca505a5b44a5a4b93', 'sid': Equity(0 [DBC]), 'commission': None}]",5,0.0,9950965.240000002,0,0.9965845666060718,0.0,9950965.240000002,0.9965845666060718,9950965.240000002,-9965896.663342621,-0.0014931423342618988,0.0,9985068.57665738,0.0,2017-12,-0.001493142334261961,3,0.0,0.013684875540196415,,,-0.0014931423342618988,0.9965845666060718,-9.16515138991168,-9.16515138991168,0.0,0.0,[0.18330791 0.22483242 0.19790668 0.18183775 0.21211524]
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,[],-13932.10000000149,34103.33665737939,34103.33665737939,"[{'sid': Equity(4 [VWO]), 'amount': 40834, 'cost_basis': 44.837177385000004, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 8383, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 23109, 'cost_basis': 83.94577191000002, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 14974, 'cost_basis': 120.991275405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': 133321, 'cost_basis': 16.054053015, 'last_sale_price': 16.12}]",9937033.14,0.0,[],5,9950965.240000002,9937033.14,0,0.9965797944158907,9950965.240000002,9937033.14,0.9965797944158907,9937033.14,0.0,-0.0013952933716020466,0.0,9971136.47665738,0.0,2017-12,-0.002886352334262057,4,0.0,0.0132516566128102,,,-0.0028863523342620434,0.9965845666060718,-13.731977426393556,-11.218536861457782,0.0,0.0,[0.18330791 0.22483242 0.19790668 0.18183775 0.21211524]
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,[],-20128.360000001267,34103.33665737939,34103.33665737939,"[{'sid': Equity(4 [VWO]), 'amount': 40834, 'cost_basis': 44.837177385000004, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 8383, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 23109, 'cost_basis': 83.94577191000002, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 14974, 'cost_basis': 120.991275405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': 133321, 'cost_basis': 16.054053015, 'last_sale_price': 16.13}]",9916904.78,0.0,[],5,9937033.14,9916904.78,0,0.996572876209367,9937033.14,9916904.78,0.996572876209367,9916904.78,0.0,-0.002018662571425245,0.0,9951008.116657378,0.0,2017-12,-0.004899188334262164,5,0.0,0.01471155295991681,,,-0.004899188334262172,0.9965845666060718,-16.81112482476994,-12.127698986624921,0.0,0.0,[0.18330791 0.22483242 0.19790668 0.18183775 0.21211524]
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,[],38142.93999999948,34103.33665737939,34103.33665737939,"[{'sid': Equity(4 [VWO]), 'amount': 40834, 'cost_basis': 44.837177385000004, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 8383, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 23109, 'cost_basis': 83.94577191000002, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 14974, 'cost_basis': 120.991275405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': 133321, 'cost_basis': 16.054053015, 'last_sale_price': 16.2}]",9955047.719999999,0.0,[],5,9916904.78,9955047.719999999,0,0.9965859624642827,9916904.78,9955047.719999999,0.9965859624642827,9955047.719999999,0.0,0.0038330729462625612,0.0,9989151.056657378,0.0,2017-12,-0.004899188334262164,6,0.0,0.033862605790145696,,,-0.0010848943342622874,0.9965859624642827,-1.3321202798942762,-2.42313468684083,0.0,0.0,[0.18330791 0.22483242 0.19790668 0.18183775 0.21211524]
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,"[{'id': 'ecabfd3bed884acf9b805ee9a350a0ad', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 1391, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ff056a99c0cc47bf8f1e7c718c2ab459', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 176, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '06aa568ffd044e54b97dba1289a8096f', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -2595, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '2bc200c775804b8bb4b2c42e519c914f', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 208, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '30830e9d49a44a2a8a1a5c4d80cb74c5', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 6816, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",43226.710000000894,34103.33665737939,34103.33665737939,"[{'sid': Equity(4 [VWO]), 'amount': 40834, 'cost_basis': 44.837177385000004, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 8383, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 23109, 'cost_basis': 83.94577191000002, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 14974, 'cost_basis': 120.991275405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 133321, 'cost_basis': 16.054053015, 'last_sale_price': 16.44}]",9998274.43,0.0,[],5,9955047.719999999,9998274.43,0,0.9966006725972061,9955047.719999999,9998274.43,0.9966006725972061,9998274.43,0.0,0.004327365734567712,0.0,10032377.766657379,0.0,2017-12,-0.004899188334262164,7,0.0,0.04106858554953478,,,0.003237776665737657,0.9966006725972061,2.851820995544506,6.7954644069794226,0.0,0.0,[0.19142264 0.22794997 0.16815682 0.18282878 0.22964179]
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,"[{'id': 'ecabfd3bed884acf9b805ee9a350a0ad', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 1391, 'filled': 1391, 'commission': 63.280394385, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ff056a99c0cc47bf8f1e7c718c2ab459', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 176, 'filled': 176, 'commission': 47.071844160000005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '06aa568ffd044e54b97dba1289a8096f', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -2595, 'filled': -2595, 'commission': 214.006393275, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2bc200c775804b8bb4b2c42e519c914f', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 208, 'filled': 208, 'commission': 25.280473920000002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '30830e9d49a44a2a8a1a5c4d80cb74c5', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 6816, 'filled': 6816, 'commission': 112.38384384000001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",21593.27402042225,34103.33665737939,-368.8493222005914,"[{'sid': Equity(4 [VWO]), 'amount': 42225, 'cost_basis': 44.8602717849254, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 8559, 'cost_basis': 267.57397768573605, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': 20514, 'cost_basis': 83.95620412182, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 15182, 'cost_basis': 121.00046846979251, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': 140137, 'cost_basis': 16.075973009959224, 'last_sale_price': 16.48}]",10054339.89,0.0,"[{'amount': 1391, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': 'ecabfd3bed884acf9b805ee9a350a0ad', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 176, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.45366, 'order_id': 'ff056a99c0cc47bf8f1e7c718c2ab459', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -2595, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': '06aa568ffd044e54b97dba1289a8096f', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 208, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.54074, 'order_id': '2bc200c775804b8bb4b2c42e519c914f', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 6816, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.48824, 'order_id': '30830e9d49a44a2a8a1a5c4d80cb74c5', 'sid': Equity(0 [DBC]), 'commission': None}]",5,9998274.43,10054339.89,0,1.000036686929046,9998274.43,10054339.89,1.000036686929046,10054339.89,-34472.185979578644,0.002152358545766342,0.0,10053971.0406778,0.0,2017-12,-0.004899188334262164,8,0.0,0.03918409241143347,,,0.005397104067779823,1.000036686929046,4.345628708590384,10.561984295856872,0.0,0.0,[0.19142264 0.22794997 0.16815682 0.18282878 0.22964179]
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,[],33019.509999997914,-368.8493222005914,-368.8493222005914,"[{'sid': Equity(4 [VWO]), 'amount': 42225, 'cost_basis': 44.8602717849254, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 8559, 'cost_basis': 267.57397768573605, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': 20514, 'cost_basis': 83.95620412182, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 15182, 'cost_basis': 121.00046846979251, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': 140137, 'cost_basis': 16.075973009959224, 'last_sale_price': 16.56}]",10087359.399999999,0.0,[],5,10054339.89,10087359.399999999,0,1.000036566835306,10054339.89,10087359.399999999,1.000036566835306,10087359.399999999,0.0,0.00328422569215725,0.0,10086990.550677799,0.0,2017-12,-0.004899188334262164,9,0.0,0.03916619116140784,,,0.008699055067779682,1.000036686929046,6.212447081164294,16.007864919320358,0.0,0.0,[0.19142264 0.22794997 0.16815682 0.18282878 0.22964179]
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,[],10696.300000000745,-368.8493222005914,-368.8493222005914,"[{'sid': Equity(4 [VWO]), 'amount': 42225, 'cost_basis': 44.8602717849254, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 8559, 'cost_basis': 267.57397768573605, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': 20514, 'cost_basis': 83.95620412182, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 15182, 'cost_basis': 121.00046846979251, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': 140137, 'cost_basis': 16.075973009959224, 'last_sale_price': 16.61}]",10098055.7,0.0,[],5,10087359.399999999,10098055.7,0,1.000036528100708,10087359.399999999,10098055.7,1.000036528100708,10098055.7,0.0,0.0010604054743841296,0.0,10097686.8506778,0.0,2017-12,-0.004899188334262164,10,0.0,0.03692930936082668,,,0.009768685067779614,1.000036686929046,6.653477229120041,17.03954426777334,0.0,0.0,[0.19142264 0.22794997 0.16815682 0.18282878 0.22964179]
