,period_open,period_close,pnl,short_value,orders,starting_value,shorts_count,long_value,longs_count,short_exposure,net_leverage,ending_value,returns,positions,transactions,capital_used,ending_exposure,starting_cash,gross_leverage,starting_exposure,portfolio_value,long_exposure,ending_cash,alpha,beta,sortino,excess_return,benchmark_period_return,benchmark_volatility,trading_days,treasury_period_return,algo_volatility,sharpe,algorithm_period_return,max_leverage,period_label,max_drawdown,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,0.0,[],0.0,0,0.0,0,0.0,0.0,0.0,0.0,[],[],0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,10000000.0,,,,0.0,0.0,,1,0.0,,,0.0,0.0,2017-12,0.0,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,0.0,"[{'id': 'bf8b6119f088488489b9bfd83defe327', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -44501, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '2299edff0ab34a4491c93c2088ef0c97', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 6363, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b3a4475905ab4410ab4480097313d0e0', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 24643, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '16c1c9f8479b452f9537f9c10ae786ac', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 47441, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7e87ce8893e445f7828c2647979101ff', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 152084, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0,0.0,0,0.0,0.0,0.0,0.0,[],[],0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,10000000.0,,,,0.0,0.0,0.0,2,0.0,0.0,,0.0,0.0,2017-12,0.0,"[-0.19976884126663208, 0.17067652940750122, 0.21104378998279572, 0.576082170009613, 0.24196620285511017]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,-20895.68496646732,-1992309.7700000003,"[{'id': 'bf8b6119f088488489b9bfd83defe327', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -44501, 'filled': -44501, 'commission': 1991.3136151150002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2299edff0ab34a4491c93c2088ef0c97', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 6363, 'filled': 6363, 'commission': 1700.852711355, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b3a4475905ab4410ab4480097313d0e0', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 24643, 'filled': 24643, 'commission': 2066.6090481300002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '16c1c9f8479b452f9537f9c10ae786ac', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 47441, 'filled': 47441, 'commission': 5734.212883605001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7e87ce8893e445f7828c2647979101ff', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 152084, 'filled': 152084, 'commission': 2439.1254732600005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",0.0,1,11934832.7,4,-1992309.7700000003,0.9963342015597109,9942522.93,-0.0020895684966467654,"[{'sid': Equity(4 [VWO]), 'amount': -44501, 'cost_basis': 44.702867385000005, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 6363, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 24643, 'cost_basis': 83.94577191, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 47441, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 152084, 'cost_basis': 16.054053015, 'last_sale_price': 16.03}]","[{'amount': -44501, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': 'bf8b6119f088488489b9bfd83defe327', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 6363, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': '2299edff0ab34a4491c93c2088ef0c97', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 24643, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': 'b3a4475905ab4410ab4480097313d0e0', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 47441, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': '16c1c9f8479b452f9537f9c10ae786ac', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 152084, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.038015, 'order_id': '7e87ce8893e445f7828c2647979101ff', 'sid': Equity(0 [DBC]), 'commission': None}]",-9963418.614966467,9942522.93,10000000.0,1.3956305125519874,0.0,9979104.315033533,11934832.7,36581.385033533275,,,-9.16515138991168,0.0,0.0,0.0,3,0.0,0.01915121161135776,-9.16515138991168,-0.0020895684966467654,1.3956305125519874,2017-12,-0.002089568496646734,"[-0.19976884126663208, 0.17067652940750122, 0.21104378998279572, 0.576082170009613, 0.24196620285511017]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,-28958.14999999851,-1994979.8299999998,[],9942522.93,1,11908544.610000001,4,-1994979.8299999998,0.9963235328982316,9913564.780000001,-0.002901878674258618,"[{'sid': Equity(4 [VWO]), 'amount': -44501, 'cost_basis': 44.702867385000005, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 6363, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 24643, 'cost_basis': 83.94577191, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 47441, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': 152084, 'cost_basis': 16.054053015, 'last_sale_price': 16.12}]",[],0.0,9913564.780000001,36581.385033533275,1.397318613153573,9942522.93,9950146.165033534,11908544.610000001,36581.385033533275,,,-11.079217464183916,0.0,0.0,0.0,4,0.0,0.023471664847089607,-13.39748048617996,-0.004985383496646567,1.397318613153573,2017-12,-0.004985383496646563,"[-0.19976884126663208, 0.17067652940750122, 0.21104378998279572, 0.576082170009613, 0.24196620285511017]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,-40829.810000002384,-2005215.06,[],9913564.780000001,1,11877950.03,4,-2005215.06,0.996308384582459,9872734.969999999,-0.0041034382131476255,"[{'sid': Equity(4 [VWO]), 'amount': -44501, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 6363, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 24643, 'cost_basis': 83.94577191, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 47441, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': 152084, 'cost_basis': 16.054053015, 'last_sale_price': 16.13}]",[],0.0,9872734.969999999,36581.385033533275,1.4010214824706766,9913564.780000001,9909316.355033532,11877950.03,36581.385033533275,,,-11.862613372403944,0.0,0.0,0.0,5,0.0,0.028708306277818334,-15.966884946829614,-0.00906836449664683,1.4010214824706766,2017-12,-0.009068364496646808,"[-0.19976884126663208, 0.17067652940750122, 0.21104378998279572, 0.576082170009613, 0.24196620285511017]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,11804.870000001043,-2021680.43,[],9872734.969999999,1,11906220.27,4,-2021680.43,0.9963127771343798,9884539.84,0.0011912900524166936,"[{'sid': Equity(4 [VWO]), 'amount': -44501, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 6363, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 24643, 'cost_basis': 83.94577191, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 47441, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': 152084, 'cost_basis': 16.054053015, 'last_sale_price': 16.2}]",[],0.0,9884539.84,36581.385033533275,1.4038635738928715,9872734.969999999,9921121.225033533,11906220.27,36581.385033533275,,,-9.410597935224553,0.0,0.0,0.0,6,0.0,0.03224787161075418,-10.293733736462304,-0.007887877496646656,1.4038635738928715,2017-12,-0.009068364496646808,"[-0.19976884126663208, 0.17067652940750122, 0.21104378998279572, 0.576082170009613, 0.24196620285511017]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,49933.140000000596,-2023905.4800000002,"[{'id': 'bcfc14befa8e49c98632cf65b3166448', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 80477, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c4e02aaa03f14730a08f11beb70f3242', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 927, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '303fd014d55f473a945412d8f544f069', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -15383, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '057ea5f8739c4222bfb3507455e29dd8', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -15842, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c73e60fadde44b8286f67f33551c9f36', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -42101, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",9884539.84,1,11958378.46,4,-2023905.4800000002,0.9963312420437886,9934472.98,0.005033013796263974,"[{'sid': Equity(4 [VWO]), 'amount': -44501, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 6363, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 24643, 'cost_basis': 83.94577191, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 47441, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 152084, 'cost_basis': 16.054053015, 'last_sale_price': 16.44}]",[],0.0,9934472.98,36581.385033533275,1.402287403931227,9884539.84,9971054.365033533,11958378.46,36581.385033533275,,,-3.1643827971920375,0.0,0.0,0.0,7,0.0,0.0481491664267586,-2.1462663415076944,-0.0028945634966465184,1.4038635738928715,2017-12,-0.009068364496646808,"[0.1640954613685608, 0.19535328447818756, 0.07636968046426773, 0.3828459680080414, 0.18133561313152313]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,34102.64503357001,0.0,"[{'id': 'bcfc14befa8e49c98632cf65b3166448', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 80477, 'filled': 80477, 'commission': 3661.118834595, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c4e02aaa03f14730a08f11beb70f3242', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 927, 'filled': 927, 'commission': 247.92954282000002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '303fd014d55f473a945412d8f544f069', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -15383, 'filled': -15383, 'commission': 1268.616704335, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '057ea5f8739c4222bfb3507455e29dd8', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -15842, 'filled': -15842, 'commission': 1923.5239169200001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c73e60fadde44b8286f67f33551c9f36', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -42101, 'filled': -42101, 'commission': 693.4775677599999, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",9934472.98,0,9999800.48,5,0.0,0.9994646230877023,9999800.48,0.003420164386342295,"[{'sid': Equity(4 [VWO]), 'amount': 35976, 'cost_basis': 45.5945005891315, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 7290, 'cost_basis': 267.58999127972226, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': 9260, 'cost_basis': 84.08277155409665, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 31599, 'cost_basis': 121.05214834138788, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': 109983, 'cost_basis': 16.060358330983018, 'last_sale_price': 16.48}]","[{'amount': 80477, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': 'bcfc14befa8e49c98632cf65b3166448', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 927, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.45366, 'order_id': 'c4e02aaa03f14730a08f11beb70f3242', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -15383, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': '303fd014d55f473a945412d8f544f069', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -15842, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.41926000000001, 'order_id': '057ea5f8739c4222bfb3507455e29dd8', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -42101, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.47176, 'order_id': 'c73e60fadde44b8286f67f33551c9f36', 'sid': Equity(0 [DBC]), 'commission': None}]",-31224.854966429994,9999800.48,36581.385033533275,0.9994646230877023,9934472.98,10005157.010067103,9999800.48,5356.530067103575,,,0.5667040639156484,0.0,0.0,0.0,8,0.0,0.04949020653651279,0.3498037494101231,0.0005157010067105006,1.4038635738928715,2017-12,-0.009068364496646808,"[0.1640954613685608, 0.19535328447818756, 0.07636968046426773, 0.3828459680080414, 0.18133561313152313]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,22269.33999999985,0.0,[],9999800.48,0,10022069.82,5,0.0,0.9994658120757908,10022069.82,0.002225786159836707,"[{'sid': Equity(4 [VWO]), 'amount': 35976, 'cost_basis': 45.5945005891315, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 7290, 'cost_basis': 267.58999127972226, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': 9260, 'cost_basis': 84.08277155409665, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 31599, 'cost_basis': 121.05214834138788, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': 109983, 'cost_basis': 16.060358330983018, 'last_sale_price': 16.56}]",[],0.0,10022069.82,5356.530067103575,0.9994658120757908,9999800.48,10027426.350067103,10022069.82,5356.530067103575,,,2.6981595544047785,0.0,0.0,0.0,9,0.0,0.04768024028587615,1.6298225813598906,0.00274263500671057,1.4038635738928715,2017-12,-0.009068364496646808,"[0.1640954613685608, 0.19535328447818756, 0.07636968046426773, 0.3828459680080414, 0.18133561313152313]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,11384.609999999404,0.0,[],10022069.82,0,10033454.43,5,0.0,0.9994664178767375,10033454.43,0.0011353471571420304,"[{'sid': Equity(4 [VWO]), 'amount': 35976, 'cost_basis': 45.5945005891315, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 7290, 'cost_basis': 267.58999127972226, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': 9260, 'cost_basis': 84.08277155409665, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 31599, 'cost_basis': 121.05214834138788, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': 109983, 'cost_basis': 16.060358330983018, 'last_sale_price': 16.61}]",[],0.0,10033454.43,5356.530067103575,0.9994664178767375,10022069.82,10038810.960067103,10033454.43,5356.530067103575,,,3.6068197968870392,0.0,0.0,0.0,10,0.0,0.045144640892899435,2.1829844137226804,0.003881096006710605,1.4038635738928715,2017-12,-0.009068364496646808,"[0.1640954613685608, 0.19535328447818756, 0.07636968046426773, 0.3828459680080414, 0.18133561313152313]"
2018-01-02 21:00:00+00:00,2018-01-02 14:31:00+00:00,2018-01-02 21:00:00+00:00,22677.79000000097,0.0,"[{'id': '6f216d99217449dbb4925cd1d3b8e3e0', 'dt': Timestamp('2018-01-02 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-02 21:00:00+0000', tz='UTC'), 'amount': -41027, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3061e66a50564c07921687ee95f1f4bb', 'dt': Timestamp('2018-01-02 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-02 21:00:00+0000', tz='UTC'), 'amount': 3000, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5d26def3d8dc47cc8bfcc9aa7b0d0e24', 'dt': Timestamp('2018-01-02 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-02 21:00:00+0000', tz='UTC'), 'amount': 27084, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1601968b6eb04525abb1eb5be2ab6f8b', 'dt': Timestamp('2018-01-02 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-02 21:00:00+0000', tz='UTC'), 'amount': 3067, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '61dd2888bf1a4694a1e8c3a8242e4fbc', 'dt': Timestamp('2018-01-02 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-02 21:00:00+0000', tz='UTC'), 'amount': -89555, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10033454.43,0,10056132.22,5,0.0,0.9994676205281184,10056132.22,0.0022590115592584503,"[{'sid': Equity(4 [VWO]), 'amount': 35976, 'cost_basis': 45.5945005891315, 'last_sale_price': 46.7}, {'sid': Equity(2 [SPY]), 'amount': 7290, 'cost_basis': 267.58999127972226, 'last_sale_price': 268.77}, {'sid': Equity(3 [VNQ]), 'amount': 9260, 'cost_basis': 84.08277155409665, 'last_sale_price': 82.67}, {'sid': Equity(1 [LQD]), 'amount': 31599, 'cost_basis': 121.05214834138788, 'last_sale_price': 120.75}, {'sid': Equity(0 [DBC]), 'amount': 109983, 'cost_basis': 16.060358330983018, 'last_sale_price': 16.69}]",[],0.0,10056132.22,5356.530067103575,0.9994676205281184,10033454.43,10061488.750067104,10056132.22,5356.530067103575,,,5.4254754685744855,0.0,0.0,0.0,11,0.0,0.04375121864253259,3.2306038042451535,0.006148875006710908,1.4038635738928715,2018-01,-0.009068364496646808,"[-0.02344750054180622, 0.27489325404167175, 0.29862627387046814, 0.4160434901714325, 0.033884450793266296]"
