,period_open,period_close,short_value,ending_value,capital_used,long_exposure,short_exposure,gross_leverage,longs_count,shorts_count,starting_value,transactions,ending_exposure,portfolio_value,net_leverage,starting_cash,orders,starting_exposure,returns,ending_cash,long_value,positions,pnl,sortino,algo_volatility,trading_days,max_drawdown,max_leverage,sharpe,benchmark_period_return,benchmark_volatility,period_label,excess_return,algorithm_period_return,treasury_period_return,alpha,beta,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,[],0.0,10000000.0,0.0,10000000.0,[],0.0,0.0,10000000.0,0.0,[],0.0,,,1,0.0,0.0,,0.0,,2017-12,0.0,0.0,0.0,,,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,[],0.0,10000000.0,0.0,10000000.0,"[{'id': 'c7daec10dc474a03bf64fd5673f85357', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 13262, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6e931e5c204542ca9075b4ad4b60146e', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -5889, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '9dc88ada82974c40ab7fcfe83b78ba0f', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 41693, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '403179654b9345959e8293a2187cf5ad', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 70896, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'fabca2233e9f4aca9117266bd6b94a2e', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -75141, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,10000000.0,0.0,[],0.0,,0.0,2,0.0,0.0,,0.0,0.0,2017-12,0.0,0.0,0.0,,,"[0.05953499302268028, -0.1579461693763733, 0.35706281661987305, 0.8608993291854858, -0.11955085396766663]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,-2777874.3600000003,9875518.399999999,-9898670.238439199,12653392.76,-2777874.3600000003,1.5467076245035187,3,2,0.0,"[{'amount': 13262, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.792385, 'order_id': 'c7daec10dc474a03bf64fd5673f85357', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -5889, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.03641500000003, 'order_id': '6e931e5c204542ca9075b4ad4b60146e', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 41693, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': '9dc88ada82974c40ab7fcfe83b78ba0f', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 70896, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': '403179654b9345959e8293a2187cf5ad', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -75141, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.021985, 'order_id': 'fabca2233e9f4aca9117266bd6b94a2e', 'sid': Equity(0 [DBC]), 'commission': None}]",9875518.399999999,9976848.161560798,0.9898435097016705,10000000.0,"[{'id': 'c7daec10dc474a03bf64fd5673f85357', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 13262, 'filled': 13262, 'commission': 594.03660987, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6e931e5c204542ca9075b4ad4b60146e', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -5889, 'filled': -5889, 'commission': 1572.5774479350002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9dc88ada82974c40ab7fcfe83b78ba0f', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 41693, 'filled': 41693, 'commission': 3496.4546136300005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '403179654b9345959e8293a2187cf5ad', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 70896, 'filled': 70896, 'commission': 8569.228232880001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'fabca2233e9f4aca9117266bd6b94a2e', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -75141, 'filled': -75141, 'commission': 1203.9079748850002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",0.0,-0.0023151838439201544,101329.76156079985,12653392.76,"[{'sid': Equity(4 [VWO]), 'amount': 13262, 'cost_basis': 44.837177385000004, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': -5889, 'cost_basis': 266.769378585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 41693, 'cost_basis': 83.94577191000002, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 70896, 'cost_basis': 120.99127540499998, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -75141, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.03}]",-23151.838439201936,-9.165151389911681,0.021219010425005867,3,-0.002315183843920181,1.5467076245035187,-9.165151389911681,0.0,0.0,2017-12,0.0,-0.0023151838439201544,0.0,,,"[0.05953499302268028, -0.1579461693763733, 0.35706281661987305, 0.8608993291854858, -0.11955085396766663]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,-2783812.5900000003,9807246.96,0.0,12591059.55,-2783812.5900000003,1.5516731183545953,3,2,9875518.399999999,[],9807246.96,9908576.7215608,0.9897735301034397,101329.76156079985,[],9875518.399999999,-0.006842986772419457,101329.76156079985,12591059.55,"[{'sid': Equity(4 [VWO]), 'amount': 13262, 'cost_basis': 44.837177385000004, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': -5889, 'cost_basis': 266.769378585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 41693, 'cost_basis': 83.94577191000002, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 70896, 'cost_basis': 120.99127540499998, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': -75141, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.12}]",-68271.43999999762,-10.062357324568511,0.05120894299718985,4,-0.009142327843919986,1.5516731183545953,-11.266874789058956,0.0,0.0,2017-12,0.0,-0.009142327843919995,0.0,,,"[0.05953499302268028, -0.1579461693763733, 0.35706281661987305, 0.8608993291854858, -0.11955085396766663]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,-2787802.9499999997,9745394.64,0.0,12533197.59,-2787802.9499999997,1.5559489547175174,3,2,9807246.96,[],9745394.64,9846724.4015608,0.9897092924074591,101329.76156079985,[],9807246.96,-0.006242301163739472,101329.76156079985,12533197.59,"[{'sid': Equity(4 [VWO]), 'amount': 13262, 'cost_basis': 44.837177385000004, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': -5889, 'cost_basis': 266.769378585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 41693, 'cost_basis': 83.94577191000002, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 70896, 'cost_basis': 120.99127540499998, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': -75141, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.13}]",-61852.3200000003,-11.451546070075349,0.05248077356407458,5,-0.015327559843920114,1.5559489547175174,-14.789869222646486,0.0,0.0,2017-12,0.0,-0.015327559843920091,0.0,,,"[0.05953499302268028, -0.1579461693763733, 0.35706281661987305, 0.8608993291854858, -0.11955085396766663]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,-2792650.59,9775182.66,0.0,12567833.25,-2792650.59,1.5552538370191773,3,2,9745394.64,[],9775182.66,9876512.4215608,0.9897403296593246,101329.76156079985,[],9745394.64,0.0030251704815946745,101329.76156079985,12567833.25,"[{'sid': Equity(4 [VWO]), 'amount': 13262, 'cost_basis': 44.837177385000004, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': -5889, 'cost_basis': 266.769378585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 41693, 'cost_basis': 83.94577191000002, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 70896, 'cost_basis': 120.99127540499998, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': -75141, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.2}]",29788.019999999553,-8.400308924777322,0.0613914012063268,6,-0.015327559843920114,1.5559489547175174,-8.466375491080667,0.0,0.0,2017-12,0.0,-0.012348757843920088,0.0,,,"[0.05953499302268028, -0.1579461693763733, 0.35706281661987305, 0.8608993291854858, -0.11955085396766663]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,-2808799.95,9788133.89,0.0,12596933.84,-2808799.95,1.557792650116935,3,2,9775182.66,[],9788133.89,9889463.6515608,0.9897537657115705,101329.76156079985,"[{'id': '67759304dc064ec1a06958b0664b0e3c', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 19961, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '61c26416322343e288fab83be4678459', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 11624, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7d297d2b8b784e4aa9fc4dfe0a56ffa1', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -17417, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '8c107db3ba4b40b3aebab0a1c6e08b7a', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -38289, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ef30bf181d494660abfe0b85f04eb477', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 130505, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",9775182.66,0.001311316125288009,101329.76156079985,12596933.84,"[{'sid': Equity(4 [VWO]), 'amount': 13262, 'cost_basis': 44.837177385000004, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': -5889, 'cost_basis': 266.769378585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 41693, 'cost_basis': 83.94577191000002, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 70896, 'cost_basis': 120.99127540499998, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -75141, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.44}]",12951.230000000447,-6.95308704972916,0.05958641220135912,7,-0.015327559843920114,1.557792650116935,-6.6844680107453325,0.0,0.0,2017-12,0.0,-0.01105363484392008,0.0,,,"[0.15279102325439453, 0.15496926009655, 0.20187480747699738, 0.3983279764652252, 0.0920369103550911]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,0.0,9920239.85,-95633.55033617653,9920239.85,0.0,0.9994261285596155,5,0,9788133.89,"[{'amount': 19961, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': '67759304dc064ec1a06958b0664b0e3c', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 11624, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.45366, 'order_id': '61c26416322343e288fab83be4678459', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -17417, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': '7d297d2b8b784e4aa9fc4dfe0a56ffa1', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -38289, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.41926000000001, 'order_id': '8c107db3ba4b40b3aebab0a1c6e08b7a', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 130505, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.48824, 'order_id': 'ef30bf181d494660abfe0b85f04eb477', 'sid': Equity(0 [DBC]), 'commission': None}]",9920239.85,9925936.061224619,0.9994261285596155,101329.76156079985,"[{'id': '67759304dc064ec1a06958b0664b0e3c', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 19961, 'filled': 19961, 'commission': 908.0804833349999, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '61c26416322343e288fab83be4678459', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 11624, 'filled': 11624, 'commission': 3108.88134384, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7d297d2b8b784e4aa9fc4dfe0a56ffa1', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -17417, 'filled': -17417, 'commission': 1436.358131665, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '8c107db3ba4b40b3aebab0a1c6e08b7a', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -38289, 'filled': -38289, 'commission': 4649.02204614, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ef30bf181d494660abfe0b85f04eb477', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 130505, 'filled': 130505, 'commission': 2151.7977612, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",9788133.89,0.003688006847374581,5696.211224619721,9920239.85,"[{'sid': Equity(4 [VWO]), 'amount': 33223, 'cost_basis': 45.258381551882884, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 5735, 'cost_basis': 267.9957491619599, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': 24276, 'cost_basis': 84.0049397354929, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 32607, 'cost_basis': 121.13385282844096, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': 55364, 'cost_basis': 16.527106370948633, 'last_sale_price': 16.48}]",36472.40966381878,-4.336004656151694,0.06259148607363002,8,-0.015327559843920114,1.557792650116935,-3.7120594483100833,0.0,0.0,2017-12,0.0,-0.007406393877538275,0.0,,,"[0.15279102325439453, 0.15496926009655, 0.20187480747699738, 0.3983279764652252, 0.0920369103550911]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,0.0,9943205.16,0.0,9943205.16,0.0,0.9994274532421143,5,0,9920239.85,[],9943205.16,9948901.37122462,0.9994274532421143,5696.211224619721,[],9920239.85,0.002313666928574598,5696.211224619721,9943205.16,"[{'sid': Equity(4 [VWO]), 'amount': 33223, 'cost_basis': 45.258381551882884, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 5735, 'cost_basis': 267.9957491619599, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': 24276, 'cost_basis': 84.0049397354929, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 32607, 'cost_basis': 121.13385282844096, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': 55364, 'cost_basis': 16.527106370948633, 'last_sale_price': 16.56}]",22965.31000000052,-2.8057095030148247,0.06100105740980476,9,-0.015327559843920114,1.557792650116935,-2.3236436406451446,0.0,0.0,2017-12,0.0,-0.005109862877538118,0.0,,,"[0.15279102325439453, 0.15496926009655, 0.20187480747699738, 0.3983279764652252, 0.0920369103550911]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,0.0,9953435.469999999,0.0,9953435.469999999,0.0,0.9994280413788124,5,0,9943205.16,[],9953435.469999999,9959131.681224618,0.9994280413788124,5696.211224619721,[],9943205.16,0.0010282853973795358,5696.211224619721,9953435.469999999,"[{'sid': Equity(4 [VWO]), 'amount': 33223, 'cost_basis': 45.258381551882884, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5735, 'cost_basis': 267.9957491619599, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': 24276, 'cost_basis': 84.0049397354929, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 32607, 'cost_basis': 121.13385282844096, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': 55364, 'cost_basis': 16.527106370948633, 'last_sale_price': 16.61}]",10230.309999998659,-2.1210641053307393,0.05806409924195763,10,-0.015327559843920114,1.557792650116935,-1.7507798540549322,0.0,0.0,2017-12,0.0,-0.004086831877538222,0.0,,,"[0.15279102325439453, 0.15496926009655, 0.20187480747699738, 0.3983279764652252, 0.0920369103550911]"
