,period_open,period_close,returns,starting_cash,pnl,starting_value,gross_leverage,shorts_count,starting_exposure,capital_used,short_exposure,transactions,net_leverage,ending_cash,ending_value,long_exposure,longs_count,short_value,orders,positions,portfolio_value,ending_exposure,long_value,algorithm_period_return,trading_days,max_leverage,algo_volatility,max_drawdown,excess_return,alpha,beta,sharpe,benchmark_period_return,benchmark_volatility,treasury_period_return,period_label,sortino,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,0,0.0,[],[],10000000.0,0.0,0.0,0.0,1,0.0,,0.0,0.0,,,,0.0,,0.0,2017-12,,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,0,0.0,"[{'id': 'f9032500d0e14572bf155908c4996a20', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -68118, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd9e80e0f75134249938ba91c8d58d1a8', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 37286, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1322f45ab0af4e578fd49dd08dd0b3e6', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -55731, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '57115a92e3e645e68447b9441cff8fa4', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 82353, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f25ec4fd55c042d9bea7f35fe4827e75', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -136381, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],10000000.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2017-12,,"[-0.3057824373245239, 1.0000265836715698, -0.47728288173675537, 1.0000221729278564, -0.21698348224163055]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,-0.0044731955671921675,10000000.0,-44731.95567192137,0.0,2.9951950190822347,3,0.0,-10048295.795671921,-9907202.71,"[{'amount': -68118, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': 'f9032500d0e14572bf155908c4996a20', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 37286, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': 'd9e80e0f75134249938ba91c8d58d1a8', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -55731, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.77809, 'order_id': '1322f45ab0af4e578fd49dd08dd0b3e6', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 82353, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': '57115a92e3e645e68447b9441cff8fa4', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -136381, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.021985, 'order_id': 'f25ec4fd55c042d9bea7f35fe4827e75', 'sid': Equity(0 [DBC]), 'commission': None}]",1.0048512802926926,-48295.7956719211,10003563.84,19910766.55,2,-9907202.71,"[{'id': 'f9032500d0e14572bf155908c4996a20', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -68118, 'filled': -68118, 'commission': 3048.1180385700004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd9e80e0f75134249938ba91c8d58d1a8', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 37286, 'filled': 37286, 'commission': 9966.68147031, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1322f45ab0af4e578fd49dd08dd0b3e6', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -55731, 'filled': -55731, 'commission': 4669.036733790001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '57115a92e3e645e68447b9441cff8fa4', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 82353, 'filled': 82353, 'commission': 9954.040462965002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f25ec4fd55c042d9bea7f35fe4827e75', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -136381, 'filled': -136381, 'commission': 2185.0943362850003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'sid': Equity(4 [VWO]), 'amount': -68118, 'cost_basis': 44.702867385000005, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 37286, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': -55731, 'cost_basis': 83.69431191, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 82353, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -136381, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.03}]",9955268.044328079,10003563.84,19910766.55,-0.0044731955671921675,3,2.9951950190822347,0.04099751456999806,-0.00447319556719222,0.0,,,-9.16515138991168,0.0,0.0,0.0,2017-12,-9.16515138991168,"[-0.3057824373245239, 1.0000265836715698, -0.47728288173675537, 1.0000221729278564, -0.21698348224163055]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,0.0006152220083608384,-48295.7956719211,6124.70000000298,10003563.84,2.9863995250000177,3,10003563.84,0.0,-9869505.010000002,[],1.0048482975133592,-48295.7956719211,10009688.540000003,19879193.550000004,2,-9869505.010000002,[],"[{'sid': Equity(4 [VWO]), 'amount': -68118, 'cost_basis': 44.702867385000005, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 37286, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': -55731, 'cost_basis': 83.69431191, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 82353, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': -136381, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.12}]",9961392.744328082,10009688.540000003,19879193.550000004,-0.0038607255671919694,4,2.9951950190822347,0.03741693311012726,-0.00447319556719222,0.0,,,-6.495784501926195,0.0,0.0,0.0,2017-12,-6.845601839673834,"[-0.3057824373245239, 1.0000265836715698, -0.47728288173675537, 1.0000221729278564, -0.21698348224163055]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,0.009767312914692017,-48295.7956719211,97296.03999999538,10009688.540000003,2.953063483411494,3,10009688.540000003,0.0,-9798480.98,[],1.0048014007300006,-48295.7956719211,10106984.579999998,19905465.56,2,-9798480.98,[],"[{'sid': Equity(4 [VWO]), 'amount': -68118, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 37286, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': -55731, 'cost_basis': 83.69431191, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 82353, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': -136381, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.13}]",10058688.784328077,10106984.579999998,19905465.56,0.005868878432807589,5,2.9951950190822347,0.0827929475070533,-0.00447319556719222,0.0,,,3.5972955729110367,0.0,0.0,0.0,2017-12,9.378563285117494,"[-0.3057824373245239, 1.0000265836715698, -0.47728288173675537, 1.0000221729278564, -0.21698348224163055]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,-0.006080110570204855,-48295.7956719211,-61157.93999999389,10106984.579999998,2.9782061634640655,3,10106984.579999998,0.0,-9864440.669999998,[],1.0048307723600893,-48295.7956719211,10045826.640000004,19910267.310000002,2,-9864440.669999998,[],"[{'sid': Equity(4 [VWO]), 'amount': -68118, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 37286, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': -55731, 'cost_basis': 83.69431191, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 82353, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': -136381, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.2}]",9997530.844328083,10045826.640000004,19910267.310000002,-0.00024691556719180774,6,2.9951950190822347,0.08774202882662084,-0.006080110570204836,0.0,,,-0.08174407519830383,0.0,0.0,0.0,2017-12,-0.14661846626681813,"[-0.3057824373245239, 1.0000265836715698, -0.47728288173675537, 1.0000221729278564, -0.21698348224163055]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,-0.0057756350942157475,-48295.7956719211,-57742.09000000544,10045826.640000004,3.0015668066395262,3,10045826.640000004,0.0,-9923427.72,[],1.004858835219299,-48295.7956719211,9988084.549999999,19911512.27,2,-9923427.72,"[{'id': 'f359fccf3fa14d3186a0cbf35ed0218b', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 117120, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5c8e550534554f2886e080657ba798c0', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -8411, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'cba8e55882014074896bef08e1d816b3', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -2060, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0d7078b277a34e109f74347688363abd', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -16056, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c7f55b01b669450fa04f511ef8edc632', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -61947, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'sid': Equity(4 [VWO]), 'amount': -68118, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 37286, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': -55731, 'cost_basis': 83.69431191, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 82353, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -136381, 'cost_basis': 16.005963015000003, 'last_sale_price': 16.44}]",9939788.754328078,9988084.549999999,19911512.27,-0.006021124567192393,7,3.0015668066395262,0.0872045470243505,-0.011820629164434668,0.0,,,-2.4548103787338187,0.0,0.0,0.0,2017-12,-3.753853888054549,"[0.22421501576900482, 0.7761840224266052, -0.4781540632247925, 0.8057823181152344, -0.32802727818489075]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,0.002427563635150287,-48295.7956719211,24129.469721082598,9988084.549999999,2.613181457787879,2,9988084.549999999,48249.36972108111,-8036780.85,"[{'amount': 117120, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': 'f359fccf3fa14d3186a0cbf35ed0218b', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -8411, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.18634, 'order_id': '5c8e550534554f2886e080657ba798c0', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -2060, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': 'cba8e55882014074896bef08e1d816b3', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -16056, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.41926000000001, 'order_id': '0d7078b277a34e109f74347688363abd', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -61947, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.47176, 'order_id': 'c7f55b01b669450fa04f511ef8edc632', 'sid': Equity(0 [DBC]), 'commission': None}]",1.0000046594070522,-46.425950840963765,9963964.65,18000745.5,3,-8036780.85,"[{'id': 'f359fccf3fa14d3186a0cbf35ed0218b', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 117120, 'filled': 117120, 'commission': 5328.1091232, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5c8e550534554f2886e080657ba798c0', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -8411, 'filled': -8411, 'commission': 2247.3043057399996, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'cba8e55882014074896bef08e1d816b3', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -2060, 'filled': -2060, 'commission': 169.8856147, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0d7078b277a34e109f74347688363abd', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -16056, 'filled': -16056, 'commission': 1949.5076385600003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c7f55b01b669450fa04f511ef8edc632', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -61947, 'filled': -61947, 'commission': 1020.3761167199999, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'sid': Equity(4 [VWO]), 'amount': 49002, 'cost_basis': 45.60146748282111, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 28875, 'cost_basis': 267.6487173055451, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': -57791, 'cost_basis': 83.64768607813517, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 66297, 'cost_basis': 121.02068107401308, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': -198328, 'cost_basis': 16.1463080480416, 'last_sale_price': 16.48}]",9963918.22404916,9963964.65,18000745.5,-0.003608177595084139,8,3.0015668066395262,0.08280421012025994,-0.011820629164434668,0.0,,,-1.3386220827590851,0.0,0.0,0.0,2017-12,-2.0779096526041503,"[0.22421501576900482, 0.7761840224266052, -0.4781540632247925, 0.8057823181152344, -0.32802727818489075]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,-0.0020008544381547866,-46.425950840963765,-19936.349999999627,9963964.65,2.624721051444564,2,9963964.65,0.0,-8078075.13,[],1.0000046687485384,-46.425950840963765,9944028.3,18022103.43,3,-8078075.13,[],"[{'sid': Equity(4 [VWO]), 'amount': 49002, 'cost_basis': 45.60146748282111, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 28875, 'cost_basis': 267.6487173055451, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': -57791, 'cost_basis': 83.64768607813517, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 66297, 'cost_basis': 121.02068107401308, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': -198328, 'cost_basis': 16.1463080480416, 'last_sale_price': 16.56}]",9943981.87404916,9944028.3,18022103.43,-0.005601812595084188,9,3.0015668066395262,0.07789543100598749,-0.011820629164434668,0.0,,,-1.9840896587621923,0.0,0.0,0.0,2017-12,-3.0071115840231424,"[0.22421501576900482, 0.7761840224266052, -0.4781540632247925, 0.8057823181152344, -0.32802727818489075]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,-0.00195353533886633,-46.425950840963765,-19425.920000001788,9944028.3,2.63024895228181,2,9944028.3,0.0,-8089725.260000001,[],1.0000046778869558,-46.425950840963765,9924602.379999999,18014327.64,3,-8089725.260000001,[],"[{'sid': Equity(4 [VWO]), 'amount': 49002, 'cost_basis': 45.60146748282111, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 28875, 'cost_basis': 267.6487173055451, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': -57791, 'cost_basis': 83.64768607813517, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 66297, 'cost_basis': 121.02068107401308, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': -198328, 'cost_basis': 16.1463080480416, 'last_sale_price': 16.61}]",9924555.954049159,9924602.379999999,18014327.64,-0.00754440459508432,10,3.0015668066395262,0.07374804758632098,-0.013335021408347457,0.0,,,-2.5536331321913663,0.0,0.0,0.0,2017-12,-3.7866290551139743,"[0.22421501576900482, 0.7761840224266052, -0.4781540632247925, 0.8057823181152344, -0.32802727818489075]"
