,period_open,period_close,starting_cash,shorts_count,long_exposure,ending_cash,longs_count,ending_value,capital_used,positions,orders,pnl,transactions,long_value,short_exposure,starting_value,short_value,ending_exposure,starting_exposure,returns,portfolio_value,net_leverage,gross_leverage,period_label,sortino,treasury_period_return,max_leverage,max_drawdown,algo_volatility,alpha,beta,sharpe,excess_return,trading_days,algorithm_period_return,benchmark_period_return,benchmark_volatility,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,10000000.0,0,0.0,10000000.0,0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,2017-12,,0.0,0.0,0.0,,,,,0.0,1,0.0,0.0,,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,10000000.0,0,0.0,10000000.0,0,0.0,0.0,[],"[{'id': '8a6508410a2946b293ec3e61b483cb6d', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -151889, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4e7f371fc0fa4ea994e0b3c8ef28299c', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 33635, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'bc518679d37f41a79f35d36ea8d9b27c', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 23931, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ca042141bd37418baee8a1ba58e93335', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 32369, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0a87a1175173437aad1482094bd91bda', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 114213, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,2017-12,,0.0,0.0,0.0,0.0,,,,0.0,2,0.0,0.0,0.0,"[-0.6818315982818604, 0.9021077156066895, 0.20495086908340454, 0.39305898547172546, 0.1817140430212021]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,10000000.0,1,16733492.650000002,31272.568518941265,4,9933422.120000001,-9968727.431481062,"[{'sid': Equity(4 [VWO]), 'amount': -151889, 'cost_basis': 44.702867385000005, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 33635, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 23931, 'cost_basis': 83.94577191, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 32369, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 114213, 'cost_basis': 16.054053015, 'last_sale_price': 16.03}]","[{'id': '8a6508410a2946b293ec3e61b483cb6d', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -151889, 'filled': -151889, 'commission': 6796.670494735001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4e7f371fc0fa4ea994e0b3c8ef28299c', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 33635, 'filled': 33635, 'commission': 8990.756081475, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'bc518679d37f41a79f35d36ea8d9b27c', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 23931, 'filled': 23931, 'commission': 2006.8993682100004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ca042141bd37418baee8a1ba58e93335', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 32369, 'filled': 32369, 'commission': 3912.4541394450002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0a87a1175173437aad1482094bd91bda', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 114213, 'filled': 114213, 'commission': 1831.7498071950004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-35305.3114810586,"[{'amount': -151889, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': '8a6508410a2946b293ec3e61b483cb6d', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 33635, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': '4e7f371fc0fa4ea994e0b3c8ef28299c', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 23931, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': 'bc518679d37f41a79f35d36ea8d9b27c', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 32369, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': 'ca042141bd37418baee8a1ba58e93335', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 114213, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.038015, 'order_id': '0a87a1175173437aad1482094bd91bda', 'sid': Equity(0 [DBC]), 'commission': None}]",16733492.650000002,-6800070.53,0.0,-6800070.53,9933422.120000001,0.0,-0.0035305311481058643,9964694.688518941,0.9968616631521112,2.3616943534772576,2017-12,-9.16515138991168,0.0,2.3616943534772576,-0.003530531148105922,0.03235785245918895,,,-9.165151389911678,0.0,3,-0.0035305311481058643,0.0,0.0,"[-0.6818315982818604, 0.9021077156066895, 0.20495086908340454, 0.39305898547172546, 0.1817140430212021]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,31272.568518941265,1,16705491.770000001,31272.568518941265,4,9896307.900000002,0.0,"[{'sid': Equity(4 [VWO]), 'amount': -151889, 'cost_basis': 44.702867385000005, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 33635, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 23931, 'cost_basis': 83.94577191, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 32369, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': 114213, 'cost_basis': 16.054053015, 'last_sale_price': 16.12}]",[],-37114.21999999881,[],16705491.770000001,-6809183.87,9933422.120000001,-6809183.87,9896307.900000002,9933422.120000001,-0.003724571716458236,9927580.468518943,0.9968499304923181,2.368621006353632,2017-12,-11.220959611891477,0.0,2.368621006353632,-0.007241953148105864,0.03327083170367888,,,-13.73790365502039,0.0,4,-0.007241953148105829,0.0,0.0,"[-0.6818315982818604, 0.9021077156066895, 0.20495086908340454, 0.39305898547172546, 0.1817140430212021]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,31272.568518941265,1,16689587.999999998,31272.568518941265,4,9845469.659999996,0.0,"[{'sid': Equity(4 [VWO]), 'amount': -151889, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 33635, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 23931, 'cost_basis': 83.94577191, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 32369, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': 114213, 'cost_basis': 16.054053015, 'last_sale_price': 16.13}]",[],-50838.24000000581,[],16689587.999999998,-6844118.340000001,9896307.900000002,-6844118.340000001,9845469.659999996,9896307.900000002,-0.005120909385848638,9876742.228518937,0.9968337162400936,2.3827397531998753,2017-12,-12.118950883673236,0.0,2.3827397531998753,-0.012325777148106454,0.03716776412969047,,,-16.782043042576657,0.0,5,-0.012325777148106454,0.0,0.0,"[-0.6818315982818604, 0.9021077156066895, 0.20495086908340454, 0.39305898547172546, 0.1817140430212021]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,31272.568518941265,1,16711543.03,31272.568518941265,4,9811225.76,0.0,"[{'sid': Equity(4 [VWO]), 'amount': -151889, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 33635, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 23931, 'cost_basis': 83.94577191, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 32369, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': 114213, 'cost_basis': 16.054053015, 'last_sale_price': 16.2}]",[],-34243.89999999665,[],16711543.03,-6900317.27,9845469.659999996,-6900317.27,9811225.76,9845469.659999996,-0.0034671250102202844,9842498.32851894,0.996822700144299,2.398970211819484,2017-12,-12.7764710117405,0.0,2.398970211819484,-0.015750167148106158,0.03385968676262781,,,-19.652035460677286,0.0,6,-0.015750167148106176,0.0,0.0,"[-0.6818315982818604, 0.9021077156066895, 0.20495086908340454, 0.39305898547172546, 0.1817140430212021]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,31272.568518941265,1,16743181.700000001,31272.568518941265,4,9835269.98,0.0,"[{'sid': Equity(4 [VWO]), 'amount': -151889, 'cost_basis': 44.702867385000005, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 33635, 'cost_basis': 267.57088858500003, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 23931, 'cost_basis': 83.94577191, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 32369, 'cost_basis': 120.99127540500001, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 114213, 'cost_basis': 16.054053015, 'last_sale_price': 16.44}]","[{'id': '043802e1c1404345bb30cdfc43fab064', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 209996, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '105f5e24a3ee4f3187e5adfff238d4cc', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -13049, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4e2010292f0345dd9aca941bde753976', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -27169, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5f4ec9266f4e4859b7fe6e60fa1a62d3', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 38326, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '66927fb0b563463990adbf00a69e340c', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -512671, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",24044.22000000067,[],16743181.700000001,-6907911.720000001,9811225.76,-6907911.720000001,9835269.98,9811225.76,0.0024428980526551847,9866542.54851894,0.9968304430488029,2.3971004334796335,2017-12,-10.00481091911431,0.0,2.398970211819484,-0.015750167148106158,0.04342442534833021,,,-11.109153606928553,0.0,7,-0.013345745148106047,0.0,0.0,"[0.26784923672676086, 0.5574538111686707, -0.02699614316225052, 0.8656190633773804, -0.6639260053634644]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,31272.568518941265,2,16733203.41,-36871.82159088248,3,9899448.190000001,-68144.39010982588,"[{'sid': Equity(4 [VWO]), 'amount': 58107, 'cost_basis': 45.65714363199029, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 20586, 'cost_basis': 267.74025196548484, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': -3238, 'cost_basis': 81.7767767069472, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 70695, 'cost_basis': 121.35504866292786, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': -398458, 'cost_basis': 16.45056681609866, 'last_sale_price': 16.48}]","[{'id': '043802e1c1404345bb30cdfc43fab064', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 209996, 'filled': 209996, 'commission': 9553.29237906, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '105f5e24a3ee4f3187e5adfff238d4cc', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -13049, 'filled': -13049, 'commission': 3486.5145506599997, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4e2010292f0345dd9aca941bde753976', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -27169, 'filled': -27169, 'commission': 2240.593332905, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5f4ec9266f4e4859b7fe6e60fa1a62d3', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 38326, 'filled': 38326, 'commission': 4658.1704012400005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '66927fb0b563463990adbf00a69e340c', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -512671, 'filled': -512671, 'commission': 8444.59367096, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-3966.18010982126,"[{'amount': 209996, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': '043802e1c1404345bb30cdfc43fab064', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -13049, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.18634, 'order_id': '105f5e24a3ee4f3187e5adfff238d4cc', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -27169, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': '4e2010292f0345dd9aca941bde753976', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 38326, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.54074, 'order_id': '5f4ec9266f4e4859b7fe6e60fa1a62d3', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -512671, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.47176, 'order_id': '66927fb0b563463990adbf00a69e340c', 'sid': Equity(0 [DBC]), 'commission': None}]",16733203.41,-6833755.22,9835269.98,-6833755.22,9899448.190000001,9835269.98,-0.0004019827705923351,9862576.36840912,1.0037385587916952,2.3895337029264963,2017-12,-9.627349153857473,0.0,2.398970211819484,-0.015750167148106158,0.041089456180529886,,,-10.581059783676935,0.0,8,-0.013742363159088167,0.0,0.0,"[0.26784923672676086, 0.5574538111686707, -0.02699614316225052, 0.8656190633773804, -0.6639260053634644]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,-36871.82159088248,2,16751653.65,-36871.82159088248,3,9884597.07,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 58107, 'cost_basis': 45.65714363199029, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 20586, 'cost_basis': 267.74025196548484, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': -3238, 'cost_basis': 81.7767767069472, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 70695, 'cost_basis': 121.35504866292786, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': -398458, 'cost_basis': 16.45056681609866, 'last_sale_price': 16.56}]",[],-14851.120000001043,[],16751653.65,-6867056.579999999,9899448.190000001,-6867056.579999999,9884597.07,9899448.190000001,-0.0015058053236040037,9847725.248409119,1.0037441968232041,2.3983924849868816,2017-12,-9.89522934144391,0.0,2.398970211819484,-0.015750167148106158,0.038453207813053135,,,-11.146658207156861,0.0,9,-0.015227475159088288,0.0,0.0,"[0.26784923672676086, 0.5574538111686707, -0.02699614316225052, 0.8656190633773804, -0.6639260053634644]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,-36871.82159088248,2,16754956.53,-36871.82159088248,3,9867879.91,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 58107, 'cost_basis': 45.65714363199029, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 20586, 'cost_basis': 267.74025196548484, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': -3238, 'cost_basis': 81.7767767069472, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 70695, 'cost_basis': 121.35504866292786, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': -398458, 'cost_basis': 16.45056681609866, 'last_sale_price': 16.61}]",[],-16717.16000000015,[],16754956.53,-6887076.62,9884597.07,-6887076.62,9867879.91,9884597.07,-0.0016975656385924687,9831008.088409118,1.0037505636511839,2.4048432202872716,2017-12,-10.21119788681237,0.0,2.4048432202872716,-0.01689919115908822,0.036254035849303555,,,-11.820503071399477,0.0,10,-0.016899191159088223,0.0,0.0,"[0.26784923672676086, 0.5574538111686707, -0.02699614316225052, 0.8656190633773804, -0.6639260053634644]"
