,period_open,period_close,returns,shorts_count,short_value,long_value,positions,short_exposure,capital_used,gross_leverage,transactions,ending_cash,ending_exposure,portfolio_value,net_leverage,starting_exposure,long_exposure,longs_count,pnl,starting_value,orders,starting_cash,ending_value,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,max_leverage,excess_return,treasury_period_return,trading_days,period_label,max_drawdown,sortino,sharpe,alpha,beta,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,0,0.0,0.0,[],0.0,0.0,0.0,[],10000000.0,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0,[],10000000.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1,2017-12,0.0,,,,,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,0,0.0,0.0,[],0.0,0.0,0.0,[],10000000.0,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0,"[{'id': '84c9086f63ad4b9cb7a788ca9186537f', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -30529, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a96b24b7cd7c4ce5b50b9dac1611101f', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 14928, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '24b442b5b6ca434097de89c7284012e9', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 1947, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '62ca32d60381494094a8cc27d9377116', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 59977, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1cfd8c4cdd8945eeb7ed69f20afa0ef5', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -5219, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2017-12,0.0,,,,,"[-0.1370481699705124, 0.40036964416503906, 0.016680685803294182, 0.7283014059066772, -0.008303545415401459]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,-0.0006423888285002066,2,-1450443.9000000001,11397332.67,"[{'sid': Equity(4 [VWO]), 'amount': -30529, 'cost_basis': 44.747615, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 14928, 'cost_basis': 267.303585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 1947, 'cost_basis': 83.86191000000001, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 59977, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -5219, 'cost_basis': 16.021985, 'last_sale_price': 16.03}]",-1450443.9000000001,-9953312.658285,1.2856035143354898,"[{'amount': -30529, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': '84c9086f63ad4b9cb7a788ca9186537f', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 14928, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': 'a96b24b7cd7c4ce5b50b9dac1611101f', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 1947, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': '24b442b5b6ca434097de89c7284012e9', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 59977, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': '62ca32d60381494094a8cc27d9377116', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -5219, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.021985, 'order_id': '1cfd8c4cdd8945eeb7ed69f20afa0ef5', 'sid': Equity(0 [DBC]), 'commission': None}]",46687.34171499903,9946888.77,9993576.111714998,0.995328264757971,0.0,11397332.67,3,-6423.88828500174,0.0,"[{'id': '84c9086f63ad4b9cb7a788ca9186537f', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -30529, 'filled': -30529, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a96b24b7cd7c4ce5b50b9dac1611101f', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 14928, 'filled': 14928, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '24b442b5b6ca434097de89c7284012e9', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 1947, 'filled': 1947, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '62ca32d60381494094a8cc27d9377116', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 59977, 'filled': 59977, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1cfd8c4cdd8945eeb7ed69f20afa0ef5', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -5219, 'filled': -5219, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",10000000.0,9946888.77,-0.0006423888285002066,0.005887590864392405,0.0,0.0,1.2856035143354898,0.0,0.0,3,2017-12,-0.0006423888285002022,-9.16515138991168,-9.16515138991168,,,"[-0.1370481699705124, 0.40036964416503906, 0.016680685803294182, 0.7283014059066772, -0.008303545415401459]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,-0.002548897383203741,2,-1452745.3499999999,11374161.520000001,"[{'sid': Equity(4 [VWO]), 'amount': -30529, 'cost_basis': 44.747615, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 14928, 'cost_basis': 267.303585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 1947, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 59977, 'cost_basis': 120.870405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': -5219, 'cost_basis': 16.021985, 'last_sale_price': 16.12}]",-1452745.3499999999,0.0,1.2867951115199792,[],46687.34171499903,9921416.170000002,9968103.511715,0.9953163265549831,9946888.77,11374161.520000001,3,-25472.599999997765,9946888.77,[],46687.34171499903,9921416.170000002,-0.0031896488285000357,0.019144999500910736,0.0,0.0,1.2867951115199792,0.0,0.0,4,2017-12,-0.003189648828499969,-9.636324642644823,-10.501490549936271,,,"[-0.1370481699705124, 0.40036964416503906, 0.016680685803294182, 0.7283014059066772, -0.008303545415401459]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,0.00022658974170397528,2,-1459819.21,11383494.05,"[{'sid': Equity(4 [VWO]), 'amount': -30529, 'cost_basis': 44.747615, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 14928, 'cost_basis': 267.303585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 1947, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 59977, 'cost_basis': 120.870405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': -5219, 'cost_basis': 16.021985, 'last_sale_price': 16.13}]",-1459819.21,0.0,1.288149118951146,[],46687.34171499903,9923674.84,9970362.181714999,0.9953173875869203,9921416.170000002,11383494.05,3,2258.669999998063,9921416.170000002,[],46687.34171499903,9923674.84,-0.0029637818285002115,0.01810494260819134,0.0,0.0,1.288149118951146,0.0,0.0,5,2017-12,-0.003189648828499969,-8.007019693723286,-8.253033733473158,,,"[-0.1370481699705124, 0.40036964416503906, 0.016680685803294182, 0.7283014059066772, -0.008303545415401459]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,-0.0006236252893001559,2,-1471480.27,11388937.34,"[{'sid': Equity(4 [VWO]), 'amount': -30529, 'cost_basis': 44.747615, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 14928, 'cost_basis': 267.303585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 1947, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 59977, 'cost_basis': 120.870405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': -5219, 'cost_basis': 16.021985, 'last_sale_price': 16.2}]",-1471480.27,0.0,1.2906695325370643,[],46687.34171499903,9917457.07,9964144.411714999,0.9953144655691554,9923674.84,11388937.34,3,-6217.769999999553,9923674.84,[],46687.34171499903,9917457.07,-0.0035855588285002016,0.01619477403206477,0.0,0.0,1.2906695325370643,0.0,0.0,6,2017-12,-0.0035855588285002684,-8.607969348290258,-9.306058460106252,,,"[-0.1370481699705124, 0.40036964416503906, 0.016680685803294182, 0.7283014059066772, -0.008303545415401459]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,0.00028488346642796536,2,-1474259.2800000003,11394554.969999999,"[{'sid': Equity(4 [VWO]), 'amount': -30529, 'cost_basis': 44.747615, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 14928, 'cost_basis': 267.303585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 1947, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 59977, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -5219, 'cost_basis': 16.021985, 'last_sale_price': 16.44}]",-1474259.2800000003,0.0,1.2911443923453427,[],46687.34171499903,9920295.689999998,9966983.031714996,0.9953158000202831,9917457.07,11394554.969999999,3,2838.619999997318,9917457.07,"[{'id': 'a76eaae501be41f3a6fa6559af3f9d07', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 39020, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '9a27bbe58acd4ca5a0272fce240e901a', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -6009, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'fbed2e2a19744c0da576810b7d20fa0f', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -9712, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6189a9b196fd47ffa37f272e3f84f8fb', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 647, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3eb3dc7c7b964c3696bd3849b3bab880', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 36390, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",46687.34171499903,9920295.689999998,-0.0033016968285003445,0.015704258224772366,0.0,0.0,1.2911443923453427,0.0,0.0,7,2017-12,-0.0035855588285002684,-7.336723248017534,-7.5727090602601,,,"[0.03874823823571205, 0.2390763908624649, -0.06407444179058075, 0.7348348498344421, 0.05141496658325195]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,0.004045090303827381,1,-640690.15,10648614.450000001,"[{'sid': Equity(4 [VWO]), 'amount': 8491, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 8919, 'cost_basis': 267.303585, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': -7765, 'cost_basis': 82.468745, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 60624, 'cost_basis': 120.87755904369557, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': 31171, 'cost_basis': 16.48824, 'last_sale_price': 16.48}]",-640690.15,-47311.26358000003,1.1281068993058367,"[{'amount': 39020, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': 'a76eaae501be41f3a6fa6559af3f9d07', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -6009, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.18634, 'order_id': '9a27bbe58acd4ca5a0272fce240e901a', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -9712, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': 'fbed2e2a19744c0da576810b7d20fa0f', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 647, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.54074, 'order_id': '6189a9b196fd47ffa37f272e3f84f8fb', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 36390, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.48824, 'order_id': '3eb3dc7c7b964c3696bd3849b3bab880', 'sid': Equity(0 [DBC]), 'commission': None}]",-623.9218650009716,10007924.3,10007300.378135,1.0000623466710727,9920295.689999998,10648614.450000001,4,40317.3464200031,9920295.689999998,"[{'id': 'a76eaae501be41f3a6fa6559af3f9d07', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 39020, 'filled': 39020, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9a27bbe58acd4ca5a0272fce240e901a', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -6009, 'filled': -6009, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'fbed2e2a19744c0da576810b7d20fa0f', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -9712, 'filled': -9712, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6189a9b196fd47ffa37f272e3f84f8fb', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 647, 'filled': 647, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3eb3dc7c7b964c3696bd3849b3bab880', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 36390, 'filled': 36390, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",46687.34171499903,10007924.3,0.0007300378134997842,0.02922495905473963,0.0,0.0,1.2911443923453427,0.0,0.0,8,2017-12,-0.0035855588285002684,1.5407782653969406,0.7993865209984129,,,"[0.03874823823571205, 0.2390763908624649, -0.06407444179058075, 0.7348348498344421, 0.05141496658325195]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,9.999000351657017e-05,1,-644106.75,10653031.680000002,"[{'sid': Equity(4 [VWO]), 'amount': 8491, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 8919, 'cost_basis': 267.303585, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': -7765, 'cost_basis': 82.468745, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 60624, 'cost_basis': 120.87755904369557, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': 31171, 'cost_basis': 16.48824, 'last_sale_price': 16.56}]",-644106.75,0.0,1.1287768444231845,[],-623.9218650009716,10008924.930000002,10008301.008135,1.000062340437652,10007924.3,10653031.680000002,4,1000.6300000008196,10007924.3,[],-623.9218650009716,10008924.930000002,0.0008301008134998789,0.027337473148877633,0.0,0.0,1.2911443923453427,0.0,0.0,9,2017-12,-0.0035855588285002684,1.6485081966959327,0.8620393068836942,,,"[0.03874823823571205, 0.2390763908624649, -0.06407444179058075, 0.7348348498344421, 0.05141496658325195]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,0.00038820475092049556,1,-644339.7000000001,10657149.9,"[{'sid': Equity(4 [VWO]), 'amount': 8491, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 8919, 'cost_basis': 267.303585, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': -7765, 'cost_basis': 82.468745, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 60624, 'cost_basis': 120.87755904369557, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': 31171, 'cost_basis': 16.48824, 'last_sale_price': 16.61}]",-644339.7000000001,0.0,1.128773405333122,[],-623.9218650009716,10012810.200000001,10012186.278135,1.0000623162461892,10008924.930000002,10657149.9,4,3885.269999999553,10008924.930000002,[],-623.9218650009716,10012810.200000001,0.0012186278135000173,0.02581643571647116,0.0,0.0,1.2911443923453427,0.0,0.0,10,2017-12,-0.0035855588285002684,2.2852618081437233,1.200480919529579,,,"[0.03874823823571205, 0.2390763908624649, -0.06407444179058075, 0.7348348498344421, 0.05141496658325195]"
