,period_open,period_close,capital_used,positions,starting_exposure,pnl,short_exposure,transactions,long_value,ending_value,starting_cash,starting_value,ending_exposure,ending_cash,portfolio_value,long_exposure,orders,returns,longs_count,shorts_count,short_value,gross_leverage,net_leverage,max_drawdown,max_leverage,algo_volatility,period_label,excess_return,treasury_period_return,algorithm_period_return,alpha,beta,benchmark_period_return,benchmark_volatility,sortino,trading_days,sharpe,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,[],0.0,0.0,0.0,[],0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0,0.0,[],0.0,0,0,0.0,0.0,0.0,0.0,0.0,,2017-12,0.0,0.0,0.0,,,0.0,,,1,,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,[],0.0,0.0,0.0,[],0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0,0.0,"[{'id': 'bd9df85036d74ebdbed679cab9fa663a', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 13262, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '844f4a010a2b4c5b90a46f2b8afef12e', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -5889, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7706896218ef4e17b2e3f2527eb47c8e', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 41693, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1f1112e49125487eafedf53eec18429a', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 70896, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'be7a79bef2ee4b0f93d1c644d0315325', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -75141, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2017-12,0.0,0.0,0.0,,,0.0,0.0,,2,,"[0.05953499302268028, -0.1579461693763733, 0.35706281661987305, 0.8608993291854858, -0.11955085396766663]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,-9883234.03356,"[{'sid': Equity(4 [VWO]), 'amount': 13262, 'cost_basis': 44.792385, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': -5889, 'cost_basis': 267.03641500000003, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 41693, 'cost_basis': 83.86191000000001, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 70896, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -75141, 'cost_basis': 16.021985, 'last_sale_price': 16.03}]",0.0,-7715.63356000185,-2777874.3600000003,"[{'amount': 13262, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.792385, 'order_id': 'bd9df85036d74ebdbed679cab9fa663a', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -5889, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.03641500000003, 'order_id': '844f4a010a2b4c5b90a46f2b8afef12e', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 41693, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': '7706896218ef4e17b2e3f2527eb47c8e', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 70896, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': '1f1112e49125487eafedf53eec18429a', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -75141, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.021985, 'order_id': 'be7a79bef2ee4b0f93d1c644d0315325', 'sid': Equity(0 [DBC]), 'commission': None}]",12653392.76,9875518.399999999,10000000.0,0.0,9875518.399999999,116765.96643999987,9992284.366439998,12653392.76,"[{'id': 'bd9df85036d74ebdbed679cab9fa663a', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 13262, 'filled': 13262, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '844f4a010a2b4c5b90a46f2b8afef12e', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -5889, 'filled': -5889, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7706896218ef4e17b2e3f2527eb47c8e', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 41693, 'filled': 41693, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1f1112e49125487eafedf53eec18429a', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 70896, 'filled': 70896, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'be7a79bef2ee4b0f93d1c644d0315325', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -75141, 'filled': -75141, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-0.0007715633560001489,3,2,-2777874.3600000003,1.5443182513727616,0.9883143871653444,-0.0007715633560000868,1.5443182513727616,0.007071494964649685,2017-12,0.0,0.0,-0.0007715633560001489,,,0.0,0.0,-9.16515138991168,3,-9.165151389911681,"[0.05953499302268028, -0.1579461693763733, 0.35706281661987305, 0.8608993291854858, -0.11955085396766663]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 13262, 'cost_basis': 44.792385, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': -5889, 'cost_basis': 267.03641500000003, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 41693, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 70896, 'cost_basis': 120.870405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': -75141, 'cost_basis': 16.021985, 'last_sale_price': 16.12}]",9875518.399999999,-68271.43999999762,-2783812.5900000003,[],12591059.55,9807246.96,116765.96643999987,9875518.399999999,9807246.96,116765.96643999987,9924012.92644,12591059.55,[],-0.006832415641541689,3,2,-2783812.5900000003,1.5492595841988048,0.9882339969420126,-0.007598707355999892,1.5492595841988048,0.05250767092946208,2017-12,0.0,0.0,-0.0075987073559998786,,,0.0,0.0,-8.777791233457174,4,-9.123441744134574,"[0.05953499302268028, -0.1579461693763733, 0.35706281661987305, 0.8608993291854858, -0.11955085396766663]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 13262, 'cost_basis': 44.792385, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': -5889, 'cost_basis': 267.03641500000003, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 41693, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 70896, 'cost_basis': 120.870405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': -75141, 'cost_basis': 16.021985, 'last_sale_price': 16.13}]",9807246.96,-61852.3200000003,-2787802.9499999997,[],12533197.59,9745394.64,116765.96643999987,9807246.96,9745394.64,116765.96643999987,9862160.60644,12533197.59,[],-0.006232591639941387,3,2,-2787802.9499999997,1.5535135911288416,0.9881602043305042,-0.013783939355999877,1.5535135911288416,0.05489474750456647,2017-12,0.0,0.0,-0.013783939355999864,,,0.0,0.0,-10.584872726769651,5,-12.703640909745396,"[0.05953499302268028, -0.1579461693763733, 0.35706281661987305, 0.8608993291854858, -0.11955085396766663]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 13262, 'cost_basis': 44.792385, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': -5889, 'cost_basis': 267.03641500000003, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 41693, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 70896, 'cost_basis': 120.870405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': -75141, 'cost_basis': 16.021985, 'last_sale_price': 16.2}]",9745394.64,29788.019999999553,-2792650.59,[],12567833.25,9775182.66,116765.96643999987,9745394.64,9775182.66,116765.96643999987,9891948.62644,12567833.25,[],0.00302043549975739,3,2,-2792650.59,1.552826891856601,0.9881958579801053,-0.013783939355999877,1.5535135911288416,0.06178725244157417,2017-12,0.0,0.0,-0.010805137355999861,,,0.0,0.0,-7.553333450794117,6,-7.352288017889267,"[0.05953499302268028, -0.1579461693763733, 0.35706281661987305, 0.8608993291854858, -0.11955085396766663]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 13262, 'cost_basis': 44.792385, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': -5889, 'cost_basis': 267.03641500000003, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 41693, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 70896, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -75141, 'cost_basis': 16.021985, 'last_sale_price': 16.44}]",9775182.66,12951.230000000447,-2808799.95,[],12596933.84,9788133.89,116765.96643999987,9775182.66,9788133.89,116765.96643999987,9904899.85644,12596933.84,"[{'id': '70caf6e436d04922b12966802f539a1b', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 20013, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '36e38f0ee2174bd089104d3436f76ae4', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 11633, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '28d7e050a0a84ed9b4eca846b10fbd84', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -17379, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '613d51865fa240078f6c2abc69caff25', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -38238, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5d9f327fd8854fa2b47ee641c5dae9de', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 130592, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0013092698404622016,3,2,-2808799.95,1.555364921734514,0.9882112925791895,-0.013783939355999877,1.555364921734514,0.05941398438983868,2017-12,0.0,0.0,-0.009510014355999963,,,0.0,0.0,-6.146536974136285,7,-5.760380392196418,"[0.15279102325439453, 0.15496926009655, 0.20187480747699738, 0.3983279764652252, 0.0920369103550911]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,-98912.78718000092,"[{'sid': Equity(4 [VWO]), 'amount': 33275, 'cost_basis': 45.21360527197596, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 5744, 'cost_basis': 267.45366, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': 24314, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 32658, 'cost_basis': 120.870405, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': 55451, 'cost_basis': 16.48824, 'last_sale_price': 16.48}]",9788133.89,48728.11281999946,0.0,"[{'amount': 20013, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': '70caf6e436d04922b12966802f539a1b', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 11633, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.45366, 'order_id': '36e38f0ee2174bd089104d3436f76ae4', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -17379, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': '28d7e050a0a84ed9b4eca846b10fbd84', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -38238, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.41926000000001, 'order_id': '613d51865fa240078f6c2abc69caff25', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 130592, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.48824, 'order_id': '5d9f327fd8854fa2b47ee641c5dae9de', 'sid': Equity(0 [DBC]), 'commission': None}]",9935774.790000001,9935774.790000001,116765.96643999987,9788133.89,9935774.790000001,17853.17925999919,9953627.96926,9935774.790000001,"[{'id': '70caf6e436d04922b12966802f539a1b', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 20013, 'filled': 20013, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '36e38f0ee2174bd089104d3436f76ae4', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 11633, 'filled': 11633, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '28d7e050a0a84ed9b4eca846b10fbd84', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -17379, 'filled': -17379, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '613d51865fa240078f6c2abc69caff25', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -38238, 'filled': -38238, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5d9f327fd8854fa2b47ee641c5dae9de', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 130592, 'filled': 130592, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",0.00491959671740827,5,0,0.0,0.998206364622514,0.998206364622514,-0.013783939355999877,1.555364921734514,0.06532335405559389,2017-12,0.0,0.0,-0.0046372030739999515,,,0.0,0.0,-2.7742867831739564,8,-2.2120566580593386,"[0.15279102325439453, 0.15496926009655, 0.20187480747699738, 0.3983279764652252, 0.0920369103550911]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 33275, 'cost_basis': 45.21360527197596, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 5744, 'cost_basis': 267.45366, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': 24314, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 32658, 'cost_basis': 120.870405, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': 55451, 'cost_basis': 16.48824, 'last_sale_price': 16.56}]",9935774.790000001,23001.300000000745,0.0,[],9958776.090000002,9958776.090000002,17853.17925999919,9935774.790000001,9958776.090000002,17853.17925999919,9976629.26926,9958776.090000002,[],0.002310845861532629,5,0,0.0,0.9982104998814572,0.9982104998814572,-0.013783939355999877,1.555364921734514,0.06298156773106021,2017-12,0.0,0.0,-0.0023370730739999956,,,0.0,0.0,-1.2979974355609714,9,-1.0120395285365755,"[0.15279102325439453, 0.15496926009655, 0.20187480747699738, 0.3983279764652252, 0.0920369103550911]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,0.0,"[{'sid': Equity(4 [VWO]), 'amount': 33275, 'cost_basis': 45.21360527197596, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 5744, 'cost_basis': 267.45366, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': 24314, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 32658, 'cost_basis': 120.870405, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': 55451, 'cost_basis': 16.48824, 'last_sale_price': 16.61}]",9958776.090000002,10246.309999998659,0.0,[],9969022.4,9969022.4,17853.17925999919,9958776.090000002,9969022.4,17853.17925999919,9986875.57926,9969022.4,[],0.0010270312470734844,5,0,0.0,0.9982123358683797,0.9982123358683797,-0.013783939355999877,1.555364921734514,0.059726220755718804,2017-12,0.0,0.0,-0.001312442074000164,,,0.0,0.0,-0.6758350557455391,10,-0.527149795803319,"[0.15279102325439453, 0.15496926009655, 0.20187480747699738, 0.3983279764652252, 0.0920369103550911]"
