,period_open,period_close,short_exposure,long_value,long_exposure,ending_exposure,starting_exposure,short_value,gross_leverage,orders,ending_value,shorts_count,starting_value,starting_cash,net_leverage,positions,capital_used,pnl,ending_cash,returns,transactions,portfolio_value,longs_count,benchmark_period_return,benchmark_volatility,trading_days,alpha,beta,algo_volatility,algorithm_period_return,treasury_period_return,max_drawdown,sortino,period_label,excess_return,sharpe,max_leverage,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,0,0.0,10000000.0,0.0,[],0.0,0.0,10000000.0,0.0,[],10000000.0,0,0.0,,1,,,,0.0,0.0,0.0,,2017-12,0.0,,0.0,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': 'be79630a390441a2b082963ef7944cab', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -44501, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f9a1731180c849d992f13d73988870b5', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 6363, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b4f0754f256d4f0ca97951640728cfc7', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 24643, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '576c39f8ee734aaca6bda87ec67fd33c', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 47441, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '78a3145206b54cc59dd9e91d69f3e72f', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 152084, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0,0.0,10000000.0,0.0,[],0.0,0.0,10000000.0,0.0,[],10000000.0,0,0.0,0.0,2,,,0.0,0.0,0.0,0.0,,2017-12,0.0,,0.0,"[-0.19976884126663208, 0.17067652940750122, 0.21104378998279572, 0.576082170009613, 0.24196620285511017]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,-1992309.7700000003,11934832.7,11934832.7,9942522.93,0.0,-1992309.7700000003,1.3936847493030906,"[{'id': 'be79630a390441a2b082963ef7944cab', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -44501, 'filled': -44501, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f9a1731180c849d992f13d73988870b5', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 6363, 'filled': 6363, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b4f0754f256d4f0ca97951640728cfc7', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 24643, 'filled': 24643, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '576c39f8ee734aaca6bda87ec67fd33c', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 47441, 'filled': 47441, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '78a3145206b54cc59dd9e91d69f3e72f', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 152084, 'filled': 152084, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",9942522.93,1,0.0,10000000.0,0.994945130128857,"[{'sid': Equity(4 [VWO]), 'amount': -44501, 'cost_basis': 44.747615, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 6363, 'cost_basis': 267.303585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 24643, 'cost_basis': 83.86191000000001, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 47441, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 152084, 'cost_basis': 16.038015, 'last_sale_price': 16.03}]",-9949486.501235,-6963.571235001087,50513.49876499828,-0.0006963571235001353,"[{'amount': -44501, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': 'be79630a390441a2b082963ef7944cab', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 6363, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': 'f9a1731180c849d992f13d73988870b5', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 24643, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': 'b4f0754f256d4f0ca97951640728cfc7', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 47441, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': '576c39f8ee734aaca6bda87ec67fd33c', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 152084, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.038015, 'order_id': '78a3145206b54cc59dd9e91d69f3e72f', 'sid': Equity(0 [DBC]), 'commission': None}]",9993036.428764999,4,0.0,0.0,3,,,0.006382218458322165,-0.0006963571235001353,0.0,-0.0006963571235002064,-9.165151389911681,2017-12,0.0,-9.16515138991168,1.3936847493030906,"[-0.19976884126663208, 0.17067652940750122, 0.21104378998279572, 0.576082170009613, 0.24196620285511017]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,-1994979.8299999998,11908544.610000001,11908544.610000001,9913564.780000001,9942522.93,-1994979.8299999998,1.3953648346611822,[],9913564.780000001,1,9942522.93,50513.49876499828,0.9949304393891956,"[{'sid': Equity(4 [VWO]), 'amount': -44501, 'cost_basis': 44.747615, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 6363, 'cost_basis': 267.303585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 24643, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 47441, 'cost_basis': 120.870405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': 152084, 'cost_basis': 16.038015, 'last_sale_price': 16.12}]",0.0,-28958.14999999851,50513.49876499828,-0.0028978329266009517,[],9964078.278765,4,0.0,0.0,4,,,0.021790710505395893,-0.003592172123499937,0.0,-0.003592172123499893,-9.572103763531475,2017-12,0.0,-10.391307483998657,1.3953648346611822,"[-0.19976884126663208, 0.17067652940750122, 0.21104378998279572, 0.576082170009613, 0.24196620285511017]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,-2005215.06,11877950.03,11877950.03,9872734.969999999,9913564.780000001,-2005215.06,1.3990544662566364,[],9872734.969999999,1,9913564.780000001,50513.49876499828,0.994909580373403,"[{'sid': Equity(4 [VWO]), 'amount': -44501, 'cost_basis': 44.747615, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 6363, 'cost_basis': 267.303585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 24643, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 47441, 'cost_basis': 120.870405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': 152084, 'cost_basis': 16.038015, 'last_sale_price': 16.13}]",0.0,-40829.810000002384,50513.49876499828,-0.0040977006460313214,[],9923248.468764998,4,0.0,0.0,5,,,0.02952878543281463,-0.007675153123500089,0.0,-0.007675153123500138,-10.7771973878185,2017-12,0.0,-13.128589117460402,1.3990544662566364,"[-0.19976884126663208, 0.17067652940750122, 0.21104378998279572, 0.576082170009613, 0.24196620285511017]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,-2021680.43,11906220.27,11906220.27,9884539.84,9872734.969999999,-2021680.43,1.4018949093766355,[],9884539.84,1,9872734.969999999,50513.49876499828,0.9949156288303049,"[{'sid': Equity(4 [VWO]), 'amount': -44501, 'cost_basis': 44.747615, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 6363, 'cost_basis': 267.303585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 24643, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 47441, 'cost_basis': 120.870405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': 152084, 'cost_basis': 16.038015, 'last_sale_price': 16.2}]",0.0,11804.870000001043,50513.49876499828,0.0011896174964436401,[],9935053.338764999,4,0.0,0.0,6,,,0.03178241122406612,-0.006494666123500026,0.0,-0.007675153123500138,-8.316628895890563,2017-12,0.0,-8.592660653139378,1.4018949093766355,"[-0.19976884126663208, 0.17067652940750122, 0.21104378998279572, 0.576082170009613, 0.24196620285511017]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,-2023905.4800000002,11958378.46,11958378.46,9934472.98,9884539.84,-2023905.4800000002,1.4003307835955539,"[{'id': '7c374843c74f4054b9624cdb54efa27c', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 80527, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'dc7a97bd45b24f8e8b5a8c16d0d30bbc', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 937, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a3c5c400411c4c86b806e0c74758aea4', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -15370, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '32b9d02efa6e49bc8a1ab204f2714a3c', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -15798, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '33e0a0874eb449598917083f789ba7fa', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -41948, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",9934472.98,1,9884539.84,50513.49876499828,0.9949410548654797,"[{'sid': Equity(4 [VWO]), 'amount': -44501, 'cost_basis': 44.747615, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 6363, 'cost_basis': 267.303585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 24643, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 47441, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 152084, 'cost_basis': 16.038015, 'last_sale_price': 16.44}]",0.0,49933.140000000596,50513.49876499828,0.005025955905558099,[],9984986.478765,4,0.0,0.0,7,,,0.046750162027735756,-0.0015013521234999994,0.0,-0.007675153123500138,-1.7481891578233404,2017-12,0.0,-1.136839323833209,1.4018949093766355,"[0.1640954613685608, 0.19535328447818756, 0.07636968046426773, 0.3828459680080414, 0.18133561313152313]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,0.0,10013686.37,10013686.37,10013686.37,9934472.98,0.0,0.9986835975904278,"[{'id': '7c374843c74f4054b9624cdb54efa27c', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 80527, 'filled': 80527, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'dc7a97bd45b24f8e8b5a8c16d0d30bbc', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 937, 'filled': 937, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a3c5c400411c4c86b806e0c74758aea4', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -15370, 'filled': -15370, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '32b9d02efa6e49bc8a1ab204f2714a3c', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -15798, 'filled': -15798, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '33e0a0874eb449598917083f789ba7fa', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -41948, 'filled': -41948, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",10013686.37,0,9934472.98,50513.49876499828,0.9986835975904278,"[{'sid': Equity(4 [VWO]), 'amount': 36026, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 7300, 'cost_basis': 267.3228480513699, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': 9273, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 31643, 'cost_basis': 120.870405, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': 110136, 'cost_basis': 16.038015, 'last_sale_price': 16.48}]",-37314.08215500042,41899.307844998315,13199.416609999258,0.004196230804528911,"[{'amount': 80527, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': '7c374843c74f4054b9624cdb54efa27c', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 937, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.45366, 'order_id': 'dc7a97bd45b24f8e8b5a8c16d0d30bbc', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -15370, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': 'a3c5c400411c4c86b806e0c74758aea4', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -15798, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.41926000000001, 'order_id': '32b9d02efa6e49bc8a1ab204f2714a3c', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -41948, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.47176, 'order_id': '33e0a0874eb449598917083f789ba7fa', 'sid': Equity(0 [DBC]), 'commission': None}]",10026885.786609998,5,0.0,0.0,8,,,0.049851491630635236,0.0026885786609998075,0.0,-0.007675153123500138,3.0127828878237395,2017-12,0.0,1.7186501902962794,1.4018949093766355,"[0.1640954613685608, 0.19535328447818756, 0.07636968046426773, 0.3828459680080414, 0.18133561313152313]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,0.0,10035986.65,10035986.65,10035986.65,10013686.37,0.0,0.9986865188362015,[],10035986.65,0,10013686.37,13199.416609999258,0.9986865188362015,"[{'sid': Equity(4 [VWO]), 'amount': 36026, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 7300, 'cost_basis': 267.3228480513699, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': 9273, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 31643, 'cost_basis': 120.870405, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': 110136, 'cost_basis': 16.038015, 'last_sale_price': 16.56}]",0.0,22300.280000001192,13199.416609999258,0.002224048470740758,[],10049186.06661,5,0.0,0.0,9,,,0.04768559361227127,0.00491860666100008,0.0,-0.007675153123500138,5.1631126755789,2017-12,0.0,2.902992811570424,1.4018949093766355,"[0.1640954613685608, 0.19535328447818756, 0.07636968046426773, 0.3828459680080414, 0.18133561313152313]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,0.0,10047387.24,10047387.24,10047387.24,10035986.65,0.0,0.9986880072643352,[],10047387.24,0,10035986.65,13199.416609999258,0.9986880072643352,"[{'sid': Equity(4 [VWO]), 'amount': 36026, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 7300, 'cost_basis': 267.3228480513699, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': 9273, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 31643, 'cost_basis': 120.870405, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': 110136, 'cost_basis': 16.038015, 'last_sale_price': 16.61}]",0.0,11400.589999999851,13199.416609999258,0.0011344789443077374,[],10060586.656609999,5,0.0,0.0,10,,,0.04505426740180866,0.006058665660999996,0.0,-0.007675153123500138,6.022127352000356,2017-12,0.0,3.3998269232784963,1.4018949093766355,"[0.1640954613685608, 0.19535328447818756, 0.07636968046426773, 0.3828459680080414, 0.18133561313152313]"
