,period_open,period_close,starting_exposure,long_value,portfolio_value,longs_count,long_exposure,capital_used,gross_leverage,orders,short_value,starting_value,ending_value,starting_cash,ending_cash,short_exposure,positions,returns,shorts_count,ending_exposure,net_leverage,transactions,pnl,sharpe,sortino,alpha,beta,max_drawdown,max_leverage,benchmark_period_return,benchmark_volatility,algo_volatility,trading_days,period_label,excess_return,algorithm_period_return,treasury_period_return,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,0.0,10000000.0,0,0.0,0.0,0.0,[],0.0,0.0,0.0,10000000.0,10000000.0,0.0,[],0.0,0,0.0,0.0,[],0.0,,,,,0.0,0.0,0.0,,,1,2017-12,0.0,0.0,0.0,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,0.0,10000000.0,0,0.0,0.0,0.0,"[{'id': 'e0c4da52f021499e90927597d6d3bbdb', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -21676, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e9047937028249e181e1911f5483d003', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 10433, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0efd865efed945a7a5afb06e6ed5b7e3', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 12716, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd1940f418f1e4392abab8791bf42d37e', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 52967, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'af01201961344eb08b8fd8439848bac7', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 41105, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,10000000.0,10000000.0,0.0,[],0.0,0,0.0,0.0,[],0.0,,,,,0.0,0.0,0.0,0.0,0.0,2,2017-12,0.0,0.0,0.0,[-0.0973079   0.27982421  0.10890512  0.64317995  0.06539862]
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,0.0,10911096.15,9994059.234665,4,10911096.15,-9946602.395335,1.188859340435785,"[{'id': 'e0c4da52f021499e90927597d6d3bbdb', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -21676, 'filled': -21676, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e9047937028249e181e1911f5483d003', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 10433, 'filled': 10433, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0efd865efed945a7a5afb06e6ed5b7e3', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 12716, 'filled': 12716, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd1940f418f1e4392abab8791bf42d37e', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 52967, 'filled': 52967, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'af01201961344eb08b8fd8439848bac7', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 41105, 'filled': 41105, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-970434.52,0.0,9940661.63,10000000.0,53397.60466499999,-970434.52,"[{'sid': Equity(4 [VWO]), 'amount': -21676, 'cost_basis': 44.747615, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 10433, 'cost_basis': 267.303585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 12716, 'cost_basis': 83.86191000000001, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 52967, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 41105, 'cost_basis': 16.038015, 'last_sale_price': 16.03}]",-0.0005940765334999654,1,9940661.63,0.9946570654214468,"[{'amount': -21676, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': 'e0c4da52f021499e90927597d6d3bbdb', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 10433, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': 'e9047937028249e181e1911f5483d003', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 12716, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': '0efd865efed945a7a5afb06e6ed5b7e3', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 52967, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': 'd1940f418f1e4392abab8791bf42d37e', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 41105, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.038015, 'order_id': 'af01201961344eb08b8fd8439848bac7', 'sid': Equity(0 [DBC]), 'commission': None}]",-5940.765334999189,-9.16515138991168,-9.16515138991168,,,-0.0005940765334999298,1.188859340435785,0.0,0.0,0.0054448013667211205,3,2017-12,0.0,-0.0005940765334999654,0.0,[-0.0973079   0.27982421  0.10890512  0.64317995  0.06539862]
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,9940661.63,10884051.02,9965713.544665,4,10884051.02,0.0,1.1896575239559062,[],-971735.08,9940661.63,9912315.94,53397.60466499999,53397.60466499999,-971735.08,"[{'sid': Equity(4 [VWO]), 'amount': -21676, 'cost_basis': 44.747615, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 10433, 'cost_basis': 267.303585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 12716, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 52967, 'cost_basis': 120.870405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': 41105, 'cost_basis': 16.038015, 'last_sale_price': 16.12}]",-0.0028362539519160013,1,9912315.94,0.9946418683995201,[],-28345.69000000134,-10.09533464693048,-9.395877574671736,,,-0.0034286455335001166,1.1896575239559062,0.0,0.0,0.02140699918718545,4,2017-12,0.0,-0.0034286455335000854,0.0,[-0.0973079   0.27982421  0.10890512  0.64317995  0.06539862]
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,9912315.94,10873816.63,9950493.674665,4,10873816.63,0.0,1.1909496731978948,[],-976720.56,9912315.94,9897096.07,53397.60466499999,53397.60466499999,-976720.56,"[{'sid': Equity(4 [VWO]), 'amount': -21676, 'cost_basis': 44.747615, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 10433, 'cost_basis': 267.303585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 12716, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 52967, 'cost_basis': 120.870405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': 41105, 'cost_basis': 16.038015, 'last_sale_price': 16.13}]",-0.001527223307371428,1,9897096.07,0.9946336728195752,[],-15219.86999999918,-13.055168160690817,-10.744579686799671,,,-0.00495063253349997,1.1909496731978948,0.0,0.0,0.019138835140309923,5,2017-12,0.0,-0.004950632533500032,0.0,[-0.0973079   0.27982421  0.10890512  0.64317995  0.06539862]
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,9897096.07,10887851.66,9956508.584665,4,10887851.66,0.0,1.192445347587622,[],-984740.68,9897096.07,9903110.98,53397.60466499999,53397.60466499999,-984740.68,"[{'sid': Equity(4 [VWO]), 'amount': -21676, 'cost_basis': 44.747615, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 10433, 'cost_basis': 267.303585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 12716, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 52967, 'cost_basis': 120.870405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': 41105, 'cost_basis': 16.038015, 'last_sale_price': 16.2}]",0.0006044835760576905,1,9903110.98,0.994636914716546,[],6014.910000000149,-9.141238112897721,-8.612456579730438,,,-0.00495063253349997,1.192445347587622,0.0,0.0,0.020000458017244652,6,2017-12,0.0,-0.004349141533499967,0.0,[-0.0973079   0.27982421  0.10890512  0.64317995  0.06539862]
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,9903110.98,10908066.58,9975639.704665,4,10908066.58,0.0,1.1922935683450908,"[{'id': '40d4f628b06e4caaba50775e80a4eab4', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 3502, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4d642890386649909fc480a8b1bade13', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 1745, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd2076206d40c45eb9785d26a9d7c40f4', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -12105, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '9ead261eb09a4c71b9eba055958c2d46', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 714, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd6c9891402004ba3aedf5219c2f4088e', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 20507, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-985824.4800000001,9903110.98,9922242.1,53397.60466499999,53397.60466499999,-985824.4800000001,"[{'sid': Equity(4 [VWO]), 'amount': -21676, 'cost_basis': 44.747615, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 10433, 'cost_basis': 267.303585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 12716, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 52967, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 41105, 'cost_basis': 16.038015, 'last_sale_price': 16.44}]",0.001921468739500165,1,9922242.1,0.9946471999545022,[],19131.11999999918,-3.617435067408366,-4.45400168072051,,,-0.00495063253349997,1.192445347587622,0.0,0.0,0.02419881809875247,7,2017-12,0.0,-0.0024360295335000837,0.0,[-0.08285592  0.32618065  0.00503043  0.65010728  0.10153756]
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,9922242.1,10842370.209999999,10016753.57218,4,10842370.209999999,-52642.462485002354,1.1649225376181904,"[{'id': '40d4f628b06e4caaba50775e80a4eab4', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 3502, 'filled': 3502, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4d642890386649909fc480a8b1bade13', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 1745, 'filled': 1745, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd2076206d40c45eb9785d26a9d7c40f4', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -12105, 'filled': -12105, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9ead261eb09a4c71b9eba055958c2d46', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 714, 'filled': 714, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd6c9891402004ba3aedf5219c2f4088e', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 20507, 'filled': 20507, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-826371.78,9922242.1,10015998.43,53397.60466499999,755.1421800000244,-826371.78,"[{'sid': Equity(4 [VWO]), 'amount': -18174, 'cost_basis': 44.747615, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 12178, 'cost_basis': 267.32508942396123, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': 611, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 53681, 'cost_basis': 120.8793209887111, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': 61612, 'cost_basis': 16.18786834147569, 'last_sale_price': 16.48}]",0.004121426668584727,1,10015998.43,0.9999246120836898,"[{'amount': 3502, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': '40d4f628b06e4caaba50775e80a4eab4', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 1745, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.45366, 'order_id': '4d642890386649909fc480a8b1bade13', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -12105, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': 'd2076206d40c45eb9785d26a9d7c40f4', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 714, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.54074, 'order_id': '9ead261eb09a4c71b9eba055958c2d46', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 20507, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.48824, 'order_id': 'd6c9891402004ba3aedf5219c2f4088e', 'sid': Equity(0 [DBC]), 'commission': None}]",41113.86751499958,1.58279006799401,2.895368096479154,,,-0.00495063253349997,1.192445347587622,0.0,0.0,0.03363016650410891,8,2017-12,0.0,0.0016753572179997178,0.0,[-0.08285592  0.32618065  0.00503043  0.65010728  0.10153756]
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,10015998.43,10849971.430000002,10020356.51218,4,10849971.430000002,0.0,1.165661269217542,[],-830370.0599999999,10015998.43,10019601.370000001,755.1421800000244,755.1421800000244,-830370.0599999999,"[{'sid': Equity(4 [VWO]), 'amount': -18174, 'cost_basis': 44.747615, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 12178, 'cost_basis': 267.32508942396123, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': 611, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 53681, 'cost_basis': 120.8793209887111, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': 61612, 'cost_basis': 16.18786834147569, 'last_sale_price': 16.56}]",0.00035969138843627846,1,10019601.370000001,0.999924639190324,[],3602.940000001341,1.823648127462077,3.31083226793087,,,-0.00495063253349997,1.192445347587622,0.0,0.0,0.03146794788423592,9,2017-12,0.0,0.0020356512179997566,0.0,[-0.08285592  0.32618065  0.00503043  0.65010728  0.10153756]
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,10019601.370000001,10849359.540000001,10015746.34218,4,10849359.540000001,0.0,1.1665359206228612,[],-834368.3400000001,10019601.370000001,10014991.200000001,755.1421800000244,755.1421800000244,-834368.3400000001,"[{'sid': Equity(4 [VWO]), 'amount': -18174, 'cost_basis': 44.747615, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 12178, 'cost_basis': 267.32508942396123, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': 611, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 53681, 'cost_basis': 120.8793209887111, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': 61612, 'cost_basis': 16.18786834147569, 'last_sale_price': 16.61}]",-0.00046008043669854004,1,10014991.200000001,0.9999246045023306,[],-4610.1699999999255,1.3410042843670538,2.4121701023527726,,,-0.00495063253349997,1.192445347587622,0.0,0.0,0.0298685032351309,10,2017-12,0.0,0.0015746342179998596,0.0,[-0.08285592  0.32618065  0.00503043  0.65010728  0.10153756]
