,period_open,period_close,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,returns,long_exposure,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algorithm_period_return,algo_volatility,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,1,2017-12,0.0,,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,0.0,0.0,"[{'id': 'f4817b4e27d944ad8d7fc09b5c8dadf4', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -29506, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ddfd4a3b697b4570961159ca600e74df', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 12003, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '52bcd520c12140d1bac55f692035c44b', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 16346, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'bdce280803bb4422893a768f32b44146', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 47526, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0508564d246c408f81c5669eea83f33b', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 58714, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2,2017-12,0.0,0.0,"[-0.13245245814323425, 0.32193106412887573, 0.1399938315153122, 0.577113151550293, 0.09341443330049515]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,-6290.374165002257,-1320983.62,-9945071.464165,"[{'id': 'f4817b4e27d944ad8d7fc09b5c8dadf4', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -29506, 'filled': -29506, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ddfd4a3b697b4570961159ca600e74df', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 12003, 'filled': 12003, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '52bcd520c12140d1bac55f692035c44b', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 16346, 'filled': 16346, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'bdce280803bb4422893a768f32b44146', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 47526, 'filled': 47526, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0508564d246c408f81c5669eea83f33b', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 58714, 'filled': 58714, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -29506, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': 'f4817b4e27d944ad8d7fc09b5c8dadf4', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 12003, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': 'ddfd4a3b697b4570961159ca600e74df', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 16346, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': '52bcd520c12140d1bac55f692035c44b', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 47526, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': 'bdce280803bb4422893a768f32b44146', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 58714, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.038015, 'order_id': '0508564d246c408f81c5669eea83f33b', 'sid': Equity(0 [DBC]), 'commission': None}]",1.258866707261254,"[{'sid': Equity(4 [VWO]), 'amount': -29506, 'cost_basis': 44.747615, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 12003, 'cost_basis': 267.303585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 16346, 'cost_basis': 83.86191000000001, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 47526, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 58714, 'cost_basis': 16.038015, 'last_sale_price': 16.03}]",0.9945036890312482,0.0,9938781.09,0.0,9938781.09,10000000.0,54928.53583499824,9993709.625834998,4,1,11259764.71,-1320983.62,-0.0006290374165002222,11259764.71,0.0,0.0,,,-9.16515138991168,-9.165151389911678,-0.0006290374165001822,1.258866707261254,0.0,0.0,3,2017-12,-0.0006290374165002222,0.005765223152143464,"[-0.13245245814323425, 0.32193106412887573, 0.1399938315153122, 0.577113151550293, 0.09341443330049515]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,-29230.460000000894,-1322753.98,0.0,[],[],1.2599814181003328,"[{'sid': Equity(4 [VWO]), 'amount': -29506, 'cost_basis': 44.747615, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 12003, 'cost_basis': 267.303585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 16346, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 47526, 'cost_basis': 120.870405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': 58714, 'cost_basis': 16.038015, 'last_sale_price': 16.12}]",0.9944875657903596,9938781.09,9909550.629999999,9938781.09,9909550.629999999,54928.53583499824,54928.53583499824,9964479.165834997,4,1,11232304.61,-1322753.98,-0.00292488586264672,11232304.61,0.0,0.0,,,-10.149746944383844,-9.428685448024769,-0.003552083416500409,1.2599814181003328,0.0,0.0,4,2017-12,-0.0035520834165003734,0.022059384121901317,"[-0.13245245814323425, 0.32193106412887573, 0.1399938315153122, 0.577113151550293, 0.09341443330049515]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,-22097.449999997392,-1329540.36,0.0,[],[],1.2619243817623125,"[{'sid': Equity(4 [VWO]), 'amount': -29506, 'cost_basis': 44.747615, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 12003, 'cost_basis': 267.303585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 16346, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 47526, 'cost_basis': 120.870405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': 58714, 'cost_basis': 16.038015, 'last_sale_price': 16.13}]",0.9944753141244301,9909550.629999999,9887453.180000002,9909550.629999999,9887453.180000002,54928.53583499824,54928.53583499824,9942381.715835,4,1,11216993.540000001,-1329540.36,-0.002217622178965706,11216993.540000001,0.0,0.0,,,-13.651954237003435,-11.002534652291953,-0.005761828416500094,1.2619243817623125,0.0,0.0,5,2017-12,-0.005761828416500081,0.02130727118176497,"[-0.13245245814323425, 0.32193106412887573, 0.1399938315153122, 0.577113151550293, 0.09341443330049515]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,5783.64999999851,-1340457.58,0.0,[],[],1.2639669253170471,"[{'sid': Equity(4 [VWO]), 'amount': -29506, 'cost_basis': 44.747615, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 12003, 'cost_basis': 267.303585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 16346, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 47526, 'cost_basis': 120.870405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': 58714, 'cost_basis': 16.038015, 'last_sale_price': 16.2}]",0.9944785260583183,9887453.180000002,9893236.83,9887453.180000002,9893236.83,54928.53583499824,54928.53583499824,9948165.365834998,4,1,11233694.41,-1340457.58,0.0005817167521124933,11233694.41,0.0,0.0,,,-9.849230538528568,-9.031565278672996,-0.005761828416500094,1.2639669253170471,0.0,0.0,6,2017-12,-0.0051834634165002225,0.02213094767142802,"[-0.13245245814323425, 0.32193106412887573, 0.1399938315153122, 0.577113151550293, 0.09341443330049515]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,23081.11999999918,-1341932.8800000001,0.0,"[{'id': 'f89423efe3b64f01a6d7a2e461e67776', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -3187, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e4d3f202710142f4a7811c06ca4c2b5a', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -12197, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'fb646d3d05e34ff1b7265dedb1d5c183', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 8080, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4f1defbf17e945b38d2edaefe8dc07db', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 35009, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'bfb863c0494541dcbe594b1f3ebb7e54', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -87285, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],1.2636518140334443,"[{'sid': Equity(4 [VWO]), 'amount': -29506, 'cost_basis': 44.747615, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 12003, 'cost_basis': 267.303585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 16346, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 47526, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 58714, 'cost_basis': 16.038015, 'last_sale_price': 16.44}]",0.9944913069882458,9893236.83,9916317.95,9893236.83,9916317.95,54928.53583499824,54928.53583499824,9971246.485834997,4,1,11258250.83,-1341932.8800000001,0.0023201383522701846,11258250.83,0.0,0.0,,,-3.71488104683239,-4.623508330440484,-0.005761828416500094,1.2639669253170471,0.0,0.0,7,2017-12,-0.0028753514165003047,0.027809464537866823,"[-0.14912016689777374, -0.005225165281444788, 0.2014600932598114, 0.9999914765357971, -0.04710622504353523]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,35578.1270750016,-2009260.87,-80584.11292500049,"[{'id': 'f89423efe3b64f01a6d7a2e461e67776', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -3187, 'filled': -3187, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e4d3f202710142f4a7811c06ca4c2b5a', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -12197, 'filled': -12197, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'fb646d3d05e34ff1b7265dedb1d5c183', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 8080, 'filled': 8080, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4f1defbf17e945b38d2edaefe8dc07db', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 35009, 'filled': 35009, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'bfb863c0494541dcbe594b1f3ebb7e54', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -87285, 'filled': -87285, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -3187, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.447265, 'order_id': 'f89423efe3b64f01a6d7a2e461e67776', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -12197, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.18634, 'order_id': 'e4d3f202710142f4a7811c06ca4c2b5a', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 8080, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.55125500000001, 'order_id': 'fb646d3d05e34ff1b7265dedb1d5c183', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 35009, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.54074, 'order_id': '4f1defbf17e945b38d2edaefe8dc07db', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -87285, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.47176, 'order_id': 'bfb863c0494541dcbe594b1f3ebb7e54', 'sid': Equity(0 [DBC]), 'commission': None}]",1.4041419204921939,"[{'sid': Equity(4 [VWO]), 'amount': -32693, 'cost_basis': 44.8158187301563, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': -194, 'cost_basis': 267.18634, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': 24426, 'cost_basis': 83.4283518079096, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 82535, 'cost_basis': 121.15474204507181, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': -28571, 'cost_basis': 16.47176, 'last_sale_price': 16.48}]",1.0025638080092765,9916317.95,10032480.190000001,9916317.95,10032480.190000001,54928.53583499824,-25655.57709000213,10006824.612909999,2,3,12041741.06,-2009260.87,0.003568072168865122,12041741.06,0.0,0.0,,,0.6455343542279909,1.0525277515851377,-0.005761828416500094,1.4041419204921939,0.0,0.0,8,2017-12,0.0006824612909999139,0.03407878609817198,"[-0.14912016689777374, -0.005225165281444788, 0.2014600932598114, 0.9999914765357971, -0.04710622504353523]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,-5440.20000000298,-2018845.71,0.0,[],[],1.406278453995324,"[{'sid': Equity(4 [VWO]), 'amount': -32693, 'cost_basis': 44.8158187301563, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': -194, 'cost_basis': 267.18634, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': 24426, 'cost_basis': 83.4283518079096, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 82535, 'cost_basis': 121.15474204507181, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': -28571, 'cost_basis': 16.47176, 'last_sale_price': 16.56}]",1.0025652025790435,10032480.190000001,10027039.989999998,10032480.190000001,10027039.989999998,-25655.57709000213,-25655.57709000213,10001384.412909996,2,3,12045885.7,-2018845.71,-0.0005436489806149858,12045885.7,0.0,0.0,,,0.1351709760762577,0.21755436748838686,-0.005761828416500094,1.406278453995324,0.0,0.0,9,2017-12,0.00013844129099971347,0.032052142348372364,"[-0.14912016689777374, -0.005225165281444788, 0.2014600932598114, 0.9999914765357971, -0.04710622504353523]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,5513.310000002384,-2027270.7800000003,0.0,[],[],1.4077384670124802,"[{'sid': Equity(4 [VWO]), 'amount': -32693, 'cost_basis': 44.8158187301563, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': -194, 'cost_basis': 267.18634, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': 24426, 'cost_basis': 83.4283518079096, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 82535, 'cost_basis': 121.15474204507181, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': -28571, 'cost_basis': 16.47176, 'last_sale_price': 16.61}]",1.0025637892781962,10027039.989999998,10032553.3,10027039.989999998,10032553.3,-25655.57709000213,-25655.57709000213,10006897.722909998,2,3,12059824.08,-2027270.7800000003,0.0005512546835901855,12059824.08,0.0,0.0,,,0.5864274840584877,0.9416805546105464,-0.005761828416500094,1.4077384670124802,0.0,0.0,10,2017-12,0.0006897722909999793,0.030337741562273833,"[-0.14912016689777374, -0.005225165281444788, 0.2014600932598114, 0.9999914765357971, -0.04710622504353523]"
