,period_open,period_close,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,returns,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algorithm_period_return,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,1,2017-12,0.0,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,0.0,0.0,0.0,"[{'id': '0a4cfaec6d164c9fbb3f72e7d030b8a7', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -151889, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1830b677670244e3819967e027cb2b2a', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 33635, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1c0941f026764602ab7d912d15c05a23', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 23931, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '24f2f0262ec1486e8ac2552debbdbb54', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 32369, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '662cf0ef91344612b82f0ef30032454b', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 114213, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2,2017-12,0.0,"[-0.6818315982818604, 0.9021077156066895, 0.20495086908340454, 0.39305898547172546, 0.1817140430212021]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,16733492.650000002,-11766.781589997932,-6800070.53,-9945188.90159,"[{'id': '0a4cfaec6d164c9fbb3f72e7d030b8a7', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -151889, 'filled': -151889, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1830b677670244e3819967e027cb2b2a', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 33635, 'filled': 33635, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1c0941f026764602ab7d912d15c05a23', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 23931, 'filled': 23931, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '24f2f0262ec1486e8ac2552debbdbb54', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 32369, 'filled': 32369, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '662cf0ef91344612b82f0ef30032454b', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 114213, 'filled': 114213, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -151889, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': '0a4cfaec6d164c9fbb3f72e7d030b8a7', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 33635, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': '1830b677670244e3819967e027cb2b2a', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 23931, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': '1c0941f026764602ab7d912d15c05a23', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 32369, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': '24f2f0262ec1486e8ac2552debbdbb54', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 114213, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.038015, 'order_id': '662cf0ef91344612b82f0ef30032454b', 'sid': Equity(0 [DBC]), 'commission': None}]",2.356128723208392,"[{'sid': Equity(4 [VWO]), 'amount': -151889, 'cost_basis': 44.747615, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 33635, 'cost_basis': 267.303585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 23931, 'cost_basis': 83.86191000000001, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 32369, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 114213, 'cost_basis': 16.038015, 'last_sale_price': 16.03}]",0.9945124330588342,0.0,9933422.120000001,0.0,9933422.120000001,10000000.0,54811.09841000126,9988233.218410002,4,1,16733492.650000002,-6800070.53,-0.0011766781589997999,0.010784433464435732,0.0,0.0,,,-9.165151389911681,-9.16515138991168,-0.0011766781589997778,2.356128723208392,0.0,0.0,3,2017-12,-0.0011766781589997999,"[-0.6818315982818604, 0.9021077156066895, 0.20495086908340454, 0.39305898547172546, 0.1817140430212021]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,16705491.770000001,-37114.21999999881,-6809183.87,0.0,[],[],2.3630182338043784,"[{'sid': Equity(4 [VWO]), 'amount': -151889, 'cost_basis': 44.747615, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 33635, 'cost_basis': 267.303585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 23931, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 32369, 'cost_basis': 120.870405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': 114213, 'cost_basis': 16.038015, 'last_sale_price': 16.12}]",0.9944919663387848,9933422.120000001,9896307.900000002,9933422.120000001,9896307.900000002,54811.09841000126,54811.09841000126,9951118.998410003,4,1,16705491.770000001,-6809183.87,-0.003715794293988939,0.02781080135739958,0.0,0.0,,,-11.082951568969493,-9.963123052463317,-0.00488810015899972,2.3630182338043784,0.0,0.0,4,2017-12,-0.004888100158999653,"[-0.6818315982818604, 0.9021077156066895, 0.20495086908340454, 0.39305898547172546, 0.1817140430212021]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,16689587.999999998,-50838.24000000581,-6844118.340000001,0.0,[],[],2.3770746420508133,"[{'sid': Equity(4 [VWO]), 'amount': -151889, 'cost_basis': 44.747615, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 33635, 'cost_basis': 267.303585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 23931, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 32369, 'cost_basis': 120.870405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': 114213, 'cost_basis': 16.038015, 'last_sale_price': 16.13}]",0.9944636824199717,9896307.900000002,9845469.659999996,9896307.900000002,9845469.659999996,54811.09841000126,54811.09841000126,9900280.758409997,4,1,16689587.999999998,-6844118.340000001,-0.005108796308046282,0.036620276539040875,0.0,0.0,,,-13.764613301562116,-11.04943431706876,-0.00997192415900031,2.3770746420508133,0.0,0.0,5,2017-12,-0.009971924159000278,"[-0.6818315982818604, 0.9021077156066895, 0.20495086908340454, 0.39305898547172546, 0.1817140430212021]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,16711543.03,-34243.89999999665,-6900317.27,0.0,[],[],2.3932467148521535,"[{'sid': Equity(4 [VWO]), 'amount': -151889, 'cost_basis': 44.747615, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 33635, 'cost_basis': 267.303585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 23931, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 32369, 'cost_basis': 120.870405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': 114213, 'cost_basis': 16.038015, 'last_sale_price': 16.2}]",0.9944444664867353,9845469.659999996,9811225.76,9845469.659999996,9811225.76,54811.09841000126,54811.09841000126,9866036.85841,4,1,16711543.03,-6900317.27,-0.0034588817060473565,0.034090977316015604,0.0,0.0,,,-16.58287218864433,-11.953439645603382,-0.013396314159000014,2.3932467148521535,0.0,0.0,6,2017-12,-0.013396314159,"[-0.6818315982818604, 0.9021077156066895, 0.20495086908340454, 0.39305898547172546, 0.1817140430212021]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,16743181.700000001,24044.22000000067,-6907911.720000001,0.0,"[{'id': '4148933aab8d4470863d71085816739a', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 210135, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a7b470f1c96d4f7eae745a090cfeb633', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -13000, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0492aa5779324be7b34b19f5b9218981', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -27177, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e469bfe06d254d8ca9637d9063515942', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 38494, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0a29b27a88834aca8a3f84a0c03c8f62', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -513621, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],2.391395301261,"[{'sid': Equity(4 [VWO]), 'amount': -151889, 'cost_basis': 44.747615, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 33635, 'cost_basis': 267.303585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 23931, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 32369, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': 114213, 'cost_basis': 16.038015, 'last_sale_price': 16.44}]",0.9944579727936049,9811225.76,9835269.98,9811225.76,9835269.98,54811.09841000126,54811.09841000126,9890081.078410001,4,1,16743181.700000001,-6907911.720000001,0.0024370697520255113,0.04191809027664658,0.0,0.0,,,-9.466817384167182,-9.063012333087153,-0.013396314159000014,2.3932467148521535,0.0,0.0,7,2017-12,-0.010991892158999983,"[0.26784923672676086, 0.5574538111686707, -0.02699614316225052, 0.8656190633773804, -0.6639260053634644]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,16773031.06,24402.011040002108,-6850071.3,-63287.768959999084,"[{'id': '4148933aab8d4470863d71085816739a', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 210135, 'filled': 210135, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a7b470f1c96d4f7eae745a090cfeb633', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -13000, 'filled': -13000, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0492aa5779324be7b34b19f5b9218981', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -27177, 'filled': -27177, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e469bfe06d254d8ca9637d9063515942', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 38494, 'filled': 38494, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0a29b27a88834aca8a3f84a0c03c8f62', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -513621, 'filled': -513621, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 210135, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': '4148933aab8d4470863d71085816739a', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -13000, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.18634, 'order_id': 'a7b470f1c96d4f7eae745a090cfeb633', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -27177, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': '0492aa5779324be7b34b19f5b9218981', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 38494, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.54074, 'order_id': 'e469bfe06d254d8ca9637d9063515942', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -513621, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.47176, 'order_id': '0a29b27a88834aca8a3f84a0c03c8f62', 'sid': Equity(0 [DBC]), 'commission': None}]",2.3826862325416975,"[{'sid': Equity(4 [VWO]), 'amount': 58246, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 20635, 'cost_basis': 267.303585, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': -3246, 'cost_basis': 82.468745, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 70863, 'cost_basis': 121.23454249756574, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': -399408, 'cost_basis': 16.47176, 'last_sale_price': 16.48}]",1.0008549785675682,9835269.98,9922959.760000002,9835269.98,9922959.760000002,54811.09841000126,-8476.67054999806,9914483.089450004,3,2,16773031.06,-6850071.3,0.002467321637359632,0.04495286309740623,0.0,0.0,,,-5.995311363449358,-6.580094893496481,-0.013396314159000014,2.3932467148521535,0.0,0.0,8,2017-12,-0.008551691054999755,"[0.26784923672676086, 0.5574538111686707, -0.02699614316225052, 0.8656190633773804, -0.6639260053634644]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,16791525.39,-14886.550000000745,-6883452.18,0.0,[],[],2.3915093383508057,"[{'sid': Equity(4 [VWO]), 'amount': 58246, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 20635, 'cost_basis': 267.303585, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': -3246, 'cost_basis': 82.468745, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 70863, 'cost_basis': 121.23454249756574, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': -399408, 'cost_basis': 16.47176, 'last_sale_price': 16.56}]",1.0008562642443273,9922959.760000002,9908073.21,9922959.760000002,9908073.21,-8476.67054999806,-8476.67054999806,9899596.539450003,3,2,16791525.39,-6883452.18,-0.0015014953241325735,0.042111649225849104,0.0,0.0,,,-6.687059956758476,-7.142881206136865,-0.013396314159000014,2.3932467148521535,0.0,0.0,9,2017-12,-0.010040346054999816,"[0.26784923672676086, 0.5574538111686707, -0.02699614316225052, 0.8656190633773804, -0.6639260053634644]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,16794836.240000002,-16756.929999999702,-6903519.96,0.0,[],[],2.397929859889617,"[{'sid': Equity(4 [VWO]), 'amount': 58246, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 20635, 'cost_basis': 267.303585, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': -3246, 'cost_basis': 82.468745, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 70863, 'cost_basis': 121.23454249756574, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': -399408, 'cost_basis': 16.47176, 'last_sale_price': 16.61}]",1.0008577160902108,9908073.21,9891316.280000001,9908073.21,9891316.280000001,-8476.67054999806,-8476.67054999806,9882839.609450003,3,2,16794836.240000002,-6903519.96,-0.0016926881750405354,0.039808109115195514,0.0,0.0,,,-7.438146636914894,-7.7200908197635885,-0.013396314159000014,2.397929859889617,0.0,0.0,10,2017-12,-0.011716039054999738,"[0.26784923672676086, 0.5574538111686707, -0.02699614316225052, 0.8656190633773804, -0.6639260053634644]"
