,period_open,period_close,gross_leverage,capital_used,starting_cash,short_exposure,returns,shorts_count,transactions,long_exposure,longs_count,starting_exposure,positions,ending_exposure,ending_value,short_value,portfolio_value,net_leverage,starting_value,orders,pnl,ending_cash,long_value,excess_return,period_label,treasury_period_return,alpha,beta,algorithm_period_return,algo_volatility,max_leverage,sortino,trading_days,benchmark_period_return,benchmark_volatility,max_drawdown,sharpe,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,0.0,0.0,10000000.0,0.0,0.0,0,[],0.0,0,0.0,[],0.0,0.0,0.0,10000000.0,0.0,0.0,[],0.0,10000000.0,0.0,0.0,2017-12,0.0,,,0.0,,0.0,,1,0.0,,0.0,,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,0.0,0.0,10000000.0,0.0,0.0,0,[],0.0,0,0.0,[],0.0,0.0,0.0,10000000.0,0.0,0.0,"[{'id': '67e4cf11c10c4c99957c1532076f21d6', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -26289, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '8bf21c71b3c9440c9e408e800fb8bde9', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 23315, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4a217c2101d14ffd87479cf54792dab2', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 22184, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1e7fab73926748469ad4276dd019ee50', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 35640, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '08fa975e6a8542129f1b8d2f4538268f', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -81751, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,10000000.0,0.0,0.0,2017-12,0.0,,,0.0,0.0,0.0,,2,0.0,0.0,0.0,,"[-0.11801372468471527, 0.6253113746643066, 0.1899903267621994, 0.43277838826179504, -0.1300664097070694]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,1.4892708276397548,-9914213.583445,10000000.0,-2487427.06,-0.0007440813444997696,2,"[{'amount': -26289, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': '67e4cf11c10c4c99957c1532076f21d6', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 23315, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': '8bf21c71b3c9440c9e408e800fb8bde9', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 22184, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': '4a217c2101d14ffd87479cf54792dab2', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 35640, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': '1e7fab73926748469ad4276dd019ee50', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -81751, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.021985, 'order_id': '08fa975e6a8542129f1b8d2f4538268f', 'sid': Equity(0 [DBC]), 'commission': None}]",12394199.830000002,3,0.0,"[{'sid': Equity(4 [VWO]), 'amount': -26289, 'cost_basis': 44.747615, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 23315, 'cost_basis': 267.303585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 22184, 'cost_basis': 83.86191000000001, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 35640, 'cost_basis': 120.87040499999999, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -81751, 'cost_basis': 16.021985, 'last_sale_price': 16.03}]",9906772.770000001,9906772.770000001,-2487427.06,9992559.186555002,0.9914149703841209,0.0,"[{'id': '67e4cf11c10c4c99957c1532076f21d6', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -26289, 'filled': -26289, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '8bf21c71b3c9440c9e408e800fb8bde9', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 23315, 'filled': 23315, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4a217c2101d14ffd87479cf54792dab2', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 22184, 'filled': 22184, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1e7fab73926748469ad4276dd019ee50', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 35640, 'filled': 35640, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '08fa975e6a8542129f1b8d2f4538268f', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -81751, 'filled': -81751, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-7440.813444998115,85786.41655500093,12394199.830000002,0.0,2017-12,0.0,,,-0.0007440813444997696,0.006819618168749416,1.4892708276397548,-9.165151389911678,3,0.0,0.0,-0.0007440813444998185,-9.16515138991168,"[-0.11801372468471527, 0.6253113746643066, 0.1899903267621994, 0.43277838826179504, -0.1300664097070694]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,1.493286624920446,0.0,85786.41655500093,-2496361.99,-0.004515590966997829,2,[],12358012.450000003,3,9906772.770000001,"[{'sid': Equity(4 [VWO]), 'amount': -26289, 'cost_basis': 44.747615, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 23315, 'cost_basis': 267.303585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 22184, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 35640, 'cost_basis': 120.87040499999999, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': -81751, 'cost_basis': 16.021985, 'last_sale_price': 16.12}]",9861650.460000003,9861650.460000003,-2496361.99,9947436.876555003,0.9913760280543031,9906772.770000001,[],-45122.30999999866,85786.41655500093,12358012.450000003,0.0,2017-12,0.0,,,-0.005256312344499636,0.03432735312079906,1.493286624920446,-9.122143059913855,4,0.0,0.0,-0.005256312344499605,-9.652924723274891,"[-0.11801372468471527, 0.6253113746643066, 0.1899903267621994, 0.43277838826179504, -0.1300664097070694]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,1.4959928202728143,0.0,85786.41655500093,-2503225.9699999997,-0.002673718901669009,2,[],12338279.78,3,9861650.460000003,"[{'sid': Equity(4 [VWO]), 'amount': -26289, 'cost_basis': 44.747615, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 23315, 'cost_basis': 267.303585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 22184, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 35640, 'cost_basis': 120.87040499999999, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': -81751, 'cost_basis': 16.021985, 'last_sale_price': 16.13}]",9835053.809999999,9835053.809999999,-2503225.9699999997,9920840.226555,0.9913529081614099,9861650.460000003,[],-26596.650000004098,85786.41655500093,12338279.78,0.0,2017-12,0.0,,,-0.007915977344500114,0.031254294089273056,1.4959928202728143,-10.62613048164191,5,0.0,0.0,-0.007915977344500079,-12.79321542190355,"[-0.11801372468471527, 0.6253113746643066, 0.1899903267621994, 0.43277838826179504, -0.1300664097070694]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,1.4991803794998821,0.0,85786.41655500093,-2518675.4699999997,-0.00014624870140700352,2,[],12352278.37,3,9835053.809999999,"[{'sid': Equity(4 [VWO]), 'amount': -26289, 'cost_basis': 44.747615, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 23315, 'cost_basis': 267.303585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 22184, 'cost_basis': 83.86191000000001, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 35640, 'cost_basis': 120.87040499999999, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': -81751, 'cost_basis': 16.021985, 'last_sale_price': 16.2}]",9833602.899999999,9833602.899999999,-2518675.4699999997,9919389.316554999,0.9913516433504805,9835053.809999999,[],-1450.910000000149,85786.41655500093,12352278.37,0.0,2017-12,0.0,,,-0.008061068344500155,0.02947215438801494,1.4991803794998821,-9.87534765890383,6,0.0,0.0,-0.0080610683445002,-11.514084513281752,"[-0.11801372468471527, 0.6253113746643066, 0.1899903267621994, 0.43277838826179504, -0.1300664097070694]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,1.5040923604626542,0.0,85786.41655500093,-2539610.16,-0.0013708152352992498,2,[],12359615.41,3,9833602.899999999,"[{'sid': Equity(4 [VWO]), 'amount': -26289, 'cost_basis': 44.747615, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 23315, 'cost_basis': 267.303585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 22184, 'cost_basis': 83.86191000000001, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 35640, 'cost_basis': 120.87040499999999, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -81751, 'cost_basis': 16.021985, 'last_sale_price': 16.44}]",9820005.25,9820005.25,-2539610.16,9905791.666555,0.9913397717776923,9833602.899999999,"[{'id': '7ff3ce25a5d646aebb3ce885b4a60442', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 9040, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5716b806eb31416bad50dd4f5c5f3cd0', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -12691, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd247e60af04c4cc0a6036658f36f5df3', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 16744, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5b2ae078a7c847869018eca5990b315e', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 10696, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'bffd5edd42c540b3ad84194744be4aef', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 24104, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-13597.64999999851,85786.41655500093,12359615.41,0.0,2017-12,0.0,,,-0.009420833344499946,0.026904665051931086,1.5040923604626542,-10.353574092092837,7,0.0,0.0,-0.009420833344499897,-12.645256305504681,"[-0.079191654920578, 0.28655481338500977, 0.32319414615631104, 0.5651143789291382, -0.09567175805568695]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,1.350670611410923,-100062.9891800005,85786.41655500093,-1734334.59,0.0026702975098202852,2,"[{'amount': 9040, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': '7ff3ce25a5d646aebb3ce885b4a60442', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -12691, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.18634, 'order_id': '5716b806eb31416bad50dd4f5c5f3cd0', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 16744, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.55125500000001, 'order_id': 'd247e60af04c4cc0a6036658f36f5df3', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 10696, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.54074, 'order_id': '5b2ae078a7c847869018eca5990b315e', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 24104, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.48824, 'order_id': 'bffd5edd42c540b3ad84194744be4aef', 'sid': Equity(0 [DBC]), 'commission': None}]",11680854.24,3,9820005.25,"[{'sid': Equity(4 [VWO]), 'amount': -17249, 'cost_basis': 44.747615, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 10624, 'cost_basis': 267.303585, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': 38928, 'cost_basis': 83.29816135326759, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 46336, 'cost_basis': 121.02514220562846, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': -57647, 'cost_basis': 16.021985, 'last_sale_price': 16.48}]",9946519.65,9946519.65,-1734334.59,9932243.077375,1.001437396619654,9820005.25,"[{'id': '7ff3ce25a5d646aebb3ce885b4a60442', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 9040, 'filled': 9040, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5716b806eb31416bad50dd4f5c5f3cd0', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -12691, 'filled': -12691, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd247e60af04c4cc0a6036658f36f5df3', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 16744, 'filled': 16744, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5b2ae078a7c847869018eca5990b315e', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 10696, 'filled': 10696, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'bffd5edd42c540b3ad84194744be4aef', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 24104, 'filled': 24104, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",26451.410819999874,-14276.572624999448,11680854.24,0.0,2017-12,0.0,,,-0.006775692262499966,0.0336094734538941,1.5040923604626542,-6.9483452296230155,8,0.0,0.0,-0.009420833344499897,-6.35460611885637,"[-0.079191654920578, 0.28655481338500977, 0.32319414615631104, 0.5651143789291382, -0.09567175805568695]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,1.3519786000557368,0.0,-14276.572624999448,-1742741.13,0.0010932173040281157,2,[],11700118.88,3,9946519.65,"[{'sid': Equity(4 [VWO]), 'amount': -17249, 'cost_basis': 44.747615, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 10624, 'cost_basis': 267.303585, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': 38928, 'cost_basis': 83.29816135326759, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 46336, 'cost_basis': 121.02514220562846, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': -57647, 'cost_basis': 16.021985, 'last_sale_price': 16.56}]",9957377.75,9957377.75,-1742741.13,9943101.177375,1.001435826948788,9946519.65,[],10858.099999999627,-14276.572624999448,11700118.88,0.0,2017-12,0.0,,,-0.005689882262500001,0.03307352417701572,1.5040923604626542,-5.4947002759104056,9,0.0,0.0,-0.009420833344499897,-4.814555853087588,"[-0.079191654920578, 0.28655481338500977, 0.32319414615631104, 0.5651143789291382, -0.09567175805568695]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,1.3536355646046352,0.0,-14276.572624999448,-1749418.26,-0.0008876274959448427,2,[],11697970.24,3,9957377.75,"[{'sid': Equity(4 [VWO]), 'amount': -17249, 'cost_basis': 44.747615, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 10624, 'cost_basis': 267.303585, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': 38928, 'cost_basis': 83.29816135326759, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 46336, 'cost_basis': 121.02514220562846, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': -57647, 'cost_basis': 16.021985, 'last_sale_price': 16.61}]",9948551.98,9948551.98,-1749418.26,9934275.407375,1.001437102560535,9957377.75,[],-8825.769999999553,-14276.572624999448,11697970.24,0.0,2017-12,0.0,,,-0.006572459262499941,0.031208435483345197,1.5040923604626542,-5.948717100863194,10,0.0,0.0,-0.009420833344499897,-5.308792536365475,"[-0.079191654920578, 0.28655481338500977, 0.32319414615631104, 0.5651143789291382, -0.09567175805568695]"
