,period_open,period_close,ending_cash,portfolio_value,returns,capital_used,pnl,ending_exposure,transactions,shorts_count,orders,starting_value,starting_exposure,starting_cash,positions,long_exposure,longs_count,short_exposure,gross_leverage,net_leverage,ending_value,short_value,long_value,trading_days,algorithm_period_return,excess_return,sharpe,benchmark_period_return,benchmark_volatility,algo_volatility,alpha,beta,sortino,max_leverage,period_label,max_drawdown,treasury_period_return,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,10000000.0,10000000.0,0.0,0.0,0.0,0.0,[],0,[],0.0,0.0,10000000.0,[],0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,,0.0,,,,,,0.0,2017-12,0.0,0.0,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,10000000.0,10000000.0,0.0,0.0,0.0,0.0,[],0,"[{'id': '75028b6d1ee34c07b4f6c02f912d05a8', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -26880, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'dc1487575c6b439ab01b773168abfe29', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 15837, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e5c02b49b2a14f969b31c4a659b14205', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 3500, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c6063956c2a446b0b3824c5a5871d2ce', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 61831, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c9ba650af1724b4aaae7135258d03a26', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -53358, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,10000000.0,[],0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,,0.0,0.0,0.0,,,,0.0,2017-12,0.0,0.0,"[-0.12066516280174255, 0.4247640073299408, 0.029977327212691307, 0.7508179545402527, -0.08489412814378738]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,57375.39463000116,9992973.454630002,-0.0007026545369998027,-9942624.60537,-7026.545369997621,9935598.06,"[{'amount': -26880, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': '75028b6d1ee34c07b4f6c02f912d05a8', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 15837, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': 'dc1487575c6b439ab01b773168abfe29', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 3500, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.86191000000001, 'order_id': 'e5c02b49b2a14f969b31c4a659b14205', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 61831, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': 'c6063956c2a446b0b3824c5a5871d2ce', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -53358, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.021985, 'order_id': 'c9ba650af1724b4aaae7135258d03a26', 'sid': Equity(0 [DBC]), 'commission': None}]",2,"[{'id': '75028b6d1ee34c07b4f6c02f912d05a8', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -26880, 'filled': -26880, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'dc1487575c6b439ab01b773168abfe29', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 15837, 'filled': 15837, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e5c02b49b2a14f969b31c4a659b14205', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 3500, 'filled': 3500, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c6063956c2a446b0b3824c5a5871d2ce', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 61831, 'filled': 61831, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c9ba650af1724b4aaae7135258d03a26', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -53358, 'filled': -53358, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",0.0,0.0,10000000.0,"[{'sid': Equity(4 [VWO]), 'amount': -26880, 'cost_basis': 44.747615, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 15837, 'cost_basis': 267.303585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': 3500, 'cost_basis': 83.86191000000002, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 61831, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -53358, 'cost_basis': 16.021985, 'last_sale_price': 16.03}]",11994344.4,3,-2058746.3400000003,1.4062972151185733,0.9942584261941156,9935598.06,-2058746.3400000003,11994344.4,3,-0.0007026545369998027,0.0,-9.16515138991168,0.0,0.0,0.00643993520641149,,,-9.16515138991168,1.4062972151185733,2017-12,-0.0007026545369997451,0.0,"[-0.12066516280174255, 0.4247640073299408, 0.029977327212691307, 0.7508179545402527, -0.08489412814378738]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,57375.39463000116,9961160.334630003,-0.0031835489351029755,0.0,-31813.11999999918,9903784.940000001,[],2,[],9935598.06,9935598.06,57375.39463000116,"[{'sid': Equity(4 [VWO]), 'amount': -26880, 'cost_basis': 44.747615, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 15837, 'cost_basis': 267.303585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': 3500, 'cost_basis': 83.86191000000002, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 61831, 'cost_basis': 120.870405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': -53358, 'cost_basis': 16.021985, 'last_sale_price': 16.12}]",11968946.3,3,-2065161.3599999999,1.408882819726371,0.9942400892363377,9903784.940000001,-2065161.3599999999,11968946.3,4,-0.003883966536999739,0.0,-10.204320346239266,0.0,0.0,0.023992858949465047,,,-9.461404021112518,1.408882819726371,2017-12,-0.0038839665369997077,0.0,"[-0.12066516280174255, 0.4247640073299408, 0.029977327212691307, 0.7508179545402527, -0.08489412814378738]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,57375.39463000116,9961952.874630002,7.956302010758698e-05,0.0,792.5399999991059,9904577.48,[],2,[],9903784.940000001,9903784.940000001,57375.39463000116,"[{'sid': Equity(4 [VWO]), 'amount': -26880, 'cost_basis': 44.747615, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 15837, 'cost_basis': 267.303585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': 3500, 'cost_basis': 83.86191000000002, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 61831, 'cost_basis': 120.870405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': -53358, 'cost_basis': 16.021985, 'last_sale_price': 16.13}]",11976454.82,3,-2071877.3399999999,1.4101986163553069,0.9942405474757746,9904577.48,-2071877.3399999999,11976454.82,5,-0.003804712536999877,0.0,-8.689957264995503,0.0,0.0,0.022077747097028668,,,-8.289281810350118,1.4101986163553069,2017-12,-0.0038839665369997077,0.0,"[-0.12066516280174255, 0.4247640073299408, 0.029977327212691307, 0.7508179545402527, -0.08489412814378738]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,57375.39463000116,9954688.414630001,-0.0007292204742808117,0.0,-7264.460000000894,9897313.02,[],2,[],9904577.48,9904577.48,57375.39463000116,"[{'sid': Equity(4 [VWO]), 'amount': -26880, 'cost_basis': 44.747615, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 15837, 'cost_basis': 267.303585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': 3500, 'cost_basis': 83.86191000000002, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 61831, 'cost_basis': 120.870405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': -53358, 'cost_basis': 16.021985, 'last_sale_price': 16.2}]",11982871.02,3,-2085558.0,1.4132465461524844,0.9942363445001775,9897313.02,-2085558.0,11982871.02,6,-0.004531158536999924,0.0,-9.646841944592214,0.0,0.0,0.019748033604964917,,,-8.799198979095662,1.4132465461524844,2017-12,-0.004531158536999982,0.0,"[-0.12066516280174255, 0.4247640073299408, 0.029977327212691307, 0.7508179545402527, -0.08489412814378738]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,57375.39463000116,9946798.614630003,-0.0007925712660582507,0.0,-7889.799999998882,9889423.22,[],2,"[{'id': '85f2e4ff2af84aa0bbc6dd5f74069089', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 59743, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5501835347294015b6ebe383022a4a8c', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -11655, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '08ad56ccbdab463fa77455acdcfba445', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 303, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7b13e64385754746b9072f82032108dd', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -11597, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '851c8d15c43741999fd5b231ea9ed7ae', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 111355, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",9897313.02,9897313.02,57375.39463000116,"[{'sid': Equity(4 [VWO]), 'amount': -26880, 'cost_basis': 44.747615, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 15837, 'cost_basis': 267.303585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': 3500, 'cost_basis': 83.86191000000002, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 61831, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -53358, 'cost_basis': 16.021985, 'last_sale_price': 16.44}]",11989131.14,3,-2099707.92,1.4164194537202934,0.9942317727690181,9889423.22,-2099707.92,11989131.14,7,-0.005320138536999752,0.0,-10.639874364714485,0.0,0.0,0.018028742854350483,,,-9.311483130315992,1.4164194537202934,2017-12,-0.005320138536999792,0.0,"[0.15026186406612396, 0.11231150478124619, 0.0314481221139431, 0.6101203560829163, 0.09585816413164139]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,597.882980001159,9984813.142980002,0.0038217852620527903,-56777.511649997905,38014.52834999934,9984215.26,"[{'amount': 59743, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': '85f2e4ff2af84aa0bbc6dd5f74069089', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -11655, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.18634, 'order_id': '5501835347294015b6ebe383022a4a8c', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 303, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.55125500000001, 'order_id': '08ad56ccbdab463fa77455acdcfba445', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -11597, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.41926000000001, 'order_id': '7b13e64385754746b9072f82032108dd', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 111355, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.48824, 'order_id': '851c8d15c43741999fd5b231ea9ed7ae', 'sid': Equity(0 [DBC]), 'commission': None}]",0,"[{'id': '85f2e4ff2af84aa0bbc6dd5f74069089', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 59743, 'filled': 59743, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5501835347294015b6ebe383022a4a8c', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -11655, 'filled': -11655, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '08ad56ccbdab463fa77455acdcfba445', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 303, 'filled': 303, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7b13e64385754746b9072f82032108dd', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -11597, 'filled': -11597, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '851c8d15c43741999fd5b231ea9ed7ae', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 111355, 'filled': 111355, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",9889423.22,9889423.22,57375.39463000116,"[{'sid': Equity(4 [VWO]), 'amount': 32863, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 4182, 'cost_basis': 267.303585, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': 3803, 'cost_basis': 83.75748495003945, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 50234, 'cost_basis': 120.870405, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': 57997, 'cost_basis': 16.48824, 'last_sale_price': 16.48}]",9984215.26,5,0.0,0.9999401207642606,0.9999401207642606,9984215.26,0.0,9984215.26,8,-0.0015186857019997557,0.0,-1.5477718997963796,0.0,0.0,0.03066303136147498,,,-2.4628328340413206,1.4164194537202934,2017-12,-0.005320138536999792,0.0,"[0.15026186406612396, 0.11231150478124619, 0.0314481221139431, 0.6101203560829163, 0.09585816413164139]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,597.882980001159,9996637.462980002,0.0011842304738884923,0.0,11824.320000000298,9996039.580000002,[],0,[],9984215.26,9984215.26,597.882980001159,"[{'sid': Equity(4 [VWO]), 'amount': 32863, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 4182, 'cost_basis': 267.303585, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': 3803, 'cost_basis': 83.75748495003945, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 50234, 'cost_basis': 120.870405, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': 57997, 'cost_basis': 16.48824, 'last_sale_price': 16.56}]",9996039.580000002,5,0.0,0.9999401915912011,0.9999401915912011,9996039.580000002,0.0,9996039.580000002,9,-0.0003362537019998557,0.0,-0.30511328800730425,0.0,0.0,0.029587897786959288,,,-0.4968947212302763,1.4164194537202934,2017-12,-0.005320138536999792,0.0,"[0.15026186406612396, 0.11231150478124619, 0.0314481221139431, 0.6101203560829163, 0.09585816413164139]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,597.882980001159,10010694.88298,0.0014062148449471845,0.0,14057.419999998063,10010097.0,[],0,[],9996039.580000002,9996039.580000002,597.882980001159,"[{'sid': Equity(4 [VWO]), 'amount': 32863, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 4182, 'cost_basis': 267.303585, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': 3803, 'cost_basis': 83.75748495003945, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 50234, 'cost_basis': 120.870405, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': 57997, 'cost_basis': 16.48824, 'last_sale_price': 16.61}]",10010097.0,5,0.0,0.999940275576572,0.999940275576572,10010097.0,0.0,10010097.0,10,0.0010694882979997988,0.0,0.9476754305671486,0.0,0.0,0.028819697662965823,,,1.5845900999855553,1.4164194537202934,2017-12,-0.005320138536999792,0.0,"[0.15026186406612396, 0.11231150478124619, 0.0314481221139431, 0.6101203560829163, 0.09585816413164139]"
