,period_open,period_close,longs_count,shorts_count,long_value,short_value,returns,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,weights,cumulative_returns
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,1,2020-12,,0.0
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2,2020-12,,0.0
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,3,2020-12,,0.0
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4,2020-12,,0.0
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': 'eb866b75a5964c4091f14c7e63598cc6', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -146244, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b3764e2437e94db0b9e21cee795d6098', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 19185, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e83ec02dfac246dcb54ffab64d64581f', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 14611, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '041acb9046da4ec1906b96011bb413bf', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 10870, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '8243f861bfcb4eb29095b81a164cfc58', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 508623, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,5,2020-12,"[-0.7174773216247559, 0.7057486176490784, 0.12338994443416595, 0.14879971742630005, 0.7395389676094055]",0.0
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,4,1,11986323.34,-7122082.800000001,-0.0009554203070003542,11986323.34,-9554.20307000354,-7122082.800000001,-4873794.743070001,"[{'id': 'eb866b75a5964c4091f14c7e63598cc6', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -146244, 'filled': -146244, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b3764e2437e94db0b9e21cee795d6098', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 19185, 'filled': 19185, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e83ec02dfac246dcb54ffab64d64581f', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 14611, 'filled': 14611, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '041acb9046da4ec1906b96011bb413bf', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 10870, 'filled': 10870, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '8243f861bfcb4eb29095b81a164cfc58', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 508623, 'filled': 153420, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'amount': -146244, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': 'eb866b75a5964c4091f14c7e63598cc6', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 19185, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'b3764e2437e94db0b9e21cee795d6098', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 14611, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'e83ec02dfac246dcb54ffab64d64581f', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 10870, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '041acb9046da4ec1906b96011bb413bf', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '8243f861bfcb4eb29095b81a164cfc58', 'sid': Equity(0 [DBC]), 'commission': None}]",1.9126680158629055,"[{'sid': Equity(4 [VWO]), 'amount': -146244, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 19185, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 14611, 'cost_basis': 85.08252000000002, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 10870, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.38}]",0.4868892378651162,0.0,4864240.539999999,0.0,4864240.539999999,10000000.0,5126205.256929997,9990445.796929996,-0.0009554203070003542,0.0061918312676625285,0.0,0.0,,,-6.4807406984078595,-6.4807406984078595,-0.0009554203070003097,1.9126680158629055,0.0,0.0,6,2020-12,"[-0.7174773216247559, 0.7057486176490784, 0.12338994443416595, 0.14879971742630005, 0.7395389676094055]",-0.0009554203070003542
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,4,1,14613558.440000001,-7195204.800000001,-0.00482318809184723,14613558.440000001,-48185.79919999838,-7195204.800000001,-2602298.8992,"[{'id': '8243f861bfcb4eb29095b81a164cfc58', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 508623, 'filled': 332060, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'amount': 178640, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': '8243f861bfcb4eb29095b81a164cfc58', 'sid': Equity(0 [DBC]), 'commission': None}]",2.1935418350535336,"[{'sid': Equity(4 [VWO]), 'amount': -146244, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 19185, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 14611, 'cost_basis': 85.08252000000002, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 10870, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 332060, 'cost_basis': 14.484073929410346, 'last_sale_price': 14.56}]",0.7461435973001861,4864240.539999999,7418353.640000001,4864240.539999999,7418353.640000001,5126205.256929997,2523906.3577299975,9942259.997729998,-0.005774000227000142,0.028548851216747117,0.0,0.0,,,-7.2868046696211755,-7.0515168633939345,-0.0057740002270001865,2.1935418350535336,0.0,0.0,7,2020-12,"[-0.7174773216247559, 0.7057486176490784, 0.12338994443416595, 0.14879971742630005, 0.7395389676094055]",-0.005774000227000142
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,4,1,16501751.58,-7154256.48,0.007738262730763834,16501751.58,76935.81999999844,-7154256.48,-1852205.6400000006,"[{'id': '8243f861bfcb4eb29095b81a164cfc58', 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 508623, 'filled': 458860, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'amount': 126800, 'dt': Timestamp('2020-12-24 18:00:00+0000', tz='UTC'), 'price': 14.6073, 'order_id': '8243f861bfcb4eb29095b81a164cfc58', 'sid': Equity(0 [DBC]), 'commission': None}]",2.3610685418622386,"[{'sid': Equity(4 [VWO]), 'amount': -146244, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 19185, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 14611, 'cost_basis': 85.08252000000002, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 10870, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 458860, 'cost_basis': 14.518125853201413, 'last_sale_price': 14.6}]",0.9329586196387785,7418353.640000001,9347495.1,7418353.640000001,9347495.1,2523906.3577299975,671700.7177299974,10019195.817729997,0.0019195817729997788,0.05485215974111044,0.0,0.0,,,1.1253724875503361,2.2368804958498534,-0.0057740002270001865,2.3610685418622386,0.0,0.0,8,2020-12,"[-0.7174773216247559, 0.7057486176490784, 0.12338994443416595, 0.14879971742630005, 0.7395389676094055]",0.0019195817729997788
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,4,1,17251615.56,-7168880.880000001,0.0012792862489339196,17251615.56,12817.419434998184,-7168880.880000001,-722422.160565,"[{'id': '8243f861bfcb4eb29095b81a164cfc58', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 508623, 'filled': 508623, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'df0f880d06364c3094c3a0aac057df1a', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 150032, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b67178901f65415593b64eb4317ca7cb', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -5255, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ced3dc5b1ee74059810ea56fc3ca1707', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -37335, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '2847182ab4d445bebe64ddc39243f83a', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 28491, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ced70b7053d74940b145a8496ff16ef6', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -429152, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'amount': 49763, 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'price': 14.517255, 'order_id': '8243f861bfcb4eb29095b81a164cfc58', 'sid': Equity(0 [DBC]), 'commission': None}]",2.434256799974192,"[{'sid': Equity(4 [VWO]), 'amount': -146244, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 19185, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 14611, 'cost_basis': 85.08252000000002, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 10870, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 508623, 'cost_basis': 14.518040650078742, 'last_sale_price': 14.51}]",1.0050559585235692,9347495.1,10082734.679999998,9347495.1,10082734.679999998,671700.7177299974,-50721.44283500267,10032013.237164995,0.0032013237164996156,0.05160058088504723,0.0,0.0,,,1.7575448707804162,3.4857001933085723,-0.0057740002270001865,2.434256799974192,0.0,0.0,9,2020-12,"[0.01851298287510872, 0.5167735815048218, -0.19113673269748688, 0.5409057140350342, 0.11494431644678116]",0.0032013237164996156
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,4,1,16277941.97,-1901089.8399999999,-0.008954299275364952,16277941.97,-89829.64885999821,-1901089.8399999999,-4383947.098860003,"[{'id': 'df0f880d06364c3094c3a0aac057df1a', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 150032, 'filled': 150032, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b67178901f65415593b64eb4317ca7cb', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -5255, 'filled': -5255, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ced3dc5b1ee74059810ea56fc3ca1707', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -37335, 'filled': -37335, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2847182ab4d445bebe64ddc39243f83a', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 28491, 'filled': 28491, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ced70b7053d74940b145a8496ff16ef6', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -429152, 'filled': -131500, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'amount': 150032, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': 'df0f880d06364c3094c3a0aac057df1a', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -5255, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': 'b67178901f65415593b64eb4317ca7cb', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -37335, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.61816999999999, 'order_id': 'ced3dc5b1ee74059810ea56fc3ca1707', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 28491, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': '2847182ab4d445bebe64ddc39243f83a', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': 'ced70b7053d74940b145a8496ff16ef6', 'sid': Equity(0 [DBC]), 'commission': None}]",1.8284747659844083,"[{'sid': Equity(4 [VWO]), 'amount': 3788, 'cost_basis': 49.574775, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 13930, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -22724, 'cost_basis': 83.61816999999999, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 39361, 'cost_basis': 137.80936515357845, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 377123, 'cost_basis': 14.518040650078742, 'last_sale_price': 14.55}]",1.4460457305286045,10082734.679999998,14376852.13,10082734.679999998,14376852.13,-50721.44283500267,-4434668.541695003,9942183.588304996,-0.005781641169500196,0.06747572553713141,0.0,0.0,,,-2.1345015256266566,-2.808576134515566,-0.008954299275364959,2.434256799974192,0.0,0.0,10,2020-12,"[0.01851298287510872, 0.5167735815048218, -0.19113673269748688, 0.5409057140350342, 0.11494431644678116]",-0.005781641169500196
